<page title>|actual weight|attributes|brightness lumens|brightness nitscdm2|color|color support|compatibility notes|compliant standards|connector|connector type|contents|contrast ratio|diagonal size|digital video standard|display position adjustments|display size|display technology|display type|dot pitch|energy star qualified|energy star version|form factor|horizontal frequency khz|image aspect ratio|image brightness|image size max|image size min|internal resolution max|lamp type|native resolution|os notes|physical dimensions|portsconnectors|power notes|product type|projector type|refurbished type|resolution modes|response timerate|returns policy|screen distance min|speakers included|system requirements|target use|vertical frequency hz|viewing angle hv degrees|warranty  labor|warranty  parts|warranty details|weight
"Buy LG 19.5"" 20M35D-B LED-LCD Monitor, Black Monitors - LCD 20M35D-B today at PC Connection"|||||Black|||['TUV', 'DDC/CI', 'CUL', 'Plug and Play']|||||||Tilt|20 in||||Yes|||||200 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
Buy Elite Economy Electric Projection Screen, Black Case, 100in Projector Screens ELECTRIC100H today at PC Connection|||||Black||||||Screen, IR remote control, 12v trigger adapter, documentation|||||||||||||||||||||"67.2""h x 98.8""w"|||Projection screen (motorized)|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
"Buy LG 42"" LY540S Full HD LED-LCD Supersign TV Televisions - LED-LCD Commercial 42LY540S today at PC Connection"|||||||||||||42 in|||||||Yes||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.||2 speakers|||||1 Year|1 Year||
"Buy Asus 31.5"" PQ321Q LED-LCD Monitor, Black Monitors - LED-LCD PQ321Q today at PC Connection"|||||Black|||['FCC', 'WHQL', 'CUL', 'ICES', 'WEEE', 'RoHS']|||||||['Swivel', 'Height', 'Tilt']|31.5 in|||0.182 mm||||||350 cd/m2||||||||||||||||||||||3 Years|3 Years||28.700 lb(s)
Buy ELO Touch Solutions L Mounting Bracket Set for 1739L and 1939L Stands & Mounts - AV E147211 today at PC Connection|||||||Compatible with Elo 1537L touchmonitor.||||(2) Mounting brackets, documentation||||||||||||||||||||||||Mounting bracket|||||This product is subject to our return policy. Please see our complete return policy for details.||||Monitor|||3 Years|3 Years||
Buy Chief Manufacturing Fusion Universal Micro-Adjustable Fixed Wall Stands & Mounts - AV MSMU today at PC Connection|||||Black||"ControlZone Leveling for post-installation fine tuning of height and leveling.
Centerless Shift provides up to 14.5"" (368 mm) of post-installation lateral shift - 7.25"" (184 mm) left/right of uprights - for limitless centering.
ClickConnect offers an audible click when the screen safely engages with the mount.
Built-in cable stand provides easy access under the screen.
A full line of accessories can be installed with the mount and the entire unit can be adjusted together.
Multiple installation options, including single or dual stud mounting on 16"" centers.
Provides integrated security, just add a padlock.
Ships with a custom hardware kit.
Steel stud mounting possible with series PAC115 and using 2 studs only.
Mounting Pattern Compatibility (Universal Versions): 100 x 100mm - 650 x 400mm
For 26""-47"" Displays.
Max weight capacity of 125 pounds."|UL|||Mount, documentation||||||||||||||||||||||||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||10 Years|10 Years||
"Buy Elite Slow-Retract Manual Projection Screen, MaxWhite, 1:1, 85"" Projector Screens M85XWS1-SRM today at PC Connection"||||||||||||||||||||||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
"Buy Samsung 23.6"" S24D590PL Full HD LED-LCD Monitor, Black Monitors - LED-LCD S24D590PL today at PC Connection"|7.80 lb(s)|||250 cd/m2|Black|16.7 million colors|"Be Entertained from Every Angle:
Experience superior picture quality as the PLS panel's wide viewing angle offers a consistent natural color and contrast ratio from any angle within 178 degrees, vertically and horizontally
Enhanced Gaming Experience:
The perfect viewing settings for games with one touch of a button. The Game Mode option optimizes the settings for game play, which reduces screen lag, enhances the color and alters the screens contrast to provide the ultimate picture for gaming.
Upscaled Quality and Picture:
Magic Upscale Technology enhances the image quality no matter what the original picture quality was. Magic Upscale prevents image degradation when scaling up and gives only the most brilliant and pristine colors and images.
Handles Multiple Devices and Content:
All the connections you need to make the most of your entertainment and other content. The monitor provides a D-Sub connection and HDMI input. You can easily connect your devices and use the monitor for working, gaming, viewing content and more.
Dimensions and weight with stand:
16.6""h x 21.3""w x 6.7""d
9.2 lbs."||['HDDB15', 'Power', '3.5mm audio', 'HDMI']|['HDMI', 'Audio', 'VGA', 'Power']|monitor, HDMI cable, CD, documentation|1000:1||||23.6 in|LED display|Widescreen||Yes|||||250 cd/m2|||1920 x 1080||||"16.6""h x 21.3""w x 2.3""d"|"(1) HDDB15 VGA
(2) HDMI
(1) 3.5mm audio
(1) Power in"|"Supply: 100-240VAC, 50/60Hz
Consumption: 21W (typ.); 0.3W (standby)"|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||178/178|Call for Warranty|Call for Warranty||
Buy ViewSonic PJD6543W DLP WXGA Projector, 3000 Lumens, Black Projectors PJD6543W today at PC Connection|4.60 lb(s)|['Speaker Included', 'Single speaker', 'Remote control', 'Keystone correction']|||Black|1.07 billion colors||['CE', 'C-Tick', 'CB', 'FCC', 'RoHS', 'UL', 'CUL', 'WEEE', 'PSB', 'NOM', 'CCC']|['HDDB15', 'Power', '3.5mm audio', 'RCA Composite', 'HDMI', 'USB Type B Mini', 'S-Video', 'DB9']|['Power', 'Audio line-in', 'S-Video', 'Composite video', 'VGA', 'USB', 'HDMI', 'Audio line-out', 'Serial (RS-232)']|Projector, power cable, VGA cable, remote with batteries, DVD, documentation|15000:1|||||Digital Light Processing (DLP)|||||['Desktop', 'Tabletop']||16:10|3000 ANSI lumens|25 ft|2.3 ft|1600 x 1200||1280 x 800||"3.3""h x 10.6""w x 8.7""d"|"(3) HDDB15 VGA (2 in, 1 out)
(1) RCA composite
(2) 3.5mm audio (in, out)
(1) 4-pin S-video
(1) HDMI
(1) USB Mini-B
(1) DB9 RS-232
(1) Power in"|"Supply: 100-240VAC (Auto Switching), 50/60Hz (universal)
Consumption: 240W (typ.);"||DLP projector||Multiscan||This product is subject to our return policy. Please see our complete return policy for details.|3 ft||||||3 Years|3 Years|1 year on lamp; 1st year free Express Exchange service|4.6 lb(s)
Buy DoubleSight Quad-Monitor Flex Stand Stands & Mounts - AV DS-424STA today at PC Connection|27.50 lb(s)||||Black||"Weight capacity of 22 pounds per monitor.
LCD Capacity:(4) 24"" LCD Monitors or smaller.
VESA: 75mm x 75mm; 100mm x 100mm (100mm x 200mm is an available accessory)
Tilt: 45º forward or back, monitors tilt independently.
Swivel: Up to 90º, monitors swivel independently.
Pivot: 90º, Monitors pivot independently - note some monitors may be too large to pivot on top tier.
Special Viewing Feature: Monitors adjust individually. Stand adjusts for Height on each Tier."||||Stand, documentation|||||||||||||||||||||"28.5""h x 31.5""w x 10""d"|||Desk mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||3 Years|3 Years||
"Buy LG 32"" WL30MS-B Full HD LED-LCD Monitor Monitors - Large-Format LED-LCD 32WL30MS-B today at PC Connection"||||||||||||||||32 in||||Yes|5.1|||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
Buy Tripp Lite 2-Port High Speed HDMI Splitter for Video with Audio, Video Extenders & Splitters B118-002 today at PC Connection|||||Black||"Display HD video resolutions up to 1080p, and computer video resolutions up to 1920 x 1200.
Supports up to 36-bit Deep Color (12-bits per channel).
High Speed HDMI and 3D compliant.
Supports DTS-HD, Dolby True HD and 7.1 Channel Surround Sound audio.
HDCP and EDID compliant.
Plug and play; No software or drivers required."|RoHS|||splitter, external power supply, documentation||||||||||||||||||||||(3) HDMI (F)||Video splitter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy Kensington Privacy Screen for 22"" Widescreen Displays Glare Filters & Privacy Screens K55786WW today at PC Connection"|||||Tinted||"Limits viewing angle +/- 30° while also protecting the screen from scratches and damage.
Easy to attach use included plastic tabs to stick the screen to your widescreen flat panel (TFT) or LCD monitor.
Screen cleaning cloth included.
Monitor screen proportions: 16:10."||||filter, cleaning cloth, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Limited Lifetime|Limited Lifetime||
Buy Kensington Flat Panel Monitor Cubicle Hanger Stands & Mounts - AV 60058 today at PC Connection|||||||The adapter piece is set to hold monitors weighing 20lbs or less. The actual hanger can hold up to 50lbs.||||Hanger, documentation|||||||||||||||||||||"20.1""-36""h x 7.2""w x 4.5""d"|||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||2 Years|2 Years||
"Buy Targus 22"" Widescreen LCD Privacy Filter, 16:10 Glare Filters & Privacy Screens ASF22WUSZ today at PC Connection"|1.40 lb(s)||||||||||Filter, adhesive strips, tabs, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy Elite Tripod Portable Screen, 1:1, 136"" Projector Screens T136UWS1 today at PC Connection"|0.00 lb(s)||||Matte White||Carrying case is sold separately.||||Tripod screen in black case, documentation|||||||||||||||||||||"149.5""h x 102""w"|||Projection screen|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
Buy Elite ez-Cinema Series Portable Projection Screen, Matte White, Projector Screens F84NWV today at PC Connection|||||Matte White||||||Screen, aluminum case, carry bag, documentation|||||||||||||||||||||"94.3""h x 74.5""w"|||Projection screen|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
Buy Elite Manual Series Projection Screen with Black Case, Matte Projector Screens M99UWS1 today at PC Connection|||||Black||Wall mount brackets sold separately.||||Screen, hardware, case, documentation|||||||||||||||||||||"80.8""h x 76""w"|||Projection screen|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
Buy Acer P7505 DLP Projector, 5000 Lumens, Black Projectors MR.JH211.008 today at PC Connection|16.50 lb(s)|['Remote control', 'Keystone correction', 'Speakers Included', 'Dual speakers']|5000 ANSI lumens||Black|1.07 billion colors|||['HDDB15', 'HDMI', 'USB']|['USB', 'VGA', 'HDMI']|projector, power cord, VGA cable, composite video cable, remote with battery, filter, lens cap, carrying case, CDs, documentation|7500:1|||||Digital Light Processing (DLP)|||||['Ceiling-mount rear projection', 'Ceiling-mount front projection']||16:9||25 ft|1.7 ft|1920 x 1200|P-VIP|1920 x 1080||"5.1""h x 15.7""w x 12.2""d"|"(1) HDMI
(1) HDDB15 VGA
(1) USB
(1) Power in"|Supply: 110-220VAC||DLP projector||Multiscan|||3.3 ft||||||1 Year|1 Year|90 days on lamp|16.5 lb(s)
"Buy Asus 22"" VW22AT-CSM Widescreen TFT LCD Monitor, Black Monitors - LCD VW22AT-CSM today at PC Connection"|||||Black|||['GOST-R', 'J-MOSS', 'FCC', 'WEEE', 'TCO Displays 5.2', 'TUV Ergo', 'CB', 'TUV GS', 'RoHS', 'CCC', 'BSMI', 'WHQL', 'C-Tick', 'CUL', 'VCCI']|||||||Tilt|22 in|||0.282 mm|Yes|||||250 cd/m2||||||||||||||||||||||Call for Warranty|Call for Warranty||
"Buy Open Box Acer 19"" V196WL BD LED-LCD Monitor, Black Monitors - LED-LCD UM.CV6AA.002 today at PC Connection"||||250 cd/m2|Black||"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact."|EPEAT Gold|['DVI', 'Power', 'HDDB15']|['VGA', 'DVI', 'Power']|Monitor, VGA cable, DVI cable, documentation|100,000,000:1||Digital Visual Interface (DVI)|Tilt|19 in|['LED-backlit', 'LCD']|Widescreen||Yes|||||250 cd/m2|||1440 x 900|||||"(1) DVI
(1) HDDB15 VGA
(1) Power in"||||Open Box||5 ms|||||||170/160|90 Days|90 Days||
"Buy AOC 24"" E2460SD-TAA Full HD LED-LCD Monitor Monitors - LED-LCD E2460SD-TAA today at PC Connection"|||||Black|||['FCC', 'CTUVus', 'DDC-2B', 'CCC', 'EPA 5.1', 'DDC-2B/CI', 'CQC', 'TCO Displays 5.2', 'RoHS']|||||||Tilt|24 in|||0.277 mm|Yes|||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy Planar 19"" PLL1920M LED-LCD Monitor, Black Monitors - LED-LCD 997-5956-00 today at PC Connection"|10.08 lb(s)|Tilt|||Black|16.7 million colors||CULus|['Power', 'HDDB15', 'BNC']|['Power', 'Composite video', 'VGA']|Monitor, power cable, VGA cable, BNC-to-RCA adapter, documentation|1000:1|||Tilt|19 in|['LCD', 'LED-backlit']|Standard|0.294 mm||||||250 cd/m2|||1280 x 1024||||"14.15""h x 16.01""w x 2.77""d"|"(1) HDDB15 VGA
(2) BNC composite video (in, out)
(1) RCA L/R audio
(1) Power in"|"Supply: 100-240VAC
Consumption: 45W (typ.); 1W (standby)"|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||170/160|3 Years|3 Years|Customer First 2-Day Advance Replacement Warranty for three full years|
Buy Siig Articulating Quad Monitor Desk Mount  for Flat Panels 13 Stands & Mounts - AV CE-MT0S12-S1 today at PC Connection|19.10 lb(s)||||Black||"Articulating/full-motion desktop mount for four monitors from 13” to 27” & up to 22 pounds each.
Gets monitors out of the way & frees up valuable desk workspace.
Supports tilt angles of +/-45o, 180o swivel, 360o rotation for easy adjustment of viewing angle.
Four dual-section mounting arm that extend up to 17” & allows height adjustment up to 28” for proper monitor positioning.
Supports portrait or landscape monitor orientations.
Installs quickly & easily on to any desk or table.
Heavy-duty “C”-clamp is compatible with all table and desk surfaces from ½” to 4” in thickness.
Integrated cable management keeps cables neat, organized & out of the way.
Compatible with VESA mounting 75x75mm and 100x100mm patterns.
Includes installation guide and mounting hardware kit."|RoHS|||Mount, documentation|||||||||||||||||||||"32.5""h x 35.5""w x 4.4""d"|||Desk mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||5 Years|5 Years||
Buy Chief Manufacturing FUSION 3 x 3 Micro-Adjustable Large Bolt Stands & Mounts - AV LBM3X3U today at PC Connection|||||Black||"3 x 3 screen arrangement for 42 - 46"" screens. Larger displays possible with FCAX brackets, use MountFinder to confirm compatibility.
Easily align displays with independent height, plumb and lateral shift adjustment.
Bolt-down solution allows for a permanent solution.
Integrated cable management for a clean installation.
Mounting Pattern Compatibility (Universal Versions): any width x 100 mm - 400 mm
Max weight capacity of 100 pounds per screen."||||mount, documentation|||||||||||||||||||||"90.9""h x 108.9""w x 9.4""d"|||Mounting kit|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||Call for Warranty|Call for Warranty||
"Buy Acer 22"" H226 IPS LED Full HD Monitor, Black Monitors - LED-LCD UM.WH6AA.002 today at PC Connection"|5.60 lb(s)|||250 nit(s)|Black||"Vivid:
You'll enjoy tasks and entertainment more with fine details and smooth movement, thanks to high resolutions, fast response times and superior contrast ratios. Games are more exciting and films truly cinematic when visuals are vibrant. Plus, the widescreen aspect ratio frames movies and HDTV content perfectly.
Easy:
Set your display as you see fit with Acer eColor Management. A host of ports, including HDMI, DVI, DisplayPort and VGA, let you connect other devices -- like your notebook or HDTV -- to expand your perspective to a bigger screen. The great sights are complemented by nice sound in models that include internal speakers.
Green:
Safe for you and your world, Everyday Series monitors are RoHS compliant, use mercury-free white LED backlighting and meet ENERGY STAR 5.0 requirements. Acer EcoDisplay technologies deliver up to 68% power savings, further conserving energy and costs. Acer packaging is made of recyclable materials, too.
Glossy screen finish."||['DVI', 'HDMI', 'Power', 'HDDB15']|['DVI', 'Power', 'HDMI', 'VGA']|Monitor, VGA cable, DVI cable, HDMI cable, documentation|100,000,000:1||Digital Visual Interface (DVI)|Tilt|21.5 in|['LCD', 'LED-backlit']|['Glossy', 'Widescreen']|||||||250 cd/m2|||1920 x 1080||||"15.2""h x 19.6""w x 6.8""d"|"(1) DVI
(1) HDMI
(1) HDDB15 VGA
(1) Power in"||||||5 ms|||||||178/178|3 Years|3 Years|limited|
Buy Peerless Precision Gear Projector Mount for Projectors up to 50 Stands & Mounts - AV PRGS-UNV-W today at PC Connection|||||Black||"50 pounds Weight load capacity.
Patent pending precision gear provides accurate projector image alignment.
Two adjustment knobs control projector image alignment.
Horizontal wrench access slots make flush mounting installations fast & easy.
Pre-assembled design reduces installation time.
Quick release mechanism to easily service projector.
Cable management allows cables to be routed through projector mount out of sight.
Security hardware included for theft prevention.
Tilt- ± 20°, Roll ± 10°, Swivel 360°.
Contact Peerless for model specific adapter plate, or universal clamp style adapter plates."|CULus|||Mount, documentation||||||||||||||||||||||||Projector ceiling mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Projector|||Call for Warranty|Call for Warranty||
Buy Ergotron DS100 Dual-Monitor Desk Stand, Horizontal Stands & Mounts - AV 33-322-200 today at PC Connection|0.00 lb(s)||||Black||"LCD size: Weight capacity: up to 31 pounds per monitor
Mounting Standards: VESA FDMI, MIS-D, 75/100, C (100x100mm and 75x75mm)
Rotation: 360 degrees P/L"||||Desk stand, documentation||||||||||||||||||||||||Stand|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||5 Years|5 Years||
"Buy Miracle Business 50"" Plasma HDTV MiracleTouch Monitor White Televisions - Plasma Commercial PL50B-IS today at PC Connection"|||||||||||||50 in|||||||||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||N/A|N/A|NOTE: Using product in a commercial setting may void original warranty. Contact manufacturer for details.|
Buy Peerless Metal Stud Wall Plate for SP740, Black Stands & Mounts - AV WSP490 today at PC Connection|||||Black||||||Wall plate, documentation||||||||||||||||||||||||Wall plate|||||This product is subject to our return policy. Please see our complete return policy for details.||||Accessory|||5 Years|5 Years||
"Buy Chief Manufacturing Flat Panel Tilt Wall Mount (10""-32"" Stands & Mounts - AV FTR4100 today at PC Connection"|||||Black||||||Wall mount, hardware, documentation|||||||||||||||||||||"5.4""h x 5.2""w x 1.8""d"|||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||N/A|N/A||
Buy Elite VMax2 Projection Screen, MaxWhite, 1:1, 136in (Free Mount Projector Screens VMAX136UWS2 today at PC Connection|||||||||||Projection screen, radio frequency remote, infrared remote, wall box, documentation|||||||||||||||||||||"96""h x 96""w"||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
"Buy Sony 60"" FWD60W630B Full HD LED-LCD Display, Black Monitors - Large-Format LED-LCD FWD60W630B today at PC Connection"|||||Black|||||||||||60 in||||Yes||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy Eizo Nanao 21"" RX340-BK 3MP LED-LCD Monitor Monitors - LED-LCD RX340-BK today at PC Connection"||||1000 cd/m2|Black|||['CSA C22.2 No. 601.1', 'C-Tick', 'EN 60601-1', 'CCC', 'UL 60601-1', 'DICOM Part 14', 'DVI DMPM', 'WEEE', 'VCCI Class B ITE', 'ISO 13485', 'ICES-003 Class B', 'EMC', 'FDA 510k', 'GOST-R', 'RoHS']|||||||['Tilt', 'Swivel', 'Pivot (rotation)', 'Height']|21.2 in|||0.21075 mm||||||1000 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||5 Years|5 Years||23.600 lb(s)
Buy Kensington Monitor Stand Plus with SmartFit Stands & Mounts - AV 60089 today at PC Connection|0.00 lb(s)||||Black||"Holds CRT or flat panel display up to 21"" and 80 pounds.
Adjusts to 3 height levels."||||Monitor stand, documentation||||||||||||||||||||||||Stand|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years||
"Buy Eizo Nanao 27"" MNTR2560X1440 LED-LCD Monitor, Black Monitors - LED-LCD MX270W-BK today at PC Connection"||||300 cd/m2|Black|||['RoHS', 'GOST-R', 'C-Tick', 'EMC', 'DVI DMPM', 'CCC', 'ICES-003 Class B', 'ISO 13485', 'FDA 510k', 'CSA C22.2 No. 601.1', 'VCCI Class B ITE', 'EN 60601-1', 'UL 60601-1', 'DICOM Part 14']|||||||['Swivel', 'Pivot (rotation)', 'Height', 'Tilt']|27 in|||0.233 mm||||||300 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy Ergotron DS100 28"" Pole Stands & Mounts - AV 20-137-200 today at PC Connection"|||||Black||||||Pole, documentation||||||||||||||||||||||||Mounting component|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||5 Years|5 Years||
Buy Open Box HP All-in-One Height Adjustable Stand Stands & Mounts - AV C1N43AA today at PC Connection|16.50 lb(s)||||Black||"Create a single or multi-user all-in-one environment that complements your desktop, kiosk or lobby in the most space-constrained environments.
Easy-attach, industry-standard VESA mounting bracket.
Wide range of high and low tilt positions that bring your display into perfect view.
Vertically adjusts more than 4-inches.
Tilt angle reclines up to 60 degrees.
Rotates to landscape or portrait orientation.
Swivels from left and right 360 degrees.
Built to withstand 10, 000 cycles on lift and tilt mechanisms."||||Stand, documentation|||||||||||||||||||||"15.9""h x 10.5""w x 9.8""d"|||Display stand||Open Box|||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||90 Days|90 Days||
"Buy AOC 29"" Q2963Pm LED-LCD Monitor, Black Monitors - LED-LCD Q2963Pm today at PC Connection"|||||||||||||||Tilt|29 in|||0.876 mm|Yes|||||300 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy Acer 23.8"" G246HYL bmjj Full HD LED-LCD Monitor, Black Monitors - LED-LCD UM.QG6AA.001 today at PC Connection"|7.30 lb(s)|['Speakers Included', 'Dual speakers']||250 nit(s)|Black|16.7 million colors|"Height and weight with stand:
15.2""h x 21.8""w x 6.7""d
7.9 lbs."|MPRII|['Power', 'HDMI', 'HDDB15']|['Power', 'HDMI', 'VGA']|monitor, HDMI cable, VGA cable, power cable, documentation|100,000,000:1|||Tilt|23.8 in|['LED-backlit', 'LCD']|Widescreen|||||||250 cd/m2|||1920 x 1080||||"15.2""h x 21.8""w x 1.3""d"|"(2) HDMI
(1) HDDB15 VGA
(1) Power in"|"Supply: 110-220VAC
Consumption: 31W (typ.); 0.5W (standby/off-mode)"|||||6 ms|||||||178/178|3 Years|3 Years||
