3d compatibility|<page title>|ac adapter included|ac power in|analog signal format system|aspect ratio|audio input|audio output|backlight type|bezel width side|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable lock slot|cables included|card reader integrated|certification|colour of product|common interface ci|common interface plus ci|compatible memory cards|compliance industry standards|component video ypbprycbcr in|composite sync|composite video in|contrast ratio dynamic|contrast ratio typical|dcin jack|depth|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h with stand|dimensions wxdxh|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display viewable area hxv|displayports quantity|dvi port|dvid ports quantity|dvii ports quantity|effective viewing area|energy efficiency class|energy star certified|epeat compliance|ethernet lan|feet colour|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|headphone connectivity|headphone out|height|height adjustment|height with stand|horizontal scan range|input frequency|input voltage|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum resolution|mean time between failures mtbf|microphone in|mobile highdefinition link mhl|nonoperating altitude|number of loudspeakers|number of osd languages|number of products included|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|product type|quantity|quick start guide|relative humidity|response time|rms rated power|rs232 ports|safety|screen format adjustments|screen saving functions|separate hv sync|source datasheet|standby led|storage relative humidity hh|storage temperature tt|supported graphics resolutions|supported video modes|svideo inputs quantity|swivel angle range|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|vertical scan range|vesa mounting interfaces compatibility|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle horizontal|viewing angle vertical|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported
|AG Neovo X-15 - MediaShopUK||||||||||['No', 'No']||['No', 'No']||['Kensington', 'Kensington']||||['Black', 'Black']|||||||||3000:1||155 mm||||||LCD|320 cd/m²|"381 mm (15 "")"|||1024 x 768 pixels|||||||1|||||||||||||||359 mm|||30 - 60 kHz|||||||||||||||||||||||||||||||0.297 x 0.297 mm|||||||||||||||4 ms|||||||||||||1|||||||No|||56 - 75 Hz|100 x 100 mm|1|['80 MHz', '80 MHz']||||140 °|125 °|||4.8 kg||380 mm|||
|Wortmann AG TERRA LED 2450W - MediaShopUK||Yes||16:9||||||['No', 'No']||['Yes', 'Yes']|||||CE, EN 60950|['Black', 'Black']||||||||15000000:1|||190 mm|||||||250 cd/m²|"609.6 mm (24 "")"|||1920 x 1080 pixels|||||||1|||||||||Full HD|Yes||||1|393 mm|||30 - 80 kHz||||||||||||||||['DEU, ENG, ESP, FRE, ITA, RUS', 'DEU, ENG, ESP, FRE, ITA, RUS']|||||||||||||||0.277 x 0.277 mm||['Yes', 'Yes']||||1 W|20 W|||100 - 240 V, 50 - 60 Hz|||||5 ms||||['4:3, 16:9', '4:3, 16:9']|||||||||||||||5 - 20 °|No|||55 - 75 Hz||1|||||170 °|160 °|||3.6 kg||578 mm|||
No|ASUS VS197DE - MediaShopUK||Yes||16:9||||||['No', 'No']||['No', 'No']||['Kensington', 'Kensington']|||BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSB, RoHS, UL/cUL, VCCI, WEEE, WHQL|['Black', 'Black']||||||||50000000:1||||185 mm|||||LED|200 cd/m²|"469.9 mm (18.5 "")"|47 cm|16.77 M|1366 x 768 pixels||||||||||Unspecified|Yes||||||No||||||No|346 mm|30 - 80 kHz|||||||||||||||['Yes', 'Yes']|||||||3.9 kg|114 mm|421 mm|495 mm||||||0.3 x 0.3 mm||||0.5 W|0.5 W||17 W||||||||5 ms|||||||['.', '.']||||1366 x 768||||||No|Yes|-5 - 20 °|No|||55 - 75 Hz|75 x 75 mm|1|||||90 °|50 °||Yes||2.6 kg||447 mm||
No|iiyama ProLite E2483HS-B1 LED display - MediaShopUK||Yes||16:9|||||No|['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']|['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']||VESA DPMS,|['Black', 'Black']||||||||5000000:1|1000:1||203 mm||30 - 80 kHz|55 - 75 Hz|||LED|250 cd/m²|"609.6 mm (24 "")"|60.96 cm|16.77 M|1920 x 1080 pixels|||TN+Film|||Yes|1|||Unspecified|Yes||No|||Full HD|Yes||1|3.5 mm|1|412 mm|No|||50/60 Hz|100 - 240 V|||['Yes', 'Yes']|||||||['2', '2', '2']|['10', '10']||['Yes', 'Yes']|['CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS', 'CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS']|['Yes', 'Yes']||||||||||||||0.277 x 0.277 mm||['Yes', 'Yes']||||0.5 W|24 W||||||['Yes', 'Yes']||2 ms|['4 W', '4 W', '4 W']||TCO, CE, TUV-GS, VCCI-B, PSE, CU|||Yes|['.', '.']||||1920 x 1080 (HD 1080)|1080p|||||No||-5 - 22 °|['No', 'No']||||100 x 100 mm|1|||||170 °|160 °||Yes|3.4 kg||565.5 mm||No|['Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64', 'Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64']
|Eizo FlexScan  21.3 inch LCD - MediaShopUK||||||||||||||||||Black|||||||||900:1|||||59 - 61 Hz||||300 cd/m²|"541 mm (21.3 "")"|||1600 x 1200 pixels||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||Yes|||||||||||||8 ms|||||||||||||||||||||3||49 - 76 Hz||1||540 mm|||178 °|178 °||||||||
No|ASUS VE247T - MediaShopUK||||16:9||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']||['Kensington', 'Kensington']|['AC', 'AC']||CEL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS|['Black', 'Black']||||||||1000:1|||201 mm||30 - 83 kHz|50 - 76 Hz|||LED|300 cd/m²|"599.4 mm (23.6 "")"|59.9 cm|16.77 M|1920 x 1080 pixels|||||||1|||Unspecified|Yes|||||Full HD|No|||||409.7 mm|||30 - 83 kHz||||||['Yes', 'Yes']||||||['2', '2', '2']|||||['Yes', 'Yes']|||||['7.1 kg', '7.1 kg']|['175 mm', '175 mm']|['480 mm', '480 mm']|['638 mm', '638 mm']||||||0.272 x 0.272 mm|||35 W||1 W||||['Yes', 'Yes']||||['Yes', 'Yes']||2 ms|['2 W', '2 W', '2 W']||RoHS, WEEE|||||['Yes', 'Yes']|||1920 x 1080 (HD 1080)|1080p|||||No||-5 - 20 °|['No', 'No']|||50 - 76 Hz|100 x 100 mm|1|||||170 °|160 °||Yes|4.4 kg||569.4 mm|||
No|Wortmann AG Terra LED 1910W - MediaShopUK||Yes||4:3, 16:9|Yes||Edge-lit LED|||['No', 'No']||['Yes', 'Yes']|||['Audio (3.5mm), VGA', 'Audio (3.5mm), VGA']||CE, EN 60950|['Black', 'Black']||||||||5000000:1|||48.5 mm|178 mm|||||LCD|250 cd/m²|"469.9 mm (18.5 "")"|47 cm|16.77 M|1366 x 768 pixels|||TN+Film|||No||||Unspecified|||||||No|||||291 mm|No|357 mm|30 - 82 kHz|50/60 Hz|100 - 240 V|['Yes', 'Yes']|||['Yes', 'Yes']|||||||||||['Yes', 'Yes']||||||||||||||0.3 x 0.3 mm||['Yes', 'Yes']||||0.5 W|15 W|['Yes', 'Yes']|['Yes', 'Yes']||||||5 ms||||||||['Yes', 'Yes']|||1366 x 768||||||||-5 - 20 °|No|||55 - 75 Hz|100 x 100 mm|1|||||170 °|160 °||Yes||2.6 kg|450 mm|450 mm||
|Philips C221S3UCW - MediaShopUK||||16:9|||W-LED|||||||['Kensington', 'Kensington']|||RoHS|['White', 'White']||||EMC: CE Mark, IEC/EN60601-1-2 Safety: CE Mark, IEC/EN60601-1 Ergonomic/Others: JIS Z2801, WEEE|||||1000:1||59 mm|201 mm|||||LED|150 cd/m²|"546.1 mm (21.5 "")"|54.6 cm|16.77 M|1920 x 1080 pixels|Yes||LCD/TFT|||||||Unspecified||Silver||['White', 'White']||Full HD|No|||||323 mm|Yes|402 mm||50/60 Hz|100 - 120 V|['Operation', 'Operation']|||||['30.000 h', '30.000 h']|||||||['Yes', 'Yes']|['CHI (SIMPL), ENG, ESP, FRE, ITA, POR, RUS', 'CHI (SIMPL), ENG, ESP, FRE, ITA, POR, RUS']|['Yes', 'Yes']||20 - 80 %|0 - 40 °C||5.13 kg|131 mm|461 mm|565 mm||||||0.248 x 0.248 mm||['Yes', 'Yes']||||0.3 W|10.3 W||||||||5 ms|||||||['.', '.']|||-20 - 60 °C|||||Yes|||Yes|||1|||100 x 100 mm||||476.6 mm|268.1 mm|160 °|150 °||Yes|3.44 kg|3.85 kg|507 mm|507 mm||
No|DELL P Series 2714H - MediaShopUK||||||||||['No', 'No']||['No', 'No']||['Yes', 'Yes']|['AC, DisplayPort, USB, VGA', 'AC, DisplayPort, USB, VGA']||CECP, RoHS, TCO|['Black, Silver', 'Black, Silver']||||||||2000000:1|1000:1||46.1 mm|204 mm|||||LED|300 cd/m²|"685.8 mm (27 "")"|68.6 cm|16.77 M|1920 x 1080 pixels|||IPS||1|Yes|1|||Unspecified|Yes|Gold||||Full HD|Yes|||||379.9 mm|Yes|539 mm||50/60 Hz|100 - 240 V|||||||||0 - 12192 m|||||||0 - 5000 m|10 - 80 %|0 - 40 °C||9.85 kg|||||||Yes||0.3114 x 0.3114 mm|||22 W|||0.3 W|43 W||||||['Yes', 'Yes']||8 ms|||||||['.', '.']||5 - 90 %|-20 - 60 °C|1920 x 1080 (HD 1080)||||Yes||No|Yes||No|4|||100 x 100 mm|1|||597.9 mm|336.3 mm|178 °|178 °||Yes|4.56 kg||641.4 mm|641.4 mm||
|AG Neovo X-15W White - MediaShopUK||||||||||['No', 'No']||['No', 'No']||['Kensington', 'Kensington']|||UL/CUL,TUV/Baurt, CB, GOST-R, FCC, CE, BSMI, WEEE, RoHS, Vista/Basic|['White', 'White']||||DCC 2B, DCC/CI|||||||155 mm|||||||320 cd/m²|"381 mm (15 "")"|||1024 x 768 pixels|||||||1||||Yes|||||||||||359 mm|||30 - 60 kHz||||||||['50000 h', '50000 h']|||||||||||10 - 90 %|0 - 40 °C||7 kg|217 mm|445 mm|477 mm||||||0.297 x 0.297 mm||['Yes', 'Yes']||1 W||2 W|36 W|||100-240V, 50/60Hz|||||4 ms|||||||||5 - 95 %|-20 - 60 °C|||||||||0 - 20 °|No|||56 - 75 Hz|100 x 100 mm|1||381 mm|||140 °|125 °|||4.8 kg||380 mm|||
No|LG 22EA63V - MediaShopUK||||16:9|||||No|['No', 'No']||['No', 'No']|['No', 'No']|||||['Black', 'Black']||||||||5000000:1|||74 mm|178 mm|||||LED|250 cd/m²|"546.1 mm (21.5 "")"||16.77 M|1920 x 1080 pixels|||IPS|||Yes||||Unspecified|||No||||Yes|||||307 mm||380 mm|||||||||||||||||||||||3.92 kg|125 mm|375 mm|568 mm|||['Yes', 'Yes']|||||['Yes', 'Yes']||0.3 W||0.3 W|26 W||||||||5 ms|||||||['.', '.']|||||||||||||No||||||||||178 °|178 °|||2.5 kg|2.7 kg|500 mm|500 mm|No|
No|DELL UltraSharp U2913WM LED display - MediaShopUK||||21:9||Yes||||['No', 'No']||['No', 'No']||['Yes', 'Yes']|['AC, DisplayPort, DVI, USB', 'AC, DisplayPort, DVI, USB']|||['Black, Silver', 'Black, Silver']||||||||2000000:1|1000:1||61.2 mm|194.2 mm|||||LED|300 cd/m²|"730.2 mm (28.75 "")"|73.02 cm|16.77 M|2560 x 1080 pixels|Yes||IPS||2|Yes|1|||Unspecified|Yes|Gold||||Full HD|Yes||1|||317 mm|Yes|487 mm||50/60 Hz|100 - 240 V|||||||||||||['Yes', 'Yes']||||10 - 80 %|0 - 40 °C||11.35 kg|||||||||0.09 x 0.26 mm|||90 W|||0.5 W|3 W||||||['Yes', 'Yes']||8 ms|||||||['.', '.']||5 - 90 %|-20 - 60 °C|2560 x 1080||||Yes||No|Yes||No||5||Yes|1|||672.77 mm|283.82 mm|178 °|178 °||Yes|5.76 kg||699.8 mm|699.8 mm||
|iiyama ProLite E1706S-1 - MediaShopUK||||5:4|Yes|||||['No', 'No']||||['Kensington', 'Kensington']|||CE, TÜV-GS, VCCI-B, TCO '03|['Black', 'Black']||||DDC 2B||||20000:1|800:1||190 mm|||||||250 cd/m²|"431.8 mm (17 "")"|||1280 x 1024 pixels||||['270.3 x 337.9 mm', '270.3 x 337.9 mm']|||1||||Yes||||||Yes|||3.5 mm||382.5 mm|||24 - 80 kHz|||||['Yes', 'Yes']|['Yes', 'Yes']|||||||||||||10 - 80 %|5 - 35 °C|||||||||||0.264 x 0.264 mm||['Yes', 'Yes']||||1 W|20 W|||AC 100 - 240 V, 50/60 Hz|||||2 ms|['2 W', '2 W']|||||Yes|['.', '.']||5 - 85 %|-20 - 60 °C|||||||||-5 - 20 °|No|||55 - 75 Hz|100 x 100 mm|1||430 mm|||170 °|155 °|||3.6 kg||371.5 mm|||
