<page title>|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|color|color supported|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|features|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|manufacturer website address|maximum adjustable height|maximum resolution|mount type|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|panel technology|pccanadacom|platform supported|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
27MP35HQ-B - Lg 27mp35hq-b Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|LG||||Black||50,000,000:1|||||||||||Yes|Yes|||||||LG Electronics|27MP35HQ-B|http://www.lg.com/ca||1920 x 1080||1|||||In-plane Switching (IPS) Technology|does not accept phone orders.|||27MP35HQ-B|27MP35HQ-B Widescreen LCD Monitor||LCD Monitor|||5 ms||"27"""|||||||||||Yes||Yes||4.80 kg|||
C3Z97AA#ABA - Hp Pavilion 25xi Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|HP|250 cd/mÂ²||CB CE FCC ES 5.2 CSA C-UL C-ETL UL ETL-NRTL ICES S-Mark VCC CCC BSMI Bauart ISO9241-307 GOST 25861 HRN N N0.201 GOST R 50377-1992 EEI Certificate IS 1121 SASO SABS IEC 60950-1 NOM-019-SCFI-1998 KC Mark KCC Mark PSB mark ISC mark C-Tick|Iridium Silver, Jack Black||1,000:1||"7.6"" (192 mm)"||||Yes|Noise Reduction, BrightView Technology, Security Lock||ErP, China Energy Label (CEL), CECP|Yes|Yes|Yes||"16.9"" (429 mm)"||178Â°|||Hewlett-Packard|C3Z97AA#ABA|http://www.hp.com/ca||1920 x 1080||1|||30 W||In-plane Switching (IPS) Technology|does not accept phone orders.|PC|Pavilion|25xi|Pavilion 25xi Widescreen LCD Monitor||LCD Monitor|||7 ms|Full HD|"25"""|||76 Hz|500 mW||||||178Â°|||Yes||4.40 kg||"22.8"" (578 mm)"|
VH238H - Asus Vh238h Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|250 cd/mÂ²|Speaker|UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSS|Black|16.7 Million Colors|50,000,000:1|||"8.7"" (220 mm)"|||Yes|||ENERGY STAR, WEEE, RoHS|Yes|Yes|Yes|Yes||"16.3"" (415.2 mm)"|170Â°||3 Year|ASUS Computer International|VH238H|http://www.asus.com||1920 x 1080|Wall Mountable|1|2|500 mW|25 W|VH238H Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card||does not accept phone orders.|PC||VH238H|VH238H Widescreen LCD Monitor|VH|LCD Monitor|||2 ms|Full HD|"23"""||Yes|75 Hz|500 mW||||||160Â°|Yes|100 x 100|Yes||4.30 kg|||"21.7"" (550.2 mm)"
UM.WV6AA.A02 - Acer V226hql Widescreen Lcd Monitor - PC-Canada.com|Yes|No|No|16:9|LED|Acer|250 cd/mÂ²|||Black|16.7 Million Colors|100,000,000:1||"8.1"" (206.8 mm)"||||Yes|||TCO '06, ENERGY STAR|Yes|Yes|||"15.4"" (390.4 mm)"||178Â°|110 V AC, 220 V AC||Acer, Inc|UM.WV6AA.A02|http://www.acer.ca||1920 x 1080||1||250 mW|19.50 W|V226HQL Widescreen LCD MonitorPower Cord1 x DVI Cable1 x VGA Cable|Vertical Alignment (VA)|does not accept phone orders.|||V226HQL|V226HQL Widescreen LCD Monitor|V|LCD Monitor|||8 ms|Full HD|"21.5"""|Anti-glare|Yes|60 Hz|350 mW||||||178Â°|||Yes||3.24 kg|3.66 kg|"20"" (508 mm)"|
UM.HS1AA.D01 - Acer S271hl Widescreen Lcd Monitor - PC-Canada.com|Yes|No|No|16:9|LED|Acer|300 cd/mÂ²|||Black|16.7 Million Colors|100,000,000:1||||||Yes|||MPR II, ENERGY STAR|Yes||Yes||||178Â°|220 V AC, 110 V AC||Acer, Inc|UM.HS1AA.D01|http://www.acer.ca||1920 x 1080||1||||S271HL Widescreen LCD MonitorPower Cord1 x VGA Cable1 x DVI Cable1 x HDMI Cable||does not accept phone orders.|||S271HL|S271HL Widescreen LCD Monitor|S|LCD Monitor|||6 ms|Full HD|"27"""|Anti-glare||60 Hz|||||||178Â°|||Yes|||||
BL2410PT - Benq Bl2410pt Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:9||BenQ|250 cd/mÂ²|USB Hub||Black|16.7 Million Colors|5,000:1|||"10.2"" (259 mm)"||Yes|Yes|Ambient Light Sensor, Eco Mode, Senseye 3, Security Lock||||Yes|No|Yes||"19.8"" (504 mm)"|178Â°|||BenQ Corporation|BL2410PT|http://www.benq.ca||1920 x 1080|Wall Mountable|1|||23 W||Advanced Hyper Viewing Angle (AHVA)|does not accept phone orders.|PC, Mac||BL2410PT|BL2410PT Widescreen LCD Monitor|BL|LCD Monitor|||4 ms|Full HD|"24"""||||200 mW||||Yes|USB 3.0|178Â°|Yes|100 x 100|Yes||6.70 kg|||"22.2"" (565 mm)"
"EV2436WFS-BK - Eizo 24"" Flexscan Ev2436w Widescreen Led - PC-Canada.com"|Yes|Yes|Yes|16:10|LED|Eizo|300 cd/mÂ²|USB Hub||Black|16.7 Million Colors|1,000:1||"2.2"" (57 mm)"|"9.7"" (245.5 mm)"|Landscape/Portrait|Yes|Yes|EcoView, Off Timer||TCO Certified Displays 6.0, EPEAT Gold, ENERGY STAR, RoHS, WEEE, China RoHS|Yes|Yes||Yes|"14.1"" (358 mm)"|"21"" (534 mm)"|178Â°||5 Year|Eizo Nanao Tech|EV2436WFS-BK|http://www.eizo.com||1920 x 1200||1|2||60 W|"24"" FlexScan EV2436W WideScreen LED AC power cord Signal cables (DVI-D - DVI-D, DisplayPort - DisplayPort) EIZO LCD Utility Disk (PDF user's manual, ScreenManager Pro for LCD [DDC/CI], EIZO ScreenSlicer software) Setup guide"|In-plane Switching (IPS) Technology|does not accept phone orders.|PC|FlexScan|EV2436W|"24"" FlexScan EV2436W WideScreen LED"||LCD Monitor|||6 ms|WUXGA|"24"""||Yes||300 mW||||Yes|USB 2.0|178Â°|||Yes||4.10 kg|6.70 kg|"21.8"" (552.5 mm)"|"21.8"" (552.5 mm)"
VE228H - Asus Ve228h Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|250 cd/mÂ²|Speaker|CELUL/cULCBCEEuPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSSWHQL|Black|16.7 Million Colors|10,000,000:1||"7.9"" (201 mm)"||||Yes|||ENERGY STAR, WEEE|Yes|Yes|Yes||"15.2"" (385.9 mm)"||170Â°||3 Year|ASUS Computer International|VE228H|http://www.asus.com||1920 x 1080|Wall Mountable|1|2||29 W|VE228H Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card||does not accept phone orders.|PC||VE228H|VE228H Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"21.5"""||Yes|76 Hz|900 mW||||||160Â°|Yes|100 x 100|Yes||4.10 kg||"20.2"" (512.8 mm)"|
E201W-BK - Nec Display Multisync E201w Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|NEC Display|250 cd/mÂ²||Windows 7-certifiedISO 9241-307 Class I|||1,000:1||"2.2"" (55.9 mm)"|"8.4"" (213.4 mm)"||Yes|Yes|||EPEAT Silver, ENERGY STAR, RoHS, TCO '05|Yes|Yes|||"11.2"" (284.5 mm)"|"14.1"" (358.1 mm)"|178Â°||3 Year|NEC Display Solutions|E201W-BK|http://www.necdisplay.com||1600 x 900||1|||25 W|||does not accept phone orders.|PC|MultiSync|E201W|MultiSync E201W Widescreen LCD Monitor||LCD Monitor|||5 ms||"20"""|||75 Hz|420 mW||||||178Â°|Yes|100 x 100|Yes||5.40 kg||"18.8"" (477.5 mm)"|"18.8"" (477.5 mm)"
24M45VQ-B - Lg Led Lcd Monitor M45 - PC-Canada.com|Yes|||16:9||LG|250 cd/mÂ²|||Black|16.77 Million Colors|5,000,000:1||"2.3"" (59 mm)"|"7.4"" (188 mm)"|||Yes|Reading Mode, Super Energy Saving, Flicker-free|||||Yes|Yes|"13.5"" (344 mm)"|"17.5"" (445 mm)"|170Â°|||LG Electronics|24M45VQ-B|http://www.lg.com/ca||1920 x 1080||1|||28 W||Twisted Nematic Film (TN Film)|does not accept phone orders.|||24M45VQ-B|LED LCD Monitor M45|M45|LCD Monitor|||2 ms|Full HD|"24"""|||||||-3Â°to20Â°|||160Â°|Yes|100 x 100|Yes||2.70 kg|3 kg|"21.9"" (556 mm)"|"21.9"" (556 mm)"
C9V73AA#ABA - Hp Elitedisplay E201 20-inch Led Backlit Monitor (energy Star) - PC-Canada.com|Yes|Yes|Yes|16:9|LED|HP|250 cd/mÂ²|USB Hub|CECBKCKCCNOMPSBICETUV-SCCCSEPAISCVCCIFCCBSMI|Black|16.7 Million Colors|1,000:1|China|"2"" (51.1 mm)"|"9"" (229.1 mm)"||Yes|Yes|Security Lock||China Energy Label (CEL), TCO Certified Edge, EPA, ENERGY STAR, EPEAT Gold, CECP|Yes|Yes|||"11.4"" (289.3 mm)"|"17.1"" (435.1 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|C9V73AA#ABA|http://www.hp.com/ca||1600 x 900|Arm-mountable, Wall Mountable|1|||30 W|EliteDisplay E201 20-Inch LED Backlit Monitor (Energy Star)VGA CableDisplayPort CableUSB CableAC Power Cable||does not accept phone orders.||Advantage|E201|EliteDisplay E201 20-Inch LED Backlit Monitor (Energy Star)||LCD Monitor|||5 ms|HD+|"20"""|Anti-glare|No|60 Hz|500 mW||||Yes|USB 2.0|160Â°|Yes|100 x 100|Yes||3 kg||"18.6"" (473.2 mm)"|"18.6"" (473.2 mm)"
C9F26A8#ABA - Hp Prodisplay P201 20-inch Led Backlit Monitor - PC-Canada.com|Yes|||16:9|LED|HP|250 cd/mÂ²|||Black||1,000:1||"1.9"" (47.5 mm)"|"5.9"" (151.1 mm)"|||Yes|Security Lock||TCO Certified Displays, ENERGY STAR, EPEAT Gold|Yes|Yes|||"11.6"" (294.1 mm)"|"14.1"" (359.2 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|C9F26A8#ABA|http://www.hp.com/ca||1600 x 900||1|||22 W|ProDisplay P201 20-inch LED Backlit MonitorDVI CableVGA CableAC Power CablePrinted DocumentationCD-ROM||does not accept phone orders.||Essential|P201|ProDisplay P201 20-inch LED Backlit Monitor||LCD Monitor|||5 ms|HD+|"20"""|Anti-glare|||500 mW||||||160Â°|Yes|100 x 100|Yes||3.50 kg||"19"" (482 mm)"|"19"" (482 mm)"
22MB65P-B - Lg 22mb65p-b Lcd Monitor - PC-Canada.com|Yes||Yes||LED|LG||||||||||||Yes|||||||||||||LG Electronics|22MB65P-B|http://www.lg.com/ca||1680 x 1050||1||||||does not accept phone orders.|||22MB65P-B|22MB65P-B LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"22"""|||||||||||||Yes|||||
D7P53A8#ABA - Hp Promo Z24i 24-inch Ips Display - PC-Canada.com|Yes|Yes|Yes||LED|HP|300 cd/mÂ²|||||1,000:1|||||Yes|Yes|||||Yes|||||178Â°||3 Year|Hewlett-Packard|D7P53A8#ABA|http://www.hp.com/ca||1920 x 1200|Arm-mountable|1|||55 W||In-plane Switching (IPS) Technology|does not accept phone orders.||Promo|Z24i|Promo Z24i 24-Inch IPS Display||LCD Monitor|||8 ms|WUXGA|"24"""|Anti-glare|No||||||||178Â°|||Yes|||||
VN247H-P - Asus Vn247h-p Widescreen Lcd Monitor - PC-Canada.com|Yes||||LED|Asus|250 cd/mÂ²|Speaker||||80,000,000:1|||||||MultiScreen, Splendid Video Intelligence Technology, Security Lock|||||Yes||||||3 Year|ASUS Computer International|VN247H-P|http://www.asus.com||1920 x 1080|Wall Mountable|1||||||does not accept phone orders.|||VN247H-P|VN247H-P Widescreen LCD Monitor|VN|LCD Monitor|||1 ms|Full HD|"23.6"""||Yes|||||||||Yes|100 x 100|Yes|||||
UM.FG6AA.B01 - Acer Gn246hl Widescreen Lcd Monitor - PC-Canada.com|Yes|No|No|16:9|LED|Acer|350 cd/mÂ²|||Black|16.7 Million Colors|100,000,000:1||"1.7"" (42 mm)"|"7"" (179 mm)"|||Yes|||MPR II|Yes||Yes||"13.5"" (343 mm)"|"15.8"" (401 mm)"|170Â°|120 V AC, 230 V AC||Acer, Inc|UM.FG6AA.B01|http://www.acer.ca|No|1920 x 1080||1||450 mW|23 W|GN246HL Widescreen LCD Monitor 1 x VGA Cable 1 x DVI Cable Power Cord|Vertical Alignment (VA)|does not accept phone orders.|||GN246HL|GN246HL Widescreen LCD Monitor|G|LCD Monitor|||1 ms|Full HD|"24"""|Anti-glare|No|144 Hz|490 mW||No|-5Â°to15Â°|||160Â°|Yes||Yes||3.07 kg|3.52 kg|"22.2"" (565 mm)"|"22.2"" (565 mm)"
60A1MAR2US - Lenovo Thinkvision Lt2223p 21.5-inch Fhd Led Backlit Lcd (1920 X 1080) Monitor - PC-Canada.com|Yes|Yes|Yes|16:9|LED|Lenovo||USB Hub|TUV Green Mark ISO 9241-307 e-standby CSC GHG Saftey: BELLIS BSMI CCC CE cULus+ICES KC Gost IEC950 CB Report JEITA KEBS KONCAR KVALITET NEMKO NOM OTAN PSB SASO SONCAP TUV bauart TUV-S EMI: BSMI CCC CE DoC FCC B DoC IC KC SABS VCCI|Business Black|16.7 Million Colors|||"2.2"" (56.4 mm)"|"8.6"" (218.4 mm)"||Yes||||ENERGY STAR 6.0, EPEAT Gold, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.1, ULE Gold, EU RoHS, China Energy Label (CEL), IT Eco Declaration, REACH, EuP, China RoHS, EU WEEE, CECP, MPR II|Yes||Yes|||"14.3"" (363 mm)"||110 V AC, 220 V AC|3 Year|Lenovo Group Limited|60A1MAR2US|http://www.lenovo.com/ca/en||1920 x 1080||1||500 mW|8 W|ThinkVision LT2223p 21.5-inch FHD LED Backlit LCD (1920 X 1080) Monitor Detachable Tool-less Full Ergo Stand VGA Cable USB Cable Power Cord CD Quick Start and Safety Poster||does not accept phone orders.|PC|ThinkVision|LT2223p|ThinkVision LT2223p 21.5-inch FHD LED Backlit LCD (1920 X 1080) Monitor||LCD Monitor||||Full HD|"21.5"""|||60 Hz|500 mW||||Yes|USB 2.0||Yes||Yes||4.96 kg||"20.2"" (512.6 mm)"|"20.2"" (512.6 mm)"
VS208N-P - Asus Vs208n-p Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|250 cd/mÂ²|||Black|16.7 Million Colors|50,000,000:1||"7.7"" (194.9 mm)"||||Yes|||ENERGY STAR, EPEAT Gold|Yes|Yes|No||"14.6"" (371 mm)"||170Â°||3 Year|ASUS Computer International|VS208N-P|http://www.asus.com||1600 x 900|Wall Mountable|1||500 mW|14 W|VS208N-P Widescreen LCD MonitorPower CordVGA CableWarranty CardQuick Start Guide||does not accept phone orders.|||VS208N-P|VS208N-P Widescreen LCD Monitor|VS|LCD Monitor|||5 ms|HD+|"20"""|||75 Hz|500 mW||||||160Â°|Yes|75 x 75|Yes||2.50 kg||"18.9"" (479.9 mm)"|
2580AF1 - Lenovo Ls1922 Wide 18.5inch Wled Flat Panel Monitor (vga Only) - PC-Canada.com|Yes|||16:9|LED|Lenovo|250 cd/mÂ²||GSISO 9241-307Safety:c (TUV) usIEC950 CB ReportSEMKONOMSASOCETUVCCCGostPSBUkraineKEBSe-standbyBSMIJEIDATUV-SISCKVALITETINSMSTZBELLISKONCAROTANSONCAPCSCChina National Monitor Energy Efficiency Standard (Tier 1)EMI:FCC BICVCCIKCSABS-CoC, LoA|Business Black|16.7 Million Colors|1,000:1||"8.3"" (209.6 mm)"|||||Security Lock||ENERGY STAR 5.1, TCO Certified Displays 5.2, WEEE, RoHS, China RoHS|Yes||||"14.5"" (369.3 mm)"||170Â°|110 V AC, 220 V AC|3 Year|Lenovo Group Limited|2580AF1|http://www.lenovo.com/ca/en||1366 x 768||1||500 mW|24 W|||does not accept phone orders.|PC||LS1922|LS1922 Wide 18.5inch WLED Flat Panel Monitor (VGA Only)||LCD Monitor|||5 ms|WXGA|"18.5"""|||60 Hz|1 W||||||160Â°|Yes|100 x 100|Yes||2.97 kg||"17.4"" (441.5 mm)"|
PB238Q - Asus Pb238q Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:9|LED|Asus|250 cd/mÂ²|Speaker, USB Hub|UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCIPSEWHQL|Black|16.7 Million Colors|80,000,000:1||"2.3"" (57.6 mm)"|"7.9"" (201 mm)"||Yes|Yes|Trace Free Technology, Splendid Video Intelligence Technology, Security Lock||ENERGY STAR, ErP, J-Moss (Japanese RoHS), RoHS, WEEE|Yes|Yes|Yes||"12.7"" (323.7 mm)"|"16.3"" (414 mm)"|178Â°|110 V AC, 220 V AC|3 Year|ASUS Computer International|PB238Q|http://www.asus.com||1920 x 1080|Wall Mountable|1|2|||PB238Q Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordUSB CableQuick Start GuideWarranty Card|In-plane Switching (IPS) Technology|does not accept phone orders.|PC||PB238Q|PB238Q Widescreen LCD Monitor|PB|LCD Monitor|||6 ms|Full HD|"23"""||Yes|75 Hz|500 mW||||Yes|USB 2.0|178Â°|Yes|100 x 100|Yes||5.50 kg||"21.6"" (548.8 mm)"|"21.6"" (548.8 mm)"
F3J72AA#ABA - Hp Elitedisplay S231d Led Monitor F3j72aa - PC-Canada.com|Yes||Yes|16:9|LED|HP|250 cd/mÂ²|Microphone|CB CE TUV-S EAC CUL FCC CSA NOM S-mark VCCI PSB ISC CCC BSMI C-Tick E-standby KC|||5,000,000:1||"2"" (50.8 mm)"|||Yes||Security Lock||ENERGY STAR, CECP, China Energy Label (CEL), TCO Certified Edge, TCO Certified Displays|Yes|||Yes|"13"" (328.9 mm)"||178Â°|120 V AC, 230 V AC|3 Year|Hewlett-Packard|F3J72AA#ABA|http://www.hp.com/ca||1920 x 1080||1|||60 W||In-plane Switching (IPS) Technology|does not accept phone orders.||Elite|S231d|EliteDisplay S231d LED Monitor F3J72AA||LCD Monitor|||7 ms|Full HD|"23"""|Anti-glare|||||360Â°|-5Â°to30Â°|Yes|USB 3.0|178Â°|||Yes|Yes|6.12 kg||"21.4"" (544.1 mm)"|
F0W81AA#ABA - Hp Business E241i Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:10|LED|HP|250 cd/mÂ²|USB Hub|C-Tick E-Standby NOM PSB TUV Ergo TUV GS UL VCCI ICE SmartWay|Gray|16.7 Million Colors|5,000,000:1||"2.2"" (55 mm)"|"10.9"" (276.2 mm)"||Yes|Yes|Security Lock||ENERGY STAR, TCO Certified Displays, EPEAT Gold, REACH, TCO Certified Edge, TÃV, China Energy Label (CEL)|Yes|Yes|||"14.3"" (362.6 mm)"|"20.3"" (516.6 mm)"|178Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|F0W81AA#ABA|http://www.hp.com/ca|"5.9"" (149.9 mm)"|1920 x 1200||1|||35 W|Business E241i Widescreen LCD Monitor VGA Cable USB Cable DisplayPort Cable AC Power Cable Printed Documentation CD (User Guide,Warranty,Drivers) HP Display Assistant Software|In-plane Switching (IPS) Technology|does not accept phone orders.|PC|Business|E241i|Business E241i Widescreen LCD Monitor||LCD Monitor|||8 ms|WUXGA|"24"""|Anti-glare|||500 mW||180Â°|-5Â°to30Â°|Yes|USB 2.0|178Â°|||Yes||4.13 kg|6.58 kg|"21.9"" (556 mm)"|"2.2"" (55.6 mm)"
E4S07A8#ABA - Hp Prodisplay P231 23-inch Led Backlit Monitor (energy Star) (e4s07a8) - PC-Canada.com|Yes|No||16:9|LED|HP|250 cd/mÂ²||CE CB KC KCC NOM PSB ICE TUV-S RCM CCC ISC VCCI FCC BMSI SmartWay Transport Partnership (NA) Microsoft WHQL Certification|Black|16.7 Million Colors|1,000:1|China|"2"" (51.1 mm)"|"6.5"" (165.6 mm)"|Landscape||Yes|Security Lock, Multiview||WEEE, EU WEEE, REACH, CECP, China Energy Label (CEL), EPEAT Gold, ENERGY STAR, TCO Certified Edge, IT Eco Declaration, RoHS|Yes|Yes|||"13"" (328.9 mm)"|"15.6"" (395 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|E4S07A8#ABA|http://www.hp.com/ca||1920 x 1080|Desk Mountable, Wall Mountable, Arm-mountable|1|||31 W||Twisted Nematic Film (TN Film)|does not accept phone orders.||Business|P231|ProDisplay P231 23-inch LED Backlit Monitor (ENERGY STAR) (E4S07A8)|Essential|LCD Monitor|Yes|Plastic|5 ms|Full HD|"23"""|Anti-glare||60 Hz|500 mW||||||160Â°|Yes|100 x 100|Yes||3.85 kg||"21.4"" (544.1 mm)"|"21.4"" (544.1 mm)"
VS207D-P - Asus Vs207d-p Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|||FCCGost-RBSMICBCEC-TickUL/cULVCCIWHQL|Black|16.7 Million Colors|80,000,000:1||"7.3"" (185 mm)"|||||Splendid Video Intelligence Technology, Security Lock||ENERGY STAR, WEEE, EPEAT Gold, ErP, TCO Certified Displays 6.0, RoHS|Yes||||"14"" (355.5 mm)"||170Â°||3 Year|ASUS Computer International|VS207D-P|http://www.asus.com||1600 x 900|Wall Mountable|1||500 mW|25 W|VS207D-P Widescreen LCD MonitorVGA CablePower CordQuick Start GuideWarranty Card||does not accept phone orders.|PC||VS207D-P|VS207D-P Widescreen LCD Monitor|VS|LCD Monitor|||5 ms|HD+|"19.5"""|||75 Hz|500 mW||||||160Â°|Yes|75 x 75|Yes||2.59 kg||"18.4"" (468 mm)"|
UM.PB6AA.003 - Acer B286hk Widescreen Lcd Monitor - PC-Canada.com||||16:9|LED|Acer|300 cd/mÂ²|USB Hub||Dark Gray|16.7 Million Colors|100,000,000:1||"2.5"" (64.5 mm)"|"9.7"" (247.2 mm)"||Yes|Yes||Click to view|EPEAT Gold, TCO Certified Displays 6.0|Yes||Yes||"15"" (381.9 mm)"|||||Acer, Inc|UM.PB6AA.003|http://www.acer.ca||3840 x 2160||1|||39 W|B286HK Widescreen LCD Monitor1 x DVI Cable1 x DisplayPort Cable1 x HDMI CablePower Cord1 x USB 3.0 Cable|Twisted Nematic Film (TN Film)|does not accept phone orders.|||B286HK|B286HK Widescreen LCD Monitor|B|LCD Monitor|||1 ms|4K UHD|"28"""||Yes|||||-5Â°to35Â°|Yes|||||||||"25.9"" (658.7 mm)"|"25.9"" (658.7 mm)"
60AAHAR1US - Lenovo Thinkvision Lt1913p 19-inch Square Ips Led Backlit Lcd Monitor - PC-Canada.com|Yes|Yes|Yes||LED|Lenovo|250 cd/mÂ²||TUV Green Mark ISO 9241-307|Black|16.7 Million Colors|1,000:1||"8.7"" (221.9 mm)"||||Yes|||ENERGY STAR 6.0, EPEAT Gold, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.1, China Energy Label (CEL), RoHS, China RoHS, ULE Gold|Yes|Yes|||"14.9"" (378.3 mm)"||178Â°||3 Year|Lenovo Group Limited|60AAHAR1US|http://www.lenovo.com/ca/en||1280 x 1024||1|||||In-plane Switching (IPS) Technology|does not accept phone orders.|PC|ThinkVision|LT1913p|ThinkVision LT1913p 19-Inch Square IPS LED Backlit LCD Monitor||LCD Monitor|||7 ms|SXGA|"19"""||||||||||178Â°|||Yes||4.55 kg||"16.2"" (411 mm)"|
C240P4QPYEW/27 - Philips Lcd Monitor With Clinical D-image - PC-Canada.com|Yes|Yes|Yes|16:10|LED|Philips|300 cd/mÂ²|USB Hub, Speaker|IEC/EN60601-1-2 NEMA CE GOST JIS Z2801 TUV/GS IEC/EN60601-1 TUV Ergo|White|16.7 Million Colors|1,000:1||"2.6"" (65 mm)"|"9.6"" (244 mm)"||Yes|Yes|Sync on Green, SmartControl, Security Lock, SmartErgoBase, PowerSensor, Cable Management, SmartImage||TCO Certified Displays 6.0, EPEAT Gold, ENERGY STAR 6.0, RoHS, WEEE|Yes|Yes||Yes|"15.3"" (388 mm)"|"21.7"" (550 mm)"|178Â°|110 V AC, 220 V AC||Philips Electronics|C240P4QPYEW/27|http://www.philips.com||1920 x 1200||1|2|0 mW|17.40 W||In-plane Switching (IPS) Technology|does not accept phone orders.|PC, Mac|Brilliance|C240P4QPYEW|LCD Monitor with Clinical D-image||LCD Monitor|||14 ms|WUXGA|"24"""||Yes|60 Hz|400 mW||||Yes|USB 2.0|178Â°|Yes|100 x 100|Yes||4.64 kg|6.97 kg|"21.9"" (555 mm)"|"21.9"" (555 mm)"
"E224WI-BK - Nec Display 22"" Eco-friendly Widescreen Desktop Monitor W/ Ips Panel And Led Backlighting - PC-Canada.com"|Yes|Yes|Yes|16:9|LED|NEC Display|250 cd/mÂ²||ISO 9241-307 Class I|Black|16.7 Million Colors|1,000:1||"2.3"" (58.4 mm)"|"8.4"" (213.4 mm)"|Portrait|Yes|Yes|Cable Management, AccuColor, Ambient Light Sensor, Touch Controls, Sync on Green, Eco Mode, Carbon Footprint Meter||EPEAT Silver, ENERGY STAR 6.0, TCO Certified Displays 6.0, RoHS|Yes|Yes|||"11.9"" (302.3 mm)"|"18.7"" (475 mm)"|178Â°||3 Year|NEC Display Solutions|E224WI-BK|http://www.necdisplay.com||1920 x 1080|Desk Mountable|1|||26 W|"22"" Eco-Friendly Widescreen Desktop Monitor w/ IPS Panel and LED Backlighting Setup Sheet User Manual Power Cord 15-pin D-sub Cable DVI Cable"|Advanced High Performance In-plane Switching (AH-IPS) Technology|does not accept phone orders.|PC|MultiSync|E224WI-BK|"22"" Eco-Friendly Widescreen Desktop Monitor w/ IPS Panel and LED Backlighting"|E|LCD Monitor|||6 ms|Full HD|"21.5"""|||76 Hz|400 mW||||||178Â°|Yes|100 x 100|Yes||3.90 kg|5.90 kg|"20"" (508 mm)"|"20"" (508 mm)"
60A6MAR2US - Lenovo Thinkvision Lt2452p 24-inch Wide Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:10|LED|Lenovo|300 cd/mÂ²||Safety: cTUVus IEC60950 CB Report NEMKO KVALITET CE NOM SASO Gost PSB BSMI JEITA TUV-S SABS KC EMI: FCC B CE VCCI KC BSMI CCC SABS KVALITET Ergonomic: TUV-GS ISO 9241-307 E-Standby|Business Black|16.7 Million Colors|1,000:1||"15.5"" (394.7 mm)"|||Yes|Yes|Security Lock, Cable Management||ENERGY STAR 5.1, Turkey RoHS, EU RoHS, TCO Certified Displays 6.0, Eco Mark (Japan), MPR II, CECP, China Energy Label (CEL), China RoHS, TCO Certified Edge Displays 1.1, EPEAT Gold, ULE Gold, EuP, REACH, EU WEEE|Yes||||"10.1"" (257.3 mm)"||178Â°|110 V AC, 220 V AC|3 Year|Lenovo Group Limited|60A6MAR2US|http://www.lenovo.com/ca/en||1920 x 1200||1||500 mW|40 W|||does not accept phone orders.|PC|ThinkVision|LT2452p|ThinkVision LT2452p 24-inch Wide LCD Monitor||LCD Monitor|Yes|85% Plastic|7 ms|WUXGA|"24"""|||60 Hz|500 mW||||||178Â°|Yes|100 x 100|Yes||6.67 kg||"22"" (559.6 mm)"|
