<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altoparlante  cuffia  spinotto di uscita|altoparlanti|altoparlanti incorporati|angolo di inclinazione|angolo di rotazione|angolo di visione orizzontale|angolo di visione verticale|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|area di visualizzazione effettiva|blocco cavo|bluetooth|caratteristiche|caratteristiche sicurezza|cavi inclusi|cavo alimentazione incluso|certificato energy star|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del prodotto|colore piedi|colori del display|colori display|comandi  regolazioni|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|composite sync|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connettori di ingresso|consumi|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico annuo|consumo energetico in standby|consumo energetico max|controllo del volume|copertura schermo|dcin jack|descrizione prodotto|dettagli dimensioni e peso|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni lxpxh|dimensioni schermo|display surface|dot pitch|dot rate video|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|interfacce|interfaccia comune|interfaccia di montaggio schermo piatto|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità|luminosità schermo|lunghezza cavo|lunghezza diagonale|manuale dellutente|megapixel|microfono incorporato|microfono spinotto dingresso|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mtbf|number of simultaneous touchpoints windows 7|numero di altoparlanti|numero di lingue osd|numero di prodotti inclusi|on screen display osd|peso|peso incluso imballo|peso prodotto con supporto|pictureinpicture|pivot angle|pixel pitch|plug  play|porta dvi|porta rs232|porta usb|posizionamento supportato|potenza assorbita in esercizio|potenza di uscita  canale|potenza in uscita rms|profondità|profondità con supporto|profondità imballo|protezione per i bambini|quantità|quantità displayports|quantità porte dvid|quantità porte hdmi|quantità porte thunderbolt|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|range di scansione orizzontale|range di umidità di funzionamento|rapporto daspetto|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regolazione posizione display|regolazioni formato schermo|retroilluminazione a led|risoluzione|risoluzione massima|risoluzione nativa|risoluzioni grafiche supportate|rotazione|schermo srgb|sicurezza|sintonizzatore tv integrato|sistema operativo linux supportato|sistema operativo windows supportato|source datasheet|standard ambientali|standard di conformità|subwoofer incorporato|supporto colore|sync hv separato|syncongreen sog|tecnologia display|tecnologia retroilluminazione|tecnologia touchscreen|telecomando|tempo di risposta|tensione richiesta|thin client installato|tipi schede di memoria|tipo|tipo alimentazione|tipo di display|tipo di dispositivo|tipo di prodotto|tipo di schermo|tipo schermo|tipologia di retroilluminazione|tipologia display|tipologia hd|tipologia touch screen|umidità|uscita audio|velocità refresh orizzontale|velocità refresh verticale|voltaggio di ingresso|webcam girevole
LG 17 17MB15T-B Touch MONITOR LED||||6,2 cm||15,9 cm|||||||||||||||AC, VGA|||UL(cUL) TUV-GS TUV-típus FCC-B, CE EPA|||||Nero|||16,7M|||75 x 75 mm||||||||||16W|||0,5W||||||||||||||370 x 95 x 315 mm||"43,18 cm (17"")"||0,264 x 0,264 mm||||50 Hz|30 - 83 kHz|56 - 75 Hz|No|||||||15 - 68°|||||||||||||37 cm||42,9 cm||||||||||||||Si|||||||2,9 kg|4,5 kg|3,3 kg||||Si||||||||31,5 cm||37,7 cm|||||||1||1||||1000:1||||||1280 x 1024 Pixels|||||||||||||||||||||||||||LED||||||||Multi utente|||||100 - 240V|
Samsung 24 S24C650MW MONITOR LED|||Interna|||||Integrato||-3/+25|-1/+95|178|178||||||Timer di spegnimento, MagicColor, MagicAngle, MagicBright 3, Mega Dynamic Contrast Ratio, Eco Saving||1 x cavo VGA ¦ 1 x cavo DVI ¦ 1 x Cavo audio||Sì|||||['Nero opaco', 'Nero opaco']||||||||||||||||DVI-D, VGA||||||0,1 Watt|||||"Samsung 6 Series S24C650MW - monitor a LED - 24"""|Con supporto - larghezza: 55,48 cm - profondità: 22,4 cm - altezza: 38,2 cm - peso: 5,7 kg ¦ Senza supporto - larghezza: 55,48 cm - profondità: 5,42 cm - altezza: 35,94 cm|||||||['55,48 cm x 22,4 cm x 38,2 cm - con supporto', '55,48 cm x 22,4 cm x 38,2 cm - con supporto']|||||||||||||||||||||||VGA ¦ DVI-D ( HDCP ) ¦ Ingresso/uscita audio||100 x 100 mm|||||||||||['250 cd/m2', '250 cd/m2']|||"24"""||||||||||||||['5,7 kg', '5,7 kg']|||||['0,27 mm', '0,27 mm']||||||30 Watt|1 Watt||||||||||||||||['Widescreen', 'Widescreen']|['1000:1', '1000:1']||130 mm|['Altezza, snodo (rotazione), piano girevole, inclinazione', 'Altezza, snodo (rotazione), piano girevole, inclinazione']|||||['1920 x 1200', '1920 x 1200']|||||||||Certificato ENERGY STAR|['TUV GS, TCO Displays 5.25, ISO 9241-307', 'TUV GS, TCO Displays 5.25, ISO 9241-307']||['16,7 milioni di colori', '16,7 milioni di colori']||||Retroilluminazione a LED|||['5 ms', '5 ms']||||Altoparlanti - stereo - integrato|||"Monitor LCD con retroilluminazione a LED - 24"""||['AD-PLS', 'AD-PLS']|Monitor LCD con retroilluminazione a LED / matrice attiva TFT||||||||||
AOC LED 22 e2260Pq MONITOR LED|Si||||40,83 cm|17,7 cm|||Si|||||170°|160°||Kensington|No|||AC, Audio (3.5mm), DVI, VGA|||CE, CU, Energy Star 6.0, EPEAT Silver, EuP, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety|Si|Non specificato|No||Bianco||16,77M||||100 x 100 mm|No|||||Argento||No||19W||0,5W|0,5W||||||||||47,664 cm|26,811 cm|||||"['55,88 cm (22"")', '55,9 cm']"||0,282 x 0,282 mm||16:10||50/60 Hz|30 - 83 kHz|50 - 76 Hz|||Si||Si|Si||-5 - 22°|Si|Si|Si||||||Si||||50,78 cm|50,78 cm|65,2 cm|Si||||250 cd/m²|||||||||Si|70000h|||||Si||7,22 kg|5,65 kg||||Si|Si||||||2W||24,46 cm|41,3 cm|||1|1|||||1||||1000:1|50000000:1|13 cm||||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)|Si|||||||||||||TN||||2 ms||No|||||||||W-LED|LED|||||||100 - 240V|
LG 24 24M35H-B MONITOR LED||||31,4 cm|43,8 cm|14,3 cm|||No|||||170°|160°||Kensington||||AC, VGA|||UL (cUL), TUV, FCC-B, CE|Si|A+|||Nero||16,77M||||100 x 100 mm|No|||||||||18W||0,3W|0,3W|||26W|||||||||||||"['59,94 cm (23.6"")', '59 cm']"||0,2715 x 0,2715 mm||16:9|No||30 - 83 kHz|56 - 61 Hz||||Si||Si||-3 - 20°|Si|||||||||56 - 75 Hz|||55,6 cm|55,6 cm|62,5 cm|||||200 cd/m²|||Si||||||Si||||17|||2,7 kg|4,24 kg|3 kg||||Si|No|||||||9,8 cm|21,5 cm|41,4 cm|||||1||||1|30 - 83 kHz|||1000:1|5000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||TN||||5 ms||No||||||||||LCD|Full HD|||||||
HannsG LED 19 HX194DPB 5:4 MONITOR LED||||40,7 cm||47,2 cm|||Si|||||170°|160°||Kensington||||AC, VGA|||||Non specificato|||Nero||16,77M||||100 x 100 mm|No|||||||||||0,5W|0,5W||||||||||||||||"['48,3 cm', '48,26 cm (19"")']"||0,294 x 0,294 mm||5:4|No|50/60 Hz||||||Si|Si|Si||0 - 20°|Si|Si|Si|Si|||||Si|56 - 75 Hz||0 - 40 °C|40,7 cm||46 cm|Si||DEU, DUT, ENG, ESP, FRE, ITA, KOR, POR, RUS||250 cd/m²|||Si||||||Si|||2|12||Si|3 kg|4,1 kg||||||Si||||||2W|17,8 cm||11,8 cm||||1|||||1|30 - 82 kHz|20 - 85%||1000:1|80000000:1|||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)||||No||||||||||||||5 ms||No||||||||||LED|No||||||100 - 240V|
HannsG 23.6 HE247DPB MONITOR LED|Si|||399 mm||465 mm|||Si|||||170 °|160 °||Kensington|N||||||FCC, UL/CUL, CE, CB, GOST, 3C, BSMI|Si|Non specificato|N||Nero||16.77 M||||100 x 100 mm|N|||||||N||28 W||0.5 W|0.5 W||||Digitale||||||||||||"['599.4 mm (23.6 "")', '60 cm']"||0.2715 x 0.2715 mm||16:9|N|50/60 Hz|24 - 83 kHz|55 - 75 Hz||Si|N|Si||Si||-5 - 15 °|Si|Si|Si||Si||||Si|||5 - 35 °C|561 mm||614 mm|Si||DEU, DUT, ENG, ESP, FRE, HEB, ITA, KOR, POL, RUS, SCR, TUR||250 cd/m²|1.5 m||Si|||N|||Si|||2|12|1 pezzi|Si|4.5 kg|5.4 kg||N|||Si||||Orizzontale|||3 W|220 mm||109 mm||||1|||||1||||1000:1|40000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N|||N||||||N||||||||5 ms||N||||||||||LED|Full HD||||||100 - 240 V|
ASUS MONITOR LED 24 ASUS VS248H|Si||||412.3 mm|475 mm|1||N|||||170 °|160 °||Kensington||||AC, DVI, VGA|||CEL, UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS|Si||N||Nero||16.77 M||||100 x 100 mm|N||||||3.5 mm|||32 W||0.5 W|0.5 W||||||||||||||||"['61 cm', '609.6 mm (24 "")']"||0.2768 x 0.2768 mm||16:9|N|50/60 Hz|30 - 83 kHz|50 - 76 Hz||||Si||Si||20 - -5 °||Si||||||||50 - 76 Hz||5 - 35 °C||573.2 mm|645 mm|||||250 cd/m²|||Si|||||1080i, 1080p|Si||||||||6.4 kg|4.1 kg|||||Si||||||||205.5 mm|140 mm||||1|1||||1|30 - 83 kHz|20 - 80 %|||50000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||RoHS, WEEE|N||Si|.|||||||||||2 ms||N||||||||||LED|Full HD||||||100 - 240 V|
ACER LED 24 B243HLDOwmdr Wide MONITOR LED|Si||||393 mm|422 mm|||Si||-35 - 35 °|||170 °|160 °|531 x 299 mm||||||||CE, GS, ISO 9241-307, TCO 5.0|Si|||Si|Grigio||16.77 M||||100 x 100 mm|N|||||||||17.5 W|||0.55 W||||||||||||||||"['609.6 mm (24 "")', '61 cm']"||0.276 x 0.276 mm||16:9|N|50/60 Hz||||||Si||Si||-5 - 15 °||Si||||||||55 - 75 Hz|-20 - 60 °C|0 - 40 °C||567 mm|458 mm|Si||DEU, DUT, ENG, ESP, FIN, FRE, ITA, RUS||250 cd/m²|||Si||||||Si|30000 h||2|8||Si|7.6 kg|9.8 kg|||0 - 90 °|||||||||2 W||235 mm|245 mm|||||||||1|30 - 80 kHz|20 - 80 %||1000:1|100000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||N|||.|||||||TN+Film||||5 ms||N||||||||||LCD|Full HD||||||100 - 240 V|
Samsung 24 S24D300H LED MONITOR LED||||34,21 cm|41,72 cm|40,8 cm|||No|||||170°|160°||No|No|||VGA|||Windows 8.1|Si|A|No||Nero||16,77M||||No|No||Si|||||No||18W|||0,3W|34 kWh|||||||||||||||"60,96 cm (24"")"|Lucida|||16:9|No|50/60 Hz||||||Si||||-1 - 20°|Si|||No|||||||||56,9 cm|56,9 cm|63,5 cm|||||250 cd/m²|||Si||||||No|||||||2,8 kg|4,4 kg|3,15 kg|||||No|||||||5,39 cm|19,7 cm|11,1 cm|||||1||||1||||1000:1|Contrasto Mega|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||Si||||||||TN||||2 ms||No||||||||||LED|Full HD||||||100 - 240V|
AOC 24 e2460Sh MONITOR LED||||41,16 cm|||||Si|||||170°|160°||Kensington|||||||CE, TÜV-GS, CU, TCO 6.0, ISO 9241-307|Si|Non specificato|||Nero||||||100 x 100 mm||||||Oro||||22W||0,3W|0,5W||||||Si||||||||||"['60,96 cm (24"")', '61 cm']"||0,276 x 0,276 mm||16:9|No|50/60 Hz|||||No|||Si||-5 - 20°|Si|||||||||50 - 76 Hz|||56,54 cm|||||||250 cd/m²|||||||||Si||||||Si|4,27 kg|5,56 kg||||||Si|||||||21,93 cm|||Si|||1|1||||1|30 - 83 kHz|||1000:1|20000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|No|||No||||||||||||||1 ms|||||||||||||Full HD||||||100 - 240V|
ASUS LED 24.1 PB248Q IPS 6ms.VGA.DVI.USB MONITOR LED||||362.8 mm|416.3 mm|439 mm|1|||||||178 °|178 °||Kensington|||||||Energy Star®, BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, PSB, RoHS, TCO6.0, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7), NOM|Si||||Nero||16.77 M||||100 x 100 mm||||||||||65 W|||0.5 W||||||||||||||||"612.1 mm (24.1 "")"||||16:10|N|50/60 Hz||||||||Si|||||||||||||||557.2 mm|557.2 mm|681 mm|||||300 cd/m²|||||||||Si|||||||6.6 kg|||||||Si|||||||62 mm|235 mm|292 mm|||1|1|1|||4|1|||||80000000:1|Si||||1920 x 1200 Pixels|||||||N|||.|||||||IPS||||6 ms|||||||||||||Full HD||||||100 - 240 V|
Apple Thunderbolt display 27 MONITOR LED||||49,1 cm|||||Si|||||178°|178°||Kensington||||AC|||||Non specificato|Si||||16,77M|||||No||Si|||||||||||||250W|||||||||||||"68,58 cm (27"")"||||16:9|Si|50/60 Hz|||||||||||||||||||||-20 - 47 °C|10 - 35 °C|65 cm|||||||375 cd/m²|||Si||Si||||Si|||||||10800g|||||||||||||49W|20,7 cm||||||||1|3||||20 - 80%||1000:1||||||2560 x 1440 Pixels|||2560 x 1440||||No||||||||||IPS||||12 ms||No||||||||||LED|Full HD||||||100 - 240V|
IIyama MONITOR LED 22 IIyama PL P2252HS-B1|||||382.5 mm||1||Si|||||170 °|160 °||Si|N|||AC, Audio (3.5mm), DVI, VGA||||Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N||||||3.5 mm|||18 W|||0.5 W||||||||||476.64 mm|268.11 mm|||||"546.1 mm (21.5 "")"||0.248 x 0.248 mm||16:9|N|50/60 Hz|24 - 80 kHz|55 - 75 Hz||||Si||Si||0 - 20 °|Si|||||||||||||516.5 mm||||||225 cd/m²|||Si|||||1080p|Si|||2|8||Si|||4.5 kg||||Si|||||||2 W||195 mm|||||1|1||||1||||1000:1|5000000:1|||||1920 x 1080 Pixels|||1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)||||N|||.|||N||Si||TN+Film||||5 ms||N||||||||||LCD|Full HD||||||100 - 240 V|
