3d compatibility|<page title>|ac adapter included|ac power in|active display area w x h|annual energy consumption|aspect ratio|audio input|audio output|audio system|backlight type|bezel width bottom|bezel width side|bezel width top|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable length|cable lock slot|cables included|camera included|card reader integrated|certification|child lock|color gamut|colour of product|common interface ci|common interface plus ci|compatibility|compatible memory cards|compatible operating systems|compliance industry standards|component video ypbprycbcr in|composite sync|composite video in|connection to pc|contrast ratio dynamic|contrast ratio typical|current rating|dcin jack|depth|depth max|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h with stand|dimensions wxdxh|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display type|display viewable area hxv|displayports quantity|dvi port|dvid ports quantity|effective viewing area|electromagnetic compatibility|energy efficiency class|energy star certified|epeat compliance|ethernet lan|ethernet lan data rates|ethernet lan rj45 ports|feet colour|full hd|glass thickness|glossy display|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|hdready|headphone connectivity|headphone out|headphone outputs|height|height adjustment|height adjustment range|height max|height with stand|horizontal scan range|input current|input frequency|input voltage|interface type|led backlight|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum analog resolution|maximum resolution|maximum screen size compatibility|maximum weight capacity|mean time between failures mtbf|megapixel|microphone in|mini displayport quantity|minimum screen size compatibility|mobile highdefinition link mhl|mounting interface|native resolution|nonoperating altitude|number of colours|number of displays supported|number of loudspeakers|number of osd languages|number of products included|number of simultaneous touchpoints windows 7|omnitapps multitouch compatibility|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pan range|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption active|power consumption average|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|power supply type|product type|quantity|quick start guide|recyclable material|relative humidity|response time|rms rated power|rohs compliance|rotating|rotation|rs232 ports|safety|screen format adjustments|screen saving functions|screen size compatibility|security features|separate hv sync|speakers|standby led|storage relative humidity hh|storage temperature tt|supported graphics resolutions|supported video modes|swivel angle|swivel angle range|swivel webcam|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|touch screen type|touch sensitive screen|touchscreen technology|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|usb powered|usb required|usb version|user guide on cdrom|vertical scan range|vesa mounting interfaces compatibility|vga dsub input ports|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle|viewing angle horizontal|viewing angle vertical|voltage tolerance|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported
No|DELL E Series E1913S - MBE||Yes|||5:4|||||||||['No', 'No', 'No']|||||['Yes', 'Yes']|['AC, VGA', 'AC, VGA']||||||['Black', 'Black']||||||||||||1000:1|||16.35 cm||16.35 cm||||||250 cd/mÂ²|"48.26 cm (19"")"|48.3 cm|16.77M|1280 x 1024 pixels|||TN+Film||||||||Unspecified|Yes|Gold|||||||||No|No|||||||33.67 cm||||40.86 cm|||50/60 Hz|120 - 240V|||['Yes', 'Yes']||||||||||||||||||||||||||['Yes', 'Yes']||10 - 80%|0 - 40 Â°C||||||||||||0.294 x 0.294 mm|||||22W|||0.5W|18W||||||||||5 ms||||||||||||||5 - 90%|-20 - 60 Â°C|1280 x 1024 (SXGA)|||||||||||||['No', 'No']||||||||||1||48.3 cm||||170Â°|160Â°||||2.79 kg||41.19 cm|41.119 cm||
|Elo TouchSystems 1517L Rev B - MBE|||||4:3|||||||||||||||||||||['White', 'White']||||||||||||700:1||||||||358 x 197 x 319 mm|||200 cd/mÂ²|"38.1 cm (15"")"|||1024 x 768 pixels||||TFT|228 x 304 mm||||||||||||||['4.3 cm', '4.3 cm']||||||||||||||||31.5 - 60 kHz||50/60 Hz|100 - 240V||Yes|||||||||['50000h', '50000h']|||||||||16.2M|||8|||||CHI (SIMPL), CHI (TR), DEU, ENG, ESP, FRE, ITA, JPN|||20 - 80%|0 - 40 Â°C||['7.3 kg', '7.3 kg']|23.1 cm|48.5 cm|48.7 cm||||||||||||||||12W||||['AC/DC', 'AC/DC']||||||16 ms|||||1|||||||||10 - 90%|20 - 60 Â°C|['720 x 400, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA)', '720 x 400, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA)']||||||||||['Tabletop', 'Tabletop']||||1||||||56 - 75 Hz|75 x 75 mm||1||||||160Â°|140Â°|5%||||4.3 kg||||
|Ergotron LX Series Dual Display Lift Stand - MBE||||||||||||||||||||||||||['Black', 'Black']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0 - 130 mm||||||||||||['Yes', 'Yes']|||"60.96 cm (24"")"|15.5 kg|||||||||||2|||||||||||||['17100g', '17100g']|||||||||||||||||||||||||||||||||09Â°|||||||||||||||||||||-20 - 20Â°||||||||||||75 x 75, 100 x 100 mm||||||||||||||||||
No|Iiyama ProLite XU2290HS-B1 - MBE||Yes|||16:9|Yes||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']||||['AC, Audio (3.5mm), DVI, HDMI, VGA', 'AC, Audio (3.5mm), DVI, HDMI, VGA']|||TCO, CE, TUV-Bauart, VCCI-B, PS|||['Black', 'Black']|||||||||||5000000:1|1000:1|||18 cm|||30 - 80 kHz|56 - 75 Hz|||LCD|250 cd/mÂ²|"54.61 cm (21.5"")"|58.4 cm|16.77M|1920 x 1080 pixels|||||||Yes||||Unspecified|||||||||||Full HD|Yes||1|||||38.75 cm|||||24 - 80 kHz||50/60 Hz|100 - 240V||||||||||||||||||||||['2', '2', '2']|||||||||10 - 80%|5 - 35 Â°C||['5.9 kg', '5.9 kg']|['12.7 cm', '12.7 cm']|['45.9 cm', '45.9 cm']|['60.5 cm', '60.5 cm']|||||||0.265 x 0.265 mm|||||52W||||24W|||||||['Yes', 'Yes']|||5 ms|['2W', '2W', '2W']|||||||||||||5 - 85%|-20 - 60 Â°C|1920 x 1080 (HD 1080)|||||||No||||||['No', 'No']|||||||56 - 75 Hz|100 x 100 mm||1||||||89Â°|89Â°|||Yes|3.22 kg|4 kg|53.25 cm|||
No|Benq RL2455HM - MBE||Yes|||16:9|Yes|||||||No|['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']||['Kensington', 'Kensington']||||TCO 5.2|||['Black', 'Black']|||||||||||12000000:1|1000:1|||18.9 cm|||||||LED|250 cd/mÂ²|"60.96 cm (24"")"|60.96 cm|16.77M|1920 x 1080 pixels|||TN+Film||||Yes||||Unspecified|Yes||No||||||||Full HD|Yes||2||3.5 mm||1|43.5 cm|No|||||||90 - 264V||||||||||||||||||||||['2', '2', '2']|['17', '17']||||['Yes', 'Yes']||['Yes', 'Yes']|||||['5.7 kg', '5.7 kg']|||||||['No', 'No']|No||0.276 x 0.276 mm||['Yes', 'Yes']||||||0.5W|27W||||||['1', '1']||||1 ms|['4W', '4W', '4W']|||||||||||||||1920 x 1080 (HD 1080)|1080p||||No||No|Yes|-5 - 15Â°||||['No', 'No']||||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|4.1 kg||57.9 cm||No|['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64']
|Benq EW2740L - MBE|['Yes', 'Yes']||||16:9|||||||||['No', 'No', 'No']||['No', 'No', 'No']|||['Yes', 'Yes']|||||||['Black', 'Black']|||||||||||20000000:1||||19.132 cm|||||||LED|300 cd/mÂ²|"68.58 cm (27"")"||16.77M|1920 x 1080 pixels|||LCD||||No||||||||||||||||Yes||2|||||62.258 cm|No|||||||90 - 264V||||||['Yes', 'Yes']|||||||||||||||||['17', '17']||||['Yes', 'Yes']||||||||||||||||||||||||||||||||||||12 ms|||||||||||||||||||||||No|Yes|-5 - 20Â°||||['No', 'No']||||||||||1||||||178Â°|178Â°|||No|4.2 kg||45.057 cm|||['Windows 8', 'Windows 8']
No|Benq GL2460HM - MBE|['Yes', 'Yes']||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC', 'AC']|||TCO 6.0|||['Black', 'Black']|||||||||||12000000:1|1000:1|||||19.4 cm|||||LED|250 cd/mÂ²|"60.96 cm (24"")"|60.96 cm|16.77M|1920 x 1080 pixels|||TN+Film||||Yes|||||Yes||||||||||Full HD|Yes||1||||1||No|||43.4 cm||||95 - 265V|||['Yes', 'Yes']|||['Yes', 'Yes']||||||||||||||||['2', '2', '2']|['17', '17']||||['Yes', 'Yes']|||||||['5.8 kg', '5.8 kg']|['12.3 cm', '12.3 cm']|['41.7 cm', '41.7 cm']|['64.9 cm', '64.9 cm']|||||||0.276 x 0.276 mm|||||||0.3W||23W||['Yes', 'Yes']|||PC monitor||['Yes', 'Yes']|||2 ms|['2W', '2W', '2W']||||||||||||['Yes', 'Yes']|||1920 x 1080 (HD 1080)|1080p||||||No|Yes|-5 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes||4.3 kg|56.5 cm|56.5 cm||['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64']
No|Philips LCD monitor with SmartControl Lite 223V5LSB2 - MBE|||||16:9||||W-LED||||No|['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']||||RoHS|||['Black', 'Black']||||||BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TUV/ISO9241-307, cETLus, WEEE|||||10000000:1|600:1|||5 cm||21.3 cm|||||LED|200 cd/mÂ²|"54.61 cm (21.5"")"|54.6 cm|16.77M|1920 x 1080 pixels|Yes||TFT/S-PVA||||No|||||Yes|Silver|No|||['black', 'black']|||||Full HD||||||||31.6 cm||||37.6 cm|30 - 83 kHz||50/60 Hz|100 - 240V|||['Yes', 'Yes']||['Yes', 'Yes']||||||['30000h', '30000h']||||||||0 - 12192m||||['18', '18']||||['Yes', 'Yes']|['CHI (SIMPL), CZE, DEU, DUT, ENG, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, TUR, UKR', 'CHI (SIMPL), CZE, DEU, DUT, ENG, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, TUR, UKR']|['Yes', 'Yes']|0 - 3658m||0 - 40 Â°C||['3.87 kg', '3.87 kg']|['10.7 cm', '10.7 cm']|['41.4 cm', '41.4 cm']|['55.5 cm', '55.5 cm']|||||||0.248 x 0.248 mm||['Yes', 'Yes']||||0.5W||0.5W|15.61W||['Yes', 'Yes']|||||||20 - 80%|5 ms|||||||||||Yes||['Yes', 'Yes']||-20 - 60 Â°C|1920 x 1080 (HD 1080)||||||Yes|No|Yes|-5 - 20Â°||||['No', 'No']|||||||56 - 76 Hz|100 x 100 mm||1|||47.664 cm|26.811 cm||90Â°|65Â°|||Yes|2.35 kg|2.61 kg|50.3 cm|50.3 cm|No|['Yes', 'Yes']
|Elo TouchSystems 1919L - MBE|||||16:9|||||||||||['Yes', 'Yes']|||||['No', 'No']||['UL, cUL, NOM, CB, S-mark, CCC, VCCI, KC, KKC, BSMI, RoHS, China RoHS, WEEE, IMERC, CE', 'UL, cUL, NOM, CB, S-mark, CCC, VCCI, KC, KKC, BSMI, RoHS, China RoHS, WEEE, IMERC, CE']|||['Grey', 'Grey']||||||||||||1000:1||||||||454 x 236 x 321 mm|||225 cd/mÂ²|"46.99 cm (18.5"")"|||1366 x 768 pixels||||LCD|410 x 230 mm|||||||||||||Yes||||||||Yes|||||||||30 - 83 kHz||50/60 Hz|100 - 240V||||||||['1680 x 1050 DPI', '1680 x 1050 DPI']|||['50000h', '50000h']|||||||['1366 x 768', '1366 x 768']|0 - 12192m|16.7M||['2', '2']|||||['Yes', 'Yes']|||0 - 3658m|20 - 80%|0 - 40 Â°C|['570 x 415 x 225 mm', '570 x 415 x 225 mm']|['9.7 kg', '9.7 kg']|||||||||||||||||||18.5W||||||||||5 ms|||||1|||||||||10 - 90%|-20 - 60 Â°C|||||||||||||||1||||||50 - 75 Hz|100 x 100 mm||1||||||170Â°|160Â°|||Yes||6.8 kg||||
|Newstar LCD/TFT desk mount - MBE||||||||||||||||||||||||||['Silver', 'Silver']|||LCD/LED/TFT|||||||||||||5 cm||||||||||||||||||||||||||||||||||||||||||||47 cm|||||||||||||||12 kg|||||||['VESA 75 x 75mm, 100 x 100mm', 'VESA 75 x 75mm, 100 x 100mm']||||||||||||||||||||||||||||||||||||||||||||||||||360Â°|||||"66.04 cm (26"")"||||||||||||||||0 - 180Â°||||||||||||||||||||||||||||||
|NEC EA273WMi - MBE||Yes|||16:9|Yes|||W-LED||||No|['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['No', 'No']|['AC, Audio (3.5mm), DVI, USB, VGA', 'AC, Audio (3.5mm), DVI, USB, VGA']|||TCO, RoHS, ISO 9241-307 Class I|||['White', 'White']||||||||Yes||||1000:1|||6.65 cm||23 cm|31.5 - 83 kHz|56 - 75 Hz|||LED|250 cd/mÂ²|"68.58 cm (27"")"|68.58 cm|16.77M|1920 x 1080 pixels|Yes||IPS|||1|Yes|1|||Unspecified|Yes|Gold|No||||||||Full HD|Yes||1|||||37.78 cm|Yes|||54.8 cm|31.5 - 83 kHz||||||['Yes', 'Yes']|||['Yes', 'Yes']|||||||||||||0 - 12192m||||||||['Yes', 'Yes']||['Yes', 'Yes']|0 - 2000m|20 - 80%|5 - 35 Â°C||||||||||Yes||0.31 x 0.31 mm|['Horizontal/Vertical', 'Horizontal/Vertical']|['Yes', 'Yes']||||||0.48W|31W||['Yes', 'Yes']||||['1', '1']|['Yes', 'Yes']|||6 ms|||||||||||Yes||['Yes', 'Yes']|10 - 85%|-10 - 60 Â°C|1920 x 1080 (HD 1080)|||||Yes|Yes|No|Yes|||||['No', 'No']|4||||||56 - 75 Hz|100 x 100 mm||1||||||178Â°|178Â°|||Yes|4.3 kg|7.2 kg|63.93 cm|63.93 cm|No|
|Newstar FPMA-D1330SILVER flat panel desk mount - MBE||||||||||||||||||||||||||['Silver', 'Silver']||||||||||||||||43 cm||||||||||||||||||||||||||||||||||||||||||||40 cm||||||||||||||"60.96 cm (24"")"|9 kg|||||"25.4 cm (10"")"||||||1||||||||||||||||||||||||||||||||||||||||||||||360Â°||||||||||||||180Â°|||||||0 - 15Â°||||||||||||75 x 75, 100 x 100 mm||||||||||||||||||
|Elo TouchSystems 2200L - MBE|||||16:10|1||||||||||['Yes', 'Yes']|||||['No', 'No']||['C-Tick, CCC, VCCI, EK, MIC, BSMI, S-mark, UL, cUL, FCC, NOM, CE, PCT, China RoHS, WEEE, IMERC, EU RoHS', 'C-Tick, CCC, VCCI, EK, MIC, BSMI, S-mark, UL, cUL, FCC, NOM, CE, PCT, China RoHS, WEEE, IMERC, EU RoHS']|||['Grey', 'Grey']||||||||||||1000:1|||||||||||270 cd/mÂ²|"55.88 cm (22"")"|||1680 x 1050 pixels||||LCD|474 x 296 mm|||1||||||||||No||||||||Yes|||1||||||30 - 83 kHz||50/60 Hz|100 - 240V|||||||||||['50000h', '50000h']|||||||['1680 x 1050', '1680 x 1050']|0 - 12192m|16.7M||['2', '2']|||||['Yes', 'Yes']|||0 - 3658m|20 - 80%|0 - 40 Â°C|['525 x 680 x 255 mm', '525 x 680 x 255 mm']|['13.6 kg', '13.6 kg']|||||||||||||||||||75W||||||||||5 ms|||||1|||||||||10 - 90%|-20 - 60 Â°C|||||||||||||||1||||||53 - 75 Hz|100 x 100 mm||1||||||160Â°|160Â°|||Yes|6.8 kg|10.1 kg||||
|Benq GL2450 - MBE|||||16:9||||||||No|['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']||||||72%|['Black', 'Black']|||||||||||12000000:1|1000:1|||17.9 cm|||||||LED|250 cd/mÂ²|"60.96 cm (24"")"||16.77M|1920 x 1080 pixels||Gloss|TN||||Yes|1|||Unspecified|Yes||No|||['Black', 'Black']|||||Full HD|Yes|||||||43.6 cm|No|||||||90 - 264V||||||||||||||||||||||||||||||||||||||||||||0.276 x 0.276 mm|||||||0.3W||34W||||||||||5 ms||||||||||||||||1920 x 1080 (HD 1080)|1080p||||||No|Yes|-5 - 15Â°||||['No', 'No']||||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|4.1 kg||67.9 cm||No|['Windows 7 Home Basic, Windows 8, Windows Vista Home Premium, Windows Vista Home Premium x64', 'Windows 7 Home Basic, Windows 8, Windows Vista Home Premium, Windows Vista Home Premium x64']
No|Lenovo ThinkVision LT2252p - MBE|||||16:10||||W-LED|||||['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']|['DVI, VGA', 'DVI, VGA']|||UL, CSA, CE, CCC, GS, TUV, SASO, KC, TUV-S, CSC, GOST, PSB, BSMI, FCC|||['Black', 'Black']||||||||||||1000:1|||24.12 cm|||||||LCD|250 cd/mÂ²|"55.88 cm (22"")"|55.9 cm||1680 x 1050 pixels|||TN+Film|||1|Yes|1|||Unspecified|Yes|Gold|||||||||HD-ready|Yes|||||||36.73 cm|No|||||||||||||['Yes', 'Yes']|||||||||||||||||['8', '8']||||['Yes', 'Yes']||||10 - 80%|0 - 40 Â°C||||||||||Yes||0.282 x 0.282 mm||['Yes', 'Yes']|||||||20W||['Yes', 'Yes']|||||['Yes', 'Yes']|||5 ms|||||||||||||['Yes', 'Yes']|||640 x 368, 720 x 400, 1600 x 900, 1024 x 576 (WSVGA), 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 768 (WXGA), 1280 x 800 (WXGA), 1366 Ñ… 768, 640 x 480 (VGA), 800 x 600 (SVGA)|||-45 - 45Â°||Yes||No|Yes|0 - 30Â°||||['No', 'No']||||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|5.89 kg||50.6 cm|||
No|Acer Professional 226WLymdr - MBE|||||16:10|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||||||TCO 6.0|||['Grey', 'Grey']|||||||||||100000000:1||||22.12 cm|||||||LED|250 cd/mÂ²|"55.88 cm (22"")"|55.9 cm|16.77M|1680 x 1050 pixels|||||||||||Unspecified||Gold|||||||||HD-ready|Yes|||||||50.57 cm|Yes|||||||110 - 220V||||||||||||||||||||||['2', '2', '2']||||||||||||||||||||||||||||||17.2W|24.2W||||||||||5 ms||||||||||||||||1680 x 1050 (WSXGA+)|||||||No||||||['No', 'No']||||||||||1||||||170Â°|160Â°||||3.09 kg|5.75 kg|53.42 cm|||
|Viewsonic TD2740 27  Widescreen 10 Point Touchscreen HDMI VGA Display Port, Full HD Monitor With Webcam - MBE|||||16:9|1||||||||||['Yes', 'Yes']||||AC, Audio (3.5mm), HDMI, USB, VGA|||['EPEAT Gold', 'EPEAT Gold']|||['Black', 'Black']|||||||||||2000000:1|3000:1|||4.99 cm|||24 - 82 kHz|50 - 75 Hz||||260 cd/mÂ²|"68.58 cm (27"")"|||1920 x 1080 pixels||||TFT|596.9 x 335.28 mm|1||||||['Yes', 'Yes']||||||Yes|||||||1||||1|41.89 cm|||||||50/60 Hz|100 - 240V|||||||||||['30000h', '30000h']|||||||||||['2', '2']|||||||||20 - 90%|0 - 40 Â°C|['739 x 127 x 510 mm', '739 x 127 x 510 mm']|['10500g', '10500g']|||||||||||||||||28W||52W||||||||||14 ms|['4W', '4W']||||||||||Yes|||||['1920 x 1080 (HD 1080)', '1920 x 1080 (HD 1080)']|||||||||['15 - 70Â°', '15 - 70Â°']||Yes|Capacitive||2|||||||100 x 100 mm||1||||||178Â°|178Â°|||Yes|8.8 kg||67.26 cm|||
|Elo TouchSystems 1517L AccuTouch - MBE|||||4:3||||||||||||||||||['C-Tick; cUL, IC; CCC; CE; VCCI; KCC, e-Standby; BSMI Mark; UL, FCC; CB; RoHS, China RoHS, WEEE, IMERC', 'C-Tick; cUL, IC; CCC; CE; VCCI; KCC, e-Standby; BSMI Mark; UL, FCC; CB; RoHS, China RoHS, WEEE, IMERC']|||['Black', 'Black']||||||||||||700:1|||31.8 cm||||||||200 cd/mÂ²|"38.1 cm (15"")"||['16.2M', '16.2M']|1024 x 768 pixels||||LCD|228 x 304 mm|||||||||||||||||||||||||17.3 cm|||||31.5 - 80 kHz||50/60 Hz|100 - 240V|||||||||||['50000h', '50000h']|||||||||||||||['No', 'No']|['Yes', 'Yes']||||20 - 80%|-20 - 60 Â°C|['436 x 370 x 195 mm', '436 x 370 x 195 mm']|['6.8 kg', '6.8 kg']|||||||||||||||||||10W||||||||||25 ms||||||||||||||10 - 90%|0 - 40 Â°C|['720 x 400, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA)', '720 x 400, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA)']||||||||||['Tabletop', 'Tabletop']||Resistive||1|||Yes|||56 - 75 Hz|75 x 75 mm||1||||||160Â°|140Â°|||Yes|4.1 kg||35.8 cm|||
No|Benq BL2201PT - MBE|||||16:10|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||||||RoHS|||['Black', 'Black']|||||||||||12000000:1|1000:1|||23.3 cm|||||||LED|250 cd/mÂ²|"55.88 cm (22"")"|55.8 cm|16.77M|1680 x 1050 pixels|||||['473.7 x 296.1 mm', '473.7 x 296.1 mm']|||1|||Unspecified|Yes||||||||||||||||||44.5 cm|['Yes', '13 cm']|||||||100 - 240V||||||||||||||||||||||['2', '2', '2']||||||||||||['8.9 kg', '8.9 kg']||||||||||0.282 x 0.282 mm|||||||0.3W||34.5W||||||||||5 ms|['2W', '2W', '2W']|||||||||||||||1680 x 1050 (WSXGA+)|||-45 - 45Â°||Yes||No||||||['No', 'No']||||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|6.1 kg||58.9 cm|||
|DELL UltraSharp U2713HM - MBE|||||16:9|||||||||['No', 'No', 'No']||['No', 'No', 'No']|||['Yes', 'Yes']||||||||||||||||||2000000:1|1000:1|||6.56 cm||20.03 cm|||||LED|350 cd/mÂ²|"68.58 cm (27"")"|68.58 cm|16.77M|2560 x 1440 pixels|||LCD|||||1||||Yes|Gold|||||||||HD-ready|Yes||1|||||37.82 cm||||53.89 cm||||||||||||||||||||||||||||||||||||||||||||||||0.23 x 0.23 mm||||||||0.5W|||||||||||68.58 ms||||||||||||||||1600 x 900|||||||No||||||['No', 'No']||5||||||||1||||||178Â°|178Â°||||5.6 kg|10200g|63.93 cm|63.93 cm||
|AOC E2250SWDNK 21.5 LED Widescreen DVI 5ms - MBE|||||16:9||||W-LED||||No|['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']|||['No', 'No']|CB, CE, FCC, GOST, ISO 9241-307, RoHS, TÃœV-GS, Win7|||['Black', 'Black']|No|No||['No', 'No']|||||||20000000:1|600:1|||19 cm|||||||LED|200 cd/mÂ²|"54.61 cm (21.5"")"||16.77M|1920 x 1080 pixels|||||||Yes|1||||Yes||No||||||||Full HD|Yes|['No', 'No']||||||37.995 cm|No||||30 - 83 kHz||50/60 Hz|100 - 240V||||||||['1920 x 1080 pixels', '1920 x 1080 pixels']|||||||||||||||['16', '16']||||['Yes', 'Yes']|||||||||||||||||0.248 x 0.248 mm||['Yes', 'Yes']||||||0.5W|21W||||||||||5 ms||||||||||||||||1920 x 1080 (HD 1080)|||||||No||-4 - 17Â°||||['No', 'No']|||||||50 - 76 Hz|75 x 75 mm||1|['148 MHz', '148 MHz']|54.7 cm|47.664 cm|26.811 cm||90Â°|65Â°|||Yes|4.06 kg||51.118 cm|||
Yes|Benq XL2720Z - MBE|||||16:9|||||||||['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']|||['No', 'No']||||['Black', 'Black']|||||||||||12000000:1|1000:1|||27.3 cm|||||||LED|300 cd/mÂ²|"68.58 cm (27"")"||16.77M|1920 x 1080 pixels|||TN|||1|Yes|||||||||||||||Full HD|Yes||2||||1|54.8 cm|['14 cm', 'Yes']|||||||90 - 264V|||||||||||||||||||||||['17', '17']||||['Yes', 'Yes']|||||||['10200g', '10200g']|['24.5 cm', '24.5 cm']|['48.6 cm', '48.6 cm']|['71.1 cm', '71.1 cm']|||||Yes|90Â°|0.311 x 0.311 mm||||||||0.5W|27W||||||||||1 ms||||||||||||||||1920 x 1080 (HD 1080)|||-45 - 45Â°||Yes||No|Yes|-5 - 20Â°||||['No', 'No']|4|||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|7.5 kg||64.2 cm|||['Yes', 'Yes']
|AOC I2460PXQU 24  IPS DVI-D HDMI Display Port Monitor - MBE|||||16:10|||||||||||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['VGA, Audio (3.5mm), DVI', 'VGA, Audio (3.5mm), DVI']|||EuP, FCC, GOST, ISO 9241-307, NRTL, RoHS, TÃœV-GS, TCO 6.0|||['Black', 'Black']|||||||||||20000000:1|1000:1|||24.46 cm|||30 - 83 kHz|50 - 76 Hz|||LED|300 cd/mÂ²|"60.96 cm (24"")"|61 cm|16.77M|1920 x 1200 pixels|||IPS||||Yes|1|||Unspecified|Yes|Silver||||||||||Yes||1|||||42.34 cm|['Yes', '13 cm']||||||50/60 Hz|110 - 220V|||||||||||||||||||||||||||['Yes', 'Yes']|||||||||||||||Yes||||||||0.5W||1W|22W||||||||||6 ms||||||||||||||||1920 x 1200 (WUXGA)|||||Yes|||Yes|-5 - 20Â°||||||||||||||1||||||178Â°|178Â°|||Yes|6.65 kg||55.84 cm|||
