3d capable|<page title>|aspect ratio|brightness|builtin devices|bundled with|character resolution|colour|colour support|compliant standards|contrast ratio|designed for|device type|diagonal size|diagonal size cm|digital tv tuner|dimensions wxdxh|display format|display position adjustments|energy class|energy consumption per year|environmental standards|features|hdcp compatible|hdmi ports qty|height rack units|image aspect ratio|input connectors|kvm switch|lcd backlight technology|localisation|manufacturer selling program|manufacturer warranty|microsoft certification|native resolution|panel type|pc interface|pixel pitch|power|power consumption operational|product description|product type|remote control|resolution|response time|screen coating|speaker system|speakers|targeting|technology|tv tuner|usb port|video interface|video wall components qty|weight
|"OHC24 Shop : Monitor > Monitor search help > NEC SPECTRAVIEW 242 61 > 1CM 24IN 61 cm (24"")/ 1.920 x 60003544"|Widescreen|340 cd/m2||||Black|1.07 billion colours|FCC Class B certified, MPR II, CSA, UL, TUV, TUV GS, C-Tick, GOST, cUL, DDC-2B, MPR III, PCBC, PCT, VESA EDID, CCC, PSB, DDC/CI, RoHS, ISO 9241-307, ErP Ready|1000:1||"LED-backlit LCD monitor - 24.1"""||||55.68 cm x 22.76 cm x 52.8 cm||Height, pivot (rotation), tilt|||||||||HDMI, DVI-D, VGA, DisplayPort|||||5 years warranty||1920 x 1200 at 60 Hz|AH-IPS||0.27 mm|||"NEC SpectraView 242 - LED monitor - 24.1"""||||16 ms (On/Off); 8 ms (grey-to-grey)||||||||||10.6 kg
|OHC24 Shop : Monitor > Monitor search help > Fujitsu - P24W-7 LED S26361-K1498-V140|Widescreen - 16:10|300 cd/m2|Stereo speakers, USB 3.0 hub|||Marble grey|16.7 million colours|FCC Class B certified, TUV GS, VCCI, cUL, EN 60950, SASO, TUV S, RoHS, ISO 9241-307, WEEE, TCO '06, Directive 2004/108/EEC, EAC|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||55.9 cm x 20.4 cm x 38.4 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||2xHDMI, DVI-D, VGA, DisplayPort|||||||1920 x 1200|||0.27 mm|||"Fujitsu P24W-7 LED - LED monitor - 24"""||||5 ms (grey-to-grey)|Anti-glare, 3H Hard Coating||Internal|||||||7.1 kg
|OHC24 Shop : Monitor > Monitor search help > EIZO ColorEdge - CG247 21532|Widescreen - 16:10|350 cd/m2||||Black|1.07 billion colours|FCC Class B certified, TUV GS, C-Tick, ICES-003 Class B, TUV Ergo, RoHS, ISO 9241-307, WEEE, GOST-R, cTUVus, VCCI Class B|1000:1||"LED-backlit LCD monitor - 24.1"""||||57.5 cm x 24.55 cm x 41.7 cm||Height, pivot (rotation), swivel, tilt|||||||||HDMI, DVI-D, DisplayPort|||||5 years warranty||1920 x 1200|IPS||0.27 mm|||"EIZO ColorEdge CG247 - LED monitor - 24.1"""||||7.7 ms||||||||||9.1 kg
|OHC24 Shop : Monitor > Monitor search help > ASUS - VE248H 90LMC3101Q01041C-|Widescreen - 16:9|250 cd/m2|Stereo speakers|||Black|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, PSB, FCC, RoHS, WEEE, GOST-R, J-MOSS, EuP Ready|10000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||56.9 cm x 20.1 cm x 41 cm||Tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA|||||3 years warranty|Compatible with Windows 7|FullHD 1920 x 1080|||0.277 mm|||"ASUS VE248H - LED monitor - 24"""||||2 ms|||Integrated|||||||4.4 kg
|OHC24 Shop : Monitor > Monitor search help > NEC 60002932|Widescreen - 16:9|250 cd/m2||||Black|16.7 million colours|FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2Bi, MPR III, PCT, CCC, TUV Ergo, TCO Displays 5.0, ISO 9241-307, GEEA, ErP Ready|1000:1 / 25000:1 (dynamic)||"LED-backlit LCD monitor - 23"""||||55 cm x 21.4 cm x 38.1 cm - with stand||Height, pivot (rotation), swivel, tilt|||||||||DVI-D, VGA, DisplayPort|||||3 years warranty|Certified for Windows Vista|1920 x 1080 at 60 Hz|TN||0.265 mm|||"NEC MultiSync E231W - LED monitor - 23"""||||5 ms||||||||||6.2 kg
|OHC24 Shop : Monitor > Monitor search help > BenQ BL2410PT 61CM 24IN ANA/DIG FULL HD 20MIO:1 9H.L9JLB.RBE|Widescreen - 16:9|250 cd/m2|Stereo speakers|||Matte black|16.7 million colours|TUV GS, EN 60950, TUV Ergo, ISO 9241-307, TCO Displays 6.0|3000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||56.5 cm x 25.8 cm x 40.7 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI-D, VGA, DisplayPort|||||3 years warranty||FullHD 1920 x 1080|VA||0.276 mm|||"BenQ BL2410PT - LED monitor - 24"""||||4 ms (grey-to-grey)|||Integrated|||||||6.7 kg
|OHC24 Shop : Monitor > Monitor search help > ASUS - VS24AH 90LM00A0-B01370|Widescreen - 16:10|300 cd/m2||||Black|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, FCC, RoHS, WEEE, PSE Mark, J-MOSS, ERP, TCO Displays 6.0|80000000:1 (dynamic)||"LED-backlit LCD monitor - 24.1"""||||56.16 cm x 20.55 cm x 44.09 cm - with stand||Tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA|||||3 years warranty||1920 x 1200|IPS||0.27 mm|||"ASUS VS24AH - LED monitor - 24.1"""||||5 ms (grey-to-grey)||||||||||4.6 kg
|"OHC24 Shop : Monitor > Monitor search help > NEC E243WMI LED60.96CM 24IN ANA/DI 61 cm (24"")/ 1.920 x 60003682"|Widescreen - 16:9|250 cd/m2||||White|16.7 million colours|DDC-2B, VESA DPMS, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0|1000:1 / 25000:1 (dynamic)||"LED-backlit LCD monitor - 23.8"""||||55.78 cm x 21.39 cm x 37.96 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||3 years warranty||FullHD 1920 x 1080|IPS||0.28 mm|||"NEC MultiSync E243WMI-WH - LED monitor - 23.8"""||||6 ms||||||||||6.3 kg
|OHC24 Shop : Monitor > Monitor search help > Avocent 1U 17IN LCDCONSOLE USB TP SWIS KB ECS17KMM16-203||250 cd/m2|Keyboard, touchpad , 16 port KVM switch||||16.7 million colours|UL, VCCI, C-Tick, BSMI, GOST, ICES-003, CB, CCC, EMC, MIC, FCC, ULC, RoHS, KCC, WEEE|1000:1||"KVM console - 17"""||||44.5 cm x 65.1 cm x 4.4 cm|||||||||1U||VGA|USB - 8 ports||Switzerland||2 years warranty||1280 x 1024 at 60 Hz||||||"Avocent LCD Console and KVM over IP Switch Integrated Tray - KVM console - 17"""||||||||||||||14.5 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips 240S4LPMB/00 24"" LED 16:10 Powersensor"|Widescreen - 16:10|250 cd/m2||||Black, textured black|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Displays 6.0|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||55.5 cm x 22.7 cm x 54.3 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||||FullHD 1920 x 1200 at 60 Hz|||0.27 mm|||"Philips S-line 240S4LPMB - LED monitor - 24"""||||5 ms|||Integrated|||||||5.83 kg
|OHC24 Shop : Monitor > Monitor search help > Elo - 1515L Projected Capacitive E779029|4:3|225 cd/m2|Touch-screen|||Dark grey|16.7 million colours|MPR II, UL, VCCI, C-Tick, BSMI, cUL, DEMKO, SEMKO, CCC, IC, FCC, RoHS, ICES, S Mark, KC|500:1||"LCD monitor - 15"""||||35 cm x 17.5 cm x 31 cm - with stand|||||||||||VGA|||Worldwide||3 years warranty||1024 x 768 at 75 Hz||||||"Elo 1515L Projected Capacitive - LCD monitor - 15"""||||11.7 ms||||||||||4.8 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - TF1932MC-B1 TF1932MC-1|5:4|225 cd/m2|Touch-screen|||Black|16.7 million colours|TUV, DDC-2B, VESA DPMS, CB, IP54, TUV Bauart|1000:1||"LED-backlit LCD monitor - 19"" - Multi-Touch"||||43.3 cm x 5.85 cm x 36.05 cm|||||ENERGY STAR Qualified||||||DVI-D, VGA|||||||1280 x 1024|TN||0.294 mm|||"Iiyama ProLite TF1932MC-B1 - LED monitor - 19"""||||5 ms|7H Hard Coating|||||||||5.8 kg
|OHC24 Shop : Monitor > Monitor search help > ASUS - PB287Q 90LM00R0-B02170|Widescreen - 16:9|300 cd/m2||||Black|1.07 billion colours|UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, FCC, RoHS, ISO 9241-307, WEEE, ERP, TCO Displays 6.0, CEL level 1|1000:1 / 100000000:1 (dynamic)||"LED-backlit LCD monitor - 28"""||||66 cm x 22.006 cm x 41.4 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||2xHDMI, DisplayPort|||||3 years warranty|Compatible with Windows 7|4K 3840 x 2160 at 60 Hz|TN||0.16 mm|||"ASUS PB287Q - LED monitor - 28"""||||1 ms (grey-to-grey)|||Integrated|||||||7.9 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1537L AccuTouch E701210|4:3|200 cd/m2|Touch-screen|||Black, steel|16.2 million colours|UL, TUV GS, VCCI, C-Tick, cUL, SEMKO, IC, FCC, RoHS|500:1||"LCD monitor - 15"""||||33.6 cm x 4.1 cm x 26.4 cm|||||||||||VGA|||||3 years warranty||1024 x 768 at 75 Hz||||||"Elo Open-Frame Touchmonitors 1537L AccuTouch - LCD monitor - 15"""||||14.5 ms|Anti-glare|||||||||3 kg
|OHC24 Shop : Monitor > Monitor search help > NEC EA224WMI BLACK  AN/DIG 1000:1 250CD/QM 14MS >  60003336|Widescreen - 16:9|250 cd/m2|USB Hub|||Black|16.7 million colours|FCC Class B certified, CSA, UL, TUV GS, GOST, cUL, DDC-2B, MPR III, PCT, TUV Ergo, RoHS, ISO 9241-307, GEEA, TCO Displays 5.2|1000:1 / 25000:1 (dynamic)||"LED-backlit LCD monitor - 22"""||||50.7 cm x 21.8 cm x 37 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA, DisplayPort|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|IPS||0.247 mm|||"NEC MultiSync EA224WMi - LED monitor - 22"""||||14 ms|||Integrated|||||||5.6 kg
|OHC24 Shop : Monitor > Monitor search help > EIZO S1932SEBK||250 cd/m2|Stereo speakers|||Black|16.7 million colours|Plug and Play, TCO '03, FCC Class B certified, CSA, UL, TUV, TUV GS, C-Tick, VCCI Class B ITE, DDC-2B, DVI DMPM, ISO 13406-2, TUV S, VESA DPMS, CB, ICES-003 Class B, TUV Ergo, RoHS, WEEE|2500:1 (dynamic)||"LCD monitor - 19"""||||40.5 cm x 24.7 cm x 34.8 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||5 years warranty|Certified for Windows Vista|1280 x 1024|PVA||0.294 mm|||"EIZO FlexScan S1932SE-BK - LCD monitor - 19"""||||8 ms|||Integrated|||||||8.8 kg
|OHC24 Shop : Monitor > Monitor search help > LG - 27MB65PY-W|Widescreen - 16:9|250 cd/m2|||||16.7 million colours|Plug and Play, DDC/CI|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||64.5 cm x 25.9 cm x 41 cm - with stand||Height, pivot (rotation), tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|AH-IPS||0.311 mm|||"LG 27MB65PY-W - LED monitor - 27"""||||5 ms (grey-to-grey)|Anti-glare, 3H Hard Coating||Integrated|||||||6.5 kg
|"OHC24 Shop : Monitor > Monitor search help > Samsung Monitor 24"" S.masterS24C650BW LS24C65KBWV/EN"|Widescreen - 16:10|250 cd/m2||||Matte black|16.7 million colours||1000:1||"LED-backlit LCD monitor - 24"""||||55.48 cm x 22.4 cm x 38.2 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Silver||||||DVI, VGA|||||||1920 x 1200|AD-PLS|||||"Samsung S24C650BW - LED monitor - 24"""||||5 ms||||||||||5.7 kg
|OHC24 Shop : Monitor > Monitor search help > APC - LCD Console AP5717F|||Keyboard, touchpad|||Black||UL, C-Tick, GOST, EN 60950, NOM, VDE, IEC 60950, EN55024, EN55022 Class A, CCC, RoHS, FCC Part 15 A, REACH|||"KVM console - 17"""||||48.2 cm x 61.4 cm x 4.4 cm|||||||||1U|||||French||2 years warranty||1280 x 1024 at 75 Hz||||||"APC LCD Console - KVM console - 17"""||||||||||||||15.9 kg
|OHC24 Shop : Monitor > Monitor search help > APC Rackmount Keyboard Monitor Mouse - KVM-Konsole - AP5017|||Keyboard, touchpad|||Black|16.2 million colours|UL, VCCI, CISPR 22 Class A, cUL, EN 60950, EN 61000-3-2, ICES-003, VDE, EN 61000-3-3, EN55024, UL 60950, FCC Part 15|||"KVM console - 17"""||||47.6 cm x 55.6 cm x 4.4 cm|||||||||1U|||PS/2||||2 years warranty||1280 x 1024 at 75 Hz|||0.297 mm|||"APC Rackmount Keyboard Monitor Mouse KVM console - 17"""||||||||||||||14.7 kg
|OHC24 Shop : Monitor > Monitor search help > Samsung SM S27B971D LED 69CM 27IN MATT 300DC/QM LS27B971DS/EN|Widescreen|300 cd/m2|USB Hub|||Metal silver, black gloss|16.7 million colours|TCO Displays 5.0|1000:1||"LED-backlit LCD monitor - 27"""||||64.5 cm x 24.7 cm x 56.7 cm - with stand||Height|||ENERGY STAR Qualified , EPEAT Gold||||||HDMI, DVI-D, DisplayPort|||||||2560 x 1440|Plane to Line Switching (PLS)|||||"Samsung S27B971D - LED monitor - 27"""||||5 ms (grey-to-grey)||||||||||7.5 kg
|"OHC24 Shop : Monitor > Monitor search help > LG Electronics FLATRON 29EB93-P 73 > 66CM 29"" 73.7 cm"|Widescreen - 21:9|300 cd/m2|USB Hub|||Matte black|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV, cUL, DDC/CI, RoHS, TCO Displays 5.1|1000:1 / 10000000:1 (dynamic)||"LED-backlit LCD monitor - 29"""||||69.97 cm x 6.85 cm x 31.8 cm - without stand||Height, tilt|||ENERGY STAR Qualified||||||2xHDMI, DVI-D, DisplayPort|||||||2560 x 1080 at 60 Hz|AH-IPS||0.264 mm|||"LG 29EB93-P - LED monitor - 29"""||||5 ms (grey-to-grey)|Anti-glare, 3H Hard Coating|||||||||5.2 kg
|OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard HP EliteDisplay E221c LED MNT D9E49AA#UUZ|Widescreen - 16:9|250 cd/m2|Camera, 2 microphones|||Black||VCCI, BSMI, NOM, TUV S, CB, CCC, PSB, FCC, KCC, TCO Certified Edge, KC, CECP, CEL|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 21.5"""||||50.09 cm x 23.7 cm x 46 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI-D, VGA, DisplayPort|||German, French, Italian / Switzerland|||Compatible with Windows 7|1920 x 1080 at 60 Hz|IPS|||||"HP EliteDisplay E221c - LED monitor - 21.5"""||||7 ms (grey-to-grey with overdrive)|Anti-glare|||||||||5.4 kg
|OHC24 Shop : Monitor > Monitor search help > HP - V201a F8C55AA#UUZ|Widescreen - 16:9|200 cd/m2||||Black||Plug and Play|600:1 / 3000000:1 (dynamic)||"LED-backlit LCD monitor - 19.45"""||||46.8 cm x 19 cm x 35.53 cm - with stand||Tilt||||||||||||German, French, Italian / Switzerland||||1600 x 900|||0.27 mm|||"HP V201a - LED monitor - 19.45"""||||5 ms||||||||||2.8 kg
|"OHC24 Shop : Monitor > Monitor search help > AOC e960Prda/19"" LED Monitor > 1280 x 768 >  5ms >  DVI / VGA >  E960PRDA"|5:4|250 cd/m2|||||16.7 million colours|TUV GS, GOST, FCC, RoHS, ISO 9241-307, EuP, TCO Displays 6.0|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 19"""||||40.92 cm x 43.22 cm x 21 cm||Height, pivot (rotation), swivel|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty||1280 x 1024 at 75 Hz|||0.294 mm|||"AOC e960Prda - LED monitor - 19"""||||5 ms||||||||||4.77 kg
|OHC24 Shop : Monitor > 80 Zoll and greater > LG Electronics 84WS70B LED 213CM 84IN 3840 X 2160   84WS70BS-B.AEU||||||||||||"84"""|213 cm||192.3 cm x 5.1 cm x 110.9 cm - without stand|4K UHDTV (2160p)||||ENERGY STAR Qualified|Smart Energy Saving, temperature sensor|Yes|2 port(s)||16:9|||LED backlight|||||||DVI, VGA (HD-15), DisplayPort||AC 120/230 V ( 50/60 Hz )|350 Watt|"LG 84WS70BS-B - 84"" LED-backlit LCD flat panel display"|LED-backlit LCD flat panel display|Remote control|3840 x 2160|||||Commercial use|IPS|No tuner|Yes , 2 port(s)|Composite, HDMI||72.8 kg
|OHC24 Shop : Monitor > Monitor search help > Value 26.99.0072||250 cd/m2|Keyboard, touchpad||||||400:1||"KVM console - 17"""|||||||||||||1U||VGA|PS/2||Swiss||||1024 x 768||||||"Rotronic Value 17 - KVM console - 17"""||||||||||||||
|"OHC24 Shop : Monitor > Monitor search help > NEC EA273WMI LED 68 > 6CM 27IN AN/DI 68.6 cm (27"")/ 1.920 60003607"|Widescreen - 16:9|250 cd/m2|USB Hub|||White|16.7 million colours|FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, MPR III, PCT, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, ERP, TCO Displays 6.0|1000:1 / 25000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||63.93 cm x 23 cm x 41.8 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA, DisplayPort|||||3 years warranty|Compatible with Windows 7|1920 x 1080 at 60 Hz|IPS||0.311 mm|||"NEC MultiSync EA273WMi - LED monitor - 27"""|||||||Integrated|||||||
|"OHC24 Shop : Monitor > Monitor search help > Acer B196LYMDR mit Speaker >  19"" 4:3 LED TFT >  UM.CB6EE.007"|5:4|250 cd/m2||||Dark grey|16.7 million colours|TCO Displays 6.0|100000000:1 (dynamic)||"LED-backlit LCD monitor - 19"""||||51.92 cm x 22.1 cm x 40.64 cm - without stand||Height, pivot (rotation), tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI, VGA|||||3 years warranty||1280 x 1024||||||"Acer B196Lymdr - LED monitor - 19"""||||5 ms||||||||||2.8 kg
|OHC24 Shop : Monitor > Monitor search help > APC Rackmount Keyboard Monitor Mouse - KVM-Konsole - AP5017G|||Keyboard, touchpad|||Black|16.2 million colours|UL, VCCI, CISPR 22 Class A, cUL, EN 60950, EN 61000-3-2, ICES-003, VDE, EN 61000-3-3, EN55024, UL 60950, FCC Part 15|||"KVM console - 17"""||||44.5 cm x 74.3 cm x 4.4 cm|||||||||1U|||PS/2||German||||1280 x 1024 at 75 Hz|||0.297 mm|||"APC Rackmount Keyboard Monitor Mouse KVM console - 17"""||||||||||||||14.8 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Touchmonitors - 0700L AccuTouch E791658|Widescreen - 16:9|160 cd/m2|Touch-screen|||Black|16.7 million colours|UL, VCCI, C-Tick, cUL, NOM, CB, IC, FCC, RoHS, WEEE, IP54|500:1||"LED-backlit LCD monitor - 7"""||||18.9 cm x 3.1 cm x 12.6 cm - without stand|||||||||||USB|||||3 years warranty||800 x 480|||0.192 mm|||"Elo Touchmonitors 0700L AccuTouch - LED monitor - 7"""||||25 ms||||||||||0.59 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - B1980SD-W1|5:4|250 cd/m2||||White|16.7 million colours|TUV GS, VESA DPMS, TCO Certified Edge, TCO Displays 6.0, VCCI Class B|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 19"""||||41.1 cm x 24.45 cm x 42.65 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||||1280 x 1024|TN||0.294 mm|||"Iiyama ProLite B1980SD-W1 - LED monitor - 19"""||||5 ms|||Integrated|||||||5.1 kg
