3d technology|3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product code|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
||60002717, NECLCDM461AV, NEC Display Solutions, LCD Monitor, JR Linton|||||16:9||NEC Display|450 cd/m²|||['Silver', 'Black']|16.7 Million Colours|Yes|Yes|||142.5 mm|||Yes|Yes||||||RoHS|Yes|Yes|Yes||659.4 mm||||['220 V AC', '110 V AC']|3 Year|NEC Display Solutions|60002717||1920 x 1080|||1|||200 W|MULTEOS M461 Widescreen LCD MonitorVGA Display CableCD-ROMInfrared Remote Control|||||||MULTEOS|M461|MULTEOS M461 Widescreen LCD Monitor||LCD Monitor|||8 ms|Full HD|"116.8 cm (46"")"|||||50 Hz||Yes||||||||Yes|300 x 300|Yes||29.80 kg||11125.8 mm|
||UM.VH6EE.003, 2658504, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Acer|250 cd/m²|Speaker||Black|16.7 Million Colours|||100,000,000:1||172.7 mm||||Yes|34 kWh|A|Mobile High-Definition Link (MHL)|||['ENERGY STAR', 'MPR II']|Yes||Yes||403.9 mm|||178°|['110 V AC', '220 V AC']|2 Year|Acer, Inc|UM.VH6EE.003|No|1920 x 1080|||1|2|400 mW|26 W|H236HL Widescreen LCD Monitor1 x VGA Cable|||In-plane Switching (IPS) Technology|||||H236HL|H236HL Widescreen LCD Monitor|H|LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||Yes|60 Hz|450 mW||No|||-5°to15°|||178°|No||Yes||2.90 kg|3.60 kg|530.9 mm|
||C9F26AA#ABB, HP, LCD Monitor, JR Linton||Yes|||16:9|LED|HP|250 cd/m²|||Black||||1,000:1||47.5 mm|151.10 mm|||Yes|||Security Lock|||['ENERGY STAR', 'EPEAT Gold', 'TCO Certified Displays']|Yes|Yes|||294.1 mm|359.20 mm||170°|['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|C9F26AA#ABB||1600 x 900|||1|||22 W|ProDisplay P201 50,8 cm (20'') LED Backlit Monitor (C9F26AA)VGA CableDVI CableAC PowerPrinted Documentation and CD|||||||Essential|P201|ProDisplay P201 50,8 cm (20'') LED Backlit Monitor||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|Anti-glare|||||500 mW||||||||160°|Yes|100 x 100|Yes||3.50 kg||482 mm|482 mm
||190SL1SB/00, 2568288, Philips, LCD Monitor, JR Linton|||||16:10|LED|Philips|250 cd/m²|||Black||||20,000,000:1||||||Yes||||||||||||||||3 Year|Philips Electronics|190SL1SB/00||1440 x 900|||1||||||||||||190SL1SB|190SL1SB Widescreen LCD Monitor|S|LCD Monitor|||5 ms|WXGA+|"48.3 cm (19"")"|||||||||||||||||Yes|||||
||UM.FB6EE.002, 3051254, Acer, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Acer|250 cd/m²|||White|16.7 Million Colours|||100,000,000:1||52 mm|221.20 mm|||Yes||||||['TCO Certified Displays 6.0', 'EPEAT Gold']|Yes|Yes|||335.9 mm|535.50 mm||170°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.FB6EE.002|150 mm|1920 x 1080|||1||350 mW|20.90 W|B246HL Widescreen LCD MonitorPower Cord1 x VGA Cable1 x DVI Cable|||Twisted Nematic Film (TN Film)|||||B246HL|B246HL Widescreen LCD Monitor|B|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"|Anti-glare|||Yes|60 Hz|450 mW||60°|||-5°to35°|||160°|Yes|100 x 100|Yes||3.44 kg|6.09 kg|567 mm|567 mm
||E2752VQ, 2421239, AOC, LCD Monitor, JR Linton|||||16:9|LED|AOC|300 cd/m²|USB Hub|cCSAUsFCCCECCCTUV-BauratTUV-GSGOSTBSMIVCCIKCE-standby|Black|16.7 Million Colours|||2,000,000:1|||||Yes|Yes|||['Off Timer', 'Ultra Slim']|||['J-Moss (Japanese RoHS)', 'ENERGY STAR']|Yes|Yes|Yes|||||170°|['220 V AC', '110 V AC']|3 Year|AOC|E2752VQ||1920 x 1080|Wall Mountable||1|2|1 W|50 W|||||||||e2752Vq|27 - Inch LED Monitor|52|LCD Monitor|||2 ms|Full HD|"68.6 cm (27"")"||||Yes|60 Hz|||||||Yes|USB 2.0|160°|Yes|100 x 100|Yes|||||
||60003329, NECX552S, NEC Display Solutions, LCD Monitor, JR Linton|||||16:9|Edge LED|NEC Display|700 cd/m²|Speaker|CETUV GSC-tickFCC Class BUL/C-ULCSAPSBVCCI|Black|||Yes|4,000:1||46.1 mm|||Yes|Yes|||['Picture in Picture', 'Screen Saver', 'TileMatrix (10x10)', 'HeatControl Sensor', 'Digital Daisy Chain', 'Ambient Light Sensor', 'Eco Mode']|||['RoHS', 'ENERGY STAR 5.2']|Yes|Yes|Yes||725.3 mm|||178°||3 Year|NEC Display Solutions|60003329||1920 x 1080|Wall Mountable|Yes|1|2||305 W|"LCD 55"" Public DisplayDVI-D CablePower CableSlot Cover for STv2Remote Control"|||Super Patterned Vertical Alignment (S-PVA) Technology|PC|||MultiSync|X552S|"LCD 55"" Public Display"||LCD Monitor|||8 ms|Full HD|"139.7 cm (55"")"||||Yes|60 Hz|1 W|Yes|||||||178°|Yes|300 x 300|Yes||24.50 kg||1254.5 mm|
||C3Z94AA#ABU, HP, LCD Monitor, JR Linton||Yes|||16:9|LED|HP|250 cd/m²||CBCEFCC markingCSA/C-UL/C-ETL MarkUL/CSA-NTRL/ETL-NRTL MarkICESCCCBauartISO9241-307GOST 25861HRN N N0.201GOST R50377-1992GOST 25861EEI certificateIS 1121SASOSABS IEC 60950-1NOM-019-SCFI-1998KC MarkKCC MarkPSB markISC markC-Tick|['Iridium Silver', 'Jack Black']||||1,000:1||171 mm||||Yes|||Security Lock|||['ErP', 'ENERGY STAR 5.2', 'CECP']|Yes|Yes|Yes||404 mm|||178°||1 Year|Hewlett-Packard|C3Z94AA#ABU||1920 x 1080|||1|||30 W|"Pavilion 23xi 58.4 cm (23"") Diagonal IPS LED Backlit MonitorA/C Power CablePower AdapterVGA CableDVI-D CableDocumentation CDSetup PosterCable Management ClipHDMI Cable"|||In-plane Switching (IPS) Technology||||Pavilion|23xi|"Pavilion 23xi 58.4 cm (23"") Diagonal IPS LED Backlit Monitor"||LCD Monitor|Yes|Plastic|7 ms|Full HD|"58.4 cm (23"")"|Anti-glare||||60 Hz|500 mW||||||||178°|||Yes||3.50 kg||535 mm|
||236V4LSB/00, Philips, LCD Monitor, JR Linton||Yes|||16:9|LED|Philips|250 cd/m²||BSMICE MarkingCEFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307UL / cUL|Glossy Black|16.7 Million Colours|||1,000:1||48 mm|219 mm|||Yes|||Security Lock|||['RoHS', 'WEEE', 'EPEAT Silver', 'TCO Certified Displays', 'ENERGY STAR 5.0']|Yes|Yes|||339 mm|417 mm||170°|['110 V AC', '220 V AC']||Philips Electronics|236V4LSB/00||1920 x 1080|||1||500 mW|24.82 W|||||['Mac', 'PC']||||236V4LSB|236V4LSB Widescreen LCD Monitor|V|LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||2.82 kg|3.06 kg|549 mm|549 mm
||VX2209, B921663, ViewSonic, LCD Monitor, JR Linton||Yes|||16:9|LED|Viewsonic|250 cd/m²||CE CU EAC||16.7 Million Colours|||20,000,000:1||33.6 mm|215 mm|||Yes|||Eco Mode|||['WEEE', 'RoHS']|Yes||||297.8 mm|355.80 mm||170°|['230 V AC', '120 V AC']|2 Year|Viewsonic Corporation|VX2209||1920 x 1080|||1|||24 W|"VX2209 22"" Full HD LED Display Power Adaptor VGA Cable User Manual"||||['Mac', 'PC']||||VX2209|"VX2209 22"" Full HD LED Display"|VX|LCD Monitor|||5 ms|Full HD|"55.9 cm (22"")"|Anti-glare||||75 Hz||||||-3°to20°|||160°|Yes|75 x 75|Yes||2.46 kg|3.07 kg|501.1 mm|501.10 mm
||24M35H-B, 3003550, LG Electronics, LCD Monitor, JR Linton||Yes|||16:9|LED|LG|200 cd/m²||UL (cUL) FCC-B CE|Black||||5,000,000:1||98 mm|215 mm||||||['Super Energy Saving', 'Security Lock', 'Intelligent Auto', 'Flicker-free', 'Dual Web', 'Reading Mode', 'Dual Monitor Support', 'Cable Management']|||['TÜV', 'ENERGY STAR 6.0']|Yes|Yes|Yes||314 mm|438 mm|||||LG Electronics|24M35H-B||1920 x 1080|||1||300 mW|19 W||||Twisted Nematic Film (TN Film)|PC||||24M35H-B|24M35H-B Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"59.9 cm (23.6"")"|Anti-glare||||75 Hz|300 mW|||||3°to20°||||Yes|100 x 100|Yes||2.70 kg|3 kg|556 mm|556 mm
||VX238H, 2598781, ASUSTeK COMPUTER, LCD Monitor, JR Linton||Yes|||16:9|LED|Asus|250 cd/m²|Speaker||Black|16.7 Million Colours|||80,000,000:1|||210 mm|||Yes|||['Ultra Slim', 'Trace Free Technology', 'Security Lock', 'QuickFit', 'Splendid Video Intelligence Technology']|||||Yes|Yes|||402.70 mm|80 kHz|170°|||ASUS Computer International|VX238H||1920 x 1080|||1|2|||||||['Mac', 'PC']||||VX238H|VX238H Widescreen LCD Monitor||LCD Monitor|||1 ms|Full HD|"58.4 cm (23"")"||||Yes|||||||-5°to20°|||160°|||Yes||2.60 kg|||548.20 mm
||T45HNUK, S602QX2, Lenovo, LCD Monitor, JR Linton||Yes|||16:10||Lenovo|250 cd/m²||TUVISO 9241-307Safety:ULIEC950 CB ReportNEMKOTUV-GSCCCBSMINOMICCPGostSISIRTUV-S/UL-Ar/IRAM-SISCAAA-SJEITASABS-LoAKCE-StandbyEMI:FCC BICCEVCCIBSMICCCSABS-CoCAAA-RSO|Business Black|16.7 Million Colours|||1,000:1||50.5 mm||||Yes|||Security Lock|||['MPR II', 'ULE Gold', 'RoHS', 'TCO Certified Displays 6.0', 'TCO Certified Edge Displays 1.1', 'China Energy Label (CEL)', 'ENERGY STAR 6.0', 'EPEAT Gold']|Yes||||354.1 mm|||170°|['220 V AC', '110 V AC']||Lenovo Group Limited|T45HNUK||1440 x 900|||1||500 mW|20 W|||||PC|||ThinkVision|LT1953|ThinkVision LT1953 19.0-Inch Wide LCD Monitor||LCD Monitor|||5 ms|WXGA+|"48.3 cm (19"")"|||||75 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||3 kg||443.2 mm|
||EV2416WFS3-BK, EIZOEV2416WFSBK, Eizo Nanao, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Eizo|250 cd/m²|['Speaker', 'USB Hub']|CE TÜV GS ISO 9241-307 Class 1|Black|16.7 Million Colours|||1,000:1|||||Yes|Yes|||['EcoView Optimizer', 'Auto EcoView', 'EcoView Sense', 'EcoView Index']|||['TÜV', 'ENERGY STAR', 'TCO Certified Displays 6.0']|Yes|Yes||Yes|324 mm|||170°||5 Year|Eizo Nanao Tech|EV2416WFS3-BK|130 mm|1920 x 1200|||1||0 mW|49 W||||Twisted Nematic Film (TN Film)|||||EV2416WFS3|EV2416WFS3 Widescreen LCD Monitor|EV|LCD Monitor|||5 ms|WUXGA|"61 cm (24"")"||||Yes|61 Hz|300 mW||172°|||-5°to35°|Yes|USB 2.0|160°|Yes|100 x 100|Yes||6.10 kg||518 mm|
||S1921XSH-GY, EIZOS1921XSHGY, Eizo Nanao, LCD Monitor, JR Linton||Yes|||5:4||Eizo|250 cd/m²|Speaker|CETÜV GSTÜV Ergonomics ApprovedISO 13406-2|Light Grey|16.7 Million Colours|||1,000:1||61 mm|205 mm|||Yes||||||TCO Displays 5.0|Yes||||334 mm|506 mm||178°||5 Year|Eizo Nanao Tech|S1921XSH-GY||1280 x 1024|||1||990 mW|40 W|FlexScan S1921XSH LCD MonitorManualNetwork CableAudio CableSignal Cable (D-Sub D-Sub and DVI-D DVI-D)ICC Color Profile||||||||S1921XSH|FlexScan S1921XSH LCD Monitor||LCD Monitor|||20 ms|SXGA|"48.3 cm (19"")"||||Yes|75 Hz|||||||||178°|Yes|100 x 100|Yes||4.90 kg|7.20 kg|405 mm|405 mm
||60002794, 3967199, NEC Display Solutions, LCD Monitor, JR Linton||Yes|Yes||4:3||NEC Display|250 cd/m²|Speaker|CE TÜV Ergonomics TÜV GS FCC Class B PCT / Gost UL / C-UL CSA ISO 9241-307 ISO 13406-2|['Silver', 'White']|16.7 Million Colours|||1,000:1||230 mm||||Yes|||['Cable Management', 'Security Lock']|||['MPR III', 'MPR II', 'ENERGY STAR 5.0', 'ErP', 'TCO Displays 5.0', 'EPEAT Gold']|Yes|||Yes|358.5 mm|||160°|['110 V AC', '220 V AC']|3 Year|NEC Display Solutions|60002794||1280 x 1024|||1|2||19 W|MultiSync LCD175M LCD Monitor Power cable Audio cable CD-ROM List of commercial agencies User Manual VGA-VGA Cable||||PC|||MultiSync|LCD175M|MultiSync LCD175M LCD Monitor||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"||||Yes|60 Hz|||||||||160°|Yes|100 x 100|Yes||5.20 kg||368 mm|
||27EA83-D.AEK, 4065780, LG Electronics, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9||LG|350 cd/m²|USB Hub|UL(cUL) FCC-B CE||1.07 Billion Colors|||5,000,000:1||38 mm|459 mm||Yes|Yes|||['Dual Link-up', 'Picture in Picture', 'Picture by Picture', 'Split Screen']|||['TCO Certified Displays 5.1', 'TCO Certified Displays 6.0', 'ENERGY STAR 5.0']|Yes|Yes|Yes|Yes|381 mm|459 mm||178°|['110 V AC', '220 V AC']|2 Year|LG Electronics|27EA83-D.AEK|110 mm|2560 x 1440|||1|2|500 mW|65 W|27EA83-D Widescreen LCD Monitor Power Cord DVI-D Cable DisplayPort Cable|||In-plane Switching (IPS) Technology|PC||||27EA83-D|27EA83-D Widescreen LCD Monitor|EA83|LCD Monitor|||6 ms|WQHD|"68.6 cm (27"")"|Anti-glare||||75 Hz||||||-5°to15°|Yes||178°|Yes|100 x 100|||5.50 kg|7.30 kg|643 mm|643 mm
||VG2239M-LED, B921309, ViewSonic, LCD Monitor, JR Linton||Yes|Yes|Yes||LED|Viewsonic||Speaker|||||||||||Yes|Yes|||||||||||||||||Viewsonic Corporation|VG2239m-LED||1920 x 1080|||1||||||||||||VG2239m-LED|VG2239m-LED Widescreen LCD Monitor||LCD Monitor||||Full HD|"55.9 cm (22"")"||||Yes|||||||||||Yes||Yes|||||
||VN289Q, 3023740, ASUSTeK COMPUTER, LCD Monitor, JR Linton||Yes|||16:9|LED|Asus|300 cd/m²|Speaker||Black|16.7 Million Colours|||80,000,000:1||63.7 mm|210 mm||Yes|Yes|||['Eye-Care', 'Mobile High-Definition Link (MHL)', 'Game Mode', 'Security Lock', 'Picture in Picture', 'Picture by Picture', 'Flicker-free', 'Trace Free Technology', 'QuickFit', 'Reading Mode', 'VividPixel Technology', 'Splendid Video Intelligence Technology']|||||Yes|Yes|Yes|380.7 mm|450.70 mm|80 kHz|178°|||ASUS Computer International|VN289Q||1920 x 1080|Wall Mountable||1|2|500 mW|35 W||||Vertical Alignment (VA)|PC||||VN289Q|VN289Q Widescreen LCD Monitor|VN|LCD Monitor|||5 ms|Full HD|"71.1 cm (28"")"||||Yes||500 mW|||||-5°to20°|||178°|Yes|100 x 100|Yes||5.20 kg||660.2 mm|660.20 mm
||223V5LHSB/00, PHI-223V5LHSB/00, Philips, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Philips|250 cd/m²||BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 cETLus|Black|16.7 Million Colours|||1,000:1||50 mm|213 mm|||No|||['Security Lock', 'Sync on Green', 'SmartContrast', 'SmartControl']|||['TCO Certified Displays', 'WEEE', 'RoHS', 'EPEAT Silver', 'ENERGY STAR 6.0']|Yes|Yes|Yes||316 mm|376 mm||170°|['220 V AC', '110 V AC']||Philips Electronics|223V5LHSB/00||1920 x 1080|Wall Mountable|No|1||500 mW|15.85 W|||||['Mac', 'PC']|||V-line|223V5LHSB|LCD Monitor with SmartControl Lite||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||No|60 Hz|500 mW|||"Operating Systems:
Windows 7 Home Basic Windows 7 Home Basic x64 Windows 7 Home Premium Windows 7 Home Premium x64 Windows 7 Professional Windows 7 Professional x64 Windows 7 Starter Windows 7 Starter x64 Windows 7 Ultimate Windows 7 Ultimate x64 Windows 8 Windows 8 Enterprise Windows 8 Enterprise x64 Windows 8 Pro Windows 8 Pro x64 Windows 8 x64"|||||160°|Yes|100 x 100|Yes|No|2.35 kg|2.61 kg|503 mm|503 mm
||UM.WG6EE.H05, ACEG226HQLHBID, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||36 mm|168 mm|||Yes|32 kWh|B||||MPR II|Yes||Yes||311 mm|365 mm||178°|['220 V AC', '110 V AC']|2 Year|Acer, Inc|UM.WG6EE.H05|No|1920 x 1080|||1||300 mW|20.50 W|G226HQL Widescreen LCD Monitor1 x VGA CablePower Cord|||Vertical Alignment (VA)|||||G226HQL|G226HQL Widescreen LCD Monitor|G|LCD Monitor|||8 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare||||60 Hz|340 mW||No|||-5°to15°|||178°|No||Yes||2.60 kg|2.90 kg|511 mm|511 mm
||196V3LSB/00, Philips, LCD Monitor, JR Linton||Yes|||16:9|LED|Philips|250 cd/m²||BSMICE MarkFCC Class BGOSTPSBSASOSEMKOTUV ErgoTUV/GSUL/cUL|Black|16.7 Million Colours|||1,000:1||44 mm|204 mm|||Yes||||||['ENERGY STAR', 'EPEAT Silver', 'RoHS', 'WEEE']|Yes|Yes|||284 mm|358 mm||170°|['220 V AC', '110 V AC']|2 Year|Philips Electronics|196V3LSB/00||1366 x 768|||1||500 mW|14.15 W|||||['Mac', 'PC']||||196V3LSB|196V3LSB Widescreen LCD Monitor|V|LCD Monitor|||5 ms|WXGA|"47 cm (18.5"")"|||||60 Hz|500 mW||||||||160°|||Yes||2.09 kg|2.39 kg|463 mm|463 mm
