<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altitudine di funzionamento|altitudine di nonfunzionamento|altoparlante  cuffia  spinotto di uscita|altoparlanti incorporati|altre caratteristiche|altre caratteristiche quantità 1 source datasheet|altre caratteristiche source datasheet|angolo di rotazione|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|angolo visuale|area di visualizzazione effettiva|blocco cavo|bluetooth|cable lock slot type|capacità totale hard disk|cavi inclusi|cavo alimentazione incluso|certificati di sicurezza|certificati di sicurezza certificazione energy star si|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del piede|colore del prodotto|colori del display|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|condizioni ambientali|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connessioni audio|consumi|consumi modalità attivo|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico max|consumo energia modalità economica|contenuto dellimballo cavi inclusi ac vga|controllo del volume|convenienza|dcin jack|design colore del prodotto nero|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni altoparlante centrale l x a x p|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni schermo|dimensioni schermo cm|display surface|dot pitch|dot rate video|famiglia processore|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|ingresso segnale|intel antitheft technology|intel hyperthreading technology|intel identity protection technology|intel my wifi technology|intel rapid start technology|intel small business advantage sba|intel smart connect technology|intel smart response technology|intel turbo boost technology|intel visual technologies|intel vpro technology|intel wireless display technology|interfaccia comune|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità schermo|lunghezza cavo|manuale dellutente|materiale riciclabile|materiali della confezione riciclabili|megapixel|megapixel totali|mhl specification|microfono incorporato|microfono spinotto dingresso|miglioramento dellimmagine|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mouse incluso|mtbf|networking connessione wlan n collegamento ethernet lan n|numero di altoparlanti|numero di core del processore|numero di lingue osd|numero di prodotti inclusi|on screen display osd|performance|peso|peso contenzione inclusa|peso incluso imballo|peso prodotto con supporto|peso schermo con supporto|pictureinpicture|pivot angle|plug  play|porta dvi|posizionamento supportato|potenza in uscita rms|processore|prodotto senza piedistallo kg|profondità|profondità con supporto|profondità imballo|quantità|quantità displayports|quantità porte dvid|quantità porte ethernet lan rj45|quantità porte hdmi|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|ram installata|range di scansione orizzontale|range di umidità di funzionamento|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regulatory approvals|retroilluminazione a led|risoluzione|risoluzione consigliata|risoluzione massima|risoluzioni grafiche supportate|rotazione|schermo srgb|segnale ingresso sincronizz video|sicurezza|sintonizzatore tv integrato|sistema operativo incluso|sistema operativo linux supportato|sistema operativo windows supportato|smartcontrast|smartresponse|source datasheet|specificazioni ambientali|subwoofer incorporato|supporto di memoria|supporto lingue|sync hv separato|syncongreen sog|tecnologia display|tecnologia touch|tempo di risposta|thin client|thin client installato|thin client thin client installato n|thin client thin client installato no|tipi schede di memoria|tipo di prodotto|tipo di ram|tipologia di retroilluminazione|tipologia display|tipologia hd|touch screen|umidità|umidità relativa|uscita audio|velocità processore|voltaggio di ingresso|webcam girevole|wifi
Aoc AOC I2472PWHUT I2472PWHUT BK Planet Computer.it|Si|||379.37 mm|466 mm||||1|Si|||||178 °|178 °|||Kensington||||AC, Audio (3.5mm), HDMI, USB, VGA||||CE, EuP, GOST, ISO 9241-307, NRTL, RoHS, TÜV-Bauart|Si|Non specificato||||Nero, Argento|16.77 M||75 x 75 mm|N||||||3.5 mm|||50 W|||0.5 W|5 W||||||||599 mm|521.28 mm|293.22 mm|||||59.9 cm|||0.2715 x 0.2715 mm|170 MHz||16:9|Si|50/60 Hz|30 - 83 kHz|50 - 76 Hz|||N|||Si||15 - 57 °|Si|||||||||||||||||||Si||||606.73 mm|679 mm|||N||250 cd/m²|||||||||||Si|1080p|Si||||2||||||6.4 kg||7.9 kg|||||Si|N||4 W|||49.4 mm|146 mm||||||2|2|3|1||||1000:1|50000000:1|N|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N||||N||||||.||N|||||IPS||5 ms||N||||||W-LED|LED|Full HD||||Si||110 - 240 V||
Benq Benq GL955A 9H.L94LA.T8E Planet Computer.it|||||||||||||||90 °|50 °||||||||||||||||||16.77 M|||N||||||||||||||||||||||||||||46.9 cm|||0.3 x 0.3 mm|||16:9||||||||||N||||||||||||||||||||||||||||||||200 cd/m²||||||||||||||||||||||||||||||||||||||||||||||||||600:1|12000000:1||||1366 x 768 Pixels|||1366 х 768||||||||||||||||||TN+Film||5 ms||||||||||N||||||||
Philips Philips 240B4LPYCB 240B4LPYCB 00 Planet Computer.it|Si|||388 mm|543 mm|487 mm|||1|Si|||||170 °|160 °|||Kensington||||||||PowerSensor, RoHS|Si|Non specificato|||Nero|Nero|16.77 M||100 x 100 mm||||||Oro|3.5 mm|||20.1 W||13.4 W||0.2 W|||||||||518.4 mm|324 mm|||||61 cm|||0.270 x 0.270 mm|||16:10||50/60 Hz|||||Si||||||Si||Operation, Stand-by||Si|||||||||||||||Si|56 - 76 Hz||0 - 40 °C|555 mm|555 mm|615 mm|||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||25 %||||||||||Si||30.000 h||2||||Si|MTBF 30.000 h|3.97 kg||8.56 kg|5.83 kg||||Si|Si||3 W|||65 mm|227 mm|180 mm||1|1|||||1||30 - 83 kHz|20 - 80 %|1000:1|20000000:1|['Si', '110 mm']|||1920 x 1200 Pixels||||Si|Si|||||||||.|||||Si|Si|LCD/TFT||5 ms||||||||W-LED|LED|||||||100 - 240 V||
Philips Philips 220V4LSB 220V4LSB 00 Planet Computer.it||||348 mm|416 mm|||||N|||"Thin Client
Thin client installato N"||160 °|160 °|||Kensington||||||||RoHS, Lead-free, Mercury Free|Si|Non specificato||||Nero|16.77 M||100 x 100 mm||||||Argento||||16.52 W|||0.5 W|0.5 W|||||||"Condizioni ambientali
Umidità relativa 20 - 80 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C"||473.76 mm|296.1 mm|||||55.9 cm|||0.282 x 0.282 mm|||16:10|N|50/60 Hz|||||||||||Si||Operation, Stand-by|||||||||||||||||Si|56 - 75 Hz|-20 - 60 °C|0 - 40 °C|512 mm|512 mm||||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR|250 cd/m²|||||||||||||Si||30.000 h||||||||3.32 kg|||3.66 kg|||||Si|||||48 mm|213 mm||||1|||||1||30 - 83 kHz||1000:1|10000000:1||||1680 x 1050 Pixels|||||Si|||N||||||.|||||Si|Si|LCD/TFT||5 ms||N||||||W-LED|LED||||20 - 80 %|||100 - 240 V||
Samsung Samsung S22D300NY LS22D300NY EN Planet Computer.it||||31,0642 cm|38,5064 cm|37,6936 cm|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||51,1556 cm|51,1556 cm|57,277 cm|||||||||||||||||||||||||||2,594 kg||3,941 kg|2,844 kg||||||||||5,3086 cm|17,6784 cm|11,4808 cm||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Hp Hewlett Packard HP LE1711 EM886AA ABB Planet Computer.it|Si|||316 mm|386 mm||0 - 5000 m|0 - 12192 m||N|||||160 °|160 °|||Kensington||||AC, VGA||||TCO|Si||||||||100 x 100 mm|N|||||Argento||||23 W||2 W|||25,5 W|||||||||||448 x 472 x 121 mm|||43.2 cm|||0.264 x 0.264 mm|||5:4|N|50/60 Hz||||||||N||-2 - 25 °|Si|Si|||||||||||||||||||50 - 76 Hz|-20 - 60 °C|5 - 35 °C|377 mm|377 mm||||CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA|250 cd/m²|1.9 m||||||||||||Si||||||7||Si||3.4 kg||5.1 kg|3.9 kg||||Si||||||57 mm|206 mm|||||||||1||24 - 83 kHz|20 - 80 %|1000:1||N|||1280 x 1024 Pixels|||720 x 400, 1280 x 960, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 800 (WXGA), 640 x 480 (VGA), 800 x 600 (SVGA)|||||N|||||||||||||TN+Film||5 ms|Thin client installato N|N|||||||LCD|N||5 - 90 %||||100 - 240 V||
Hp Hewlett Packard HP EliteDisplay S231d F3J72AT ABB Planet Computer.it||||32,9 cm|46,99 cm||||1|No|||"Thin Client
Thin client installato No"|0 - 360°|178°|178°|||Si|||||||||Si|Non specificato||||Nero|16,77M||100 x 100 mm||||||||||38W||||2,2W|||||||||50,9 cm|28,64 cm|||||58,4 cm|||0,265 x 0,265 mm|||16:9|Si|50/60 Hz|||||Si|||Si||-5 - 30°|Si|||Si|||||||||||||||||50 - 60 Hz|||54,4 cm|54,4 cm|||||250 cd/m²|||||||||||||Si||||||||||6,12 kg||||||||No|||||5,1 cm|24,24 cm|||1||||2|2|1||24 - 80 kHz||1000:1|5000000:1|['Si', '15 cm']|||1920 x 1080 Pixels||||||||No|||||||||||||IPS||7 ms||No|||||||LCD|Full HD||||||100 - 240V||
Lg Electronics LG 24MB35DM-B monitor piatto per PC 24MB35DM-B.AEU Planet Computer.it||||34,2 cm|43,2 cm|14 cm|||Si|Si|||||178°|178°|||Si|No|||Audio (3.5mm)||||FCC-B, CE, EPA (6.0), ISO13406-2 (ISO 9241-307)||Non specificato|No|||Nero|16,77M||100 x 100 mm||||||Oro||||25W|||0,3W|0,3W|||||||"Contenuto dell'imballo
Cavi inclusi Audio (3.5mm)"||||||||"60,45 cm (23.8"")"||Matt|0,275 x 0,275 mm|||16:9||50/60 Hz|30 - 83 kHz|56 - 75 Hz||||||Si||-5 - 20°|Si|Si|Si||Si|||||||||||||||Si|56 - 75 Hz|||56,8 cm|56,8 cm|64 cm|Si|||250 cd/m²||||||||||||1080p|Si||||2||||||3,696 kg||5,488 kg|3,991 kg||||Si|Si||2W|||6,3 cm|27,2 cm|41,4 cm|||11|||||1||30 - 83 kHz||1000:1|5000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||TCO (6.0)/UL(cUL)/TUV-GS/TUV-ERGO||||||||||||||IPS||5 ms|Thin client installato No|No|||||||LED|Full HD||||||100 - 240V||No
Samsung Samsung U28D590D LU28D590DS EN Planet Computer.it||||41 cm|48,63 cm|45,2 cm|||Si||||"Thin Client
Thin client installato No"||170°|160°||||No|||DisplayPort, HDMI||||||Non specificato|No|||Nero|||||||||||No||32W||||0,3W|||||||||||||||70,8 cm||Matt||||||50/60 Hz||||||||||||Si|Si|||||||||||||||||Si||||66,09 cm|66,09 cm|79,4 cm|Si|||370 cd/m²||Si|||||||||||||||||||||5,05 kg||7,4 kg|5,65 kg||||Si|No|||||6,47 cm|16,94 cm|10,9 cm||1|||2|||||||1000:1|Contrasto Mega|No|||3840 x 2160 Pixels|||3840 x 2160||||||||||||||||||TN||1 ms||No|||||||LED|4K Ultra HD||||||100 - 240V||
Hp Hewlett Packard HP EliteDisplay E231 C9V75AT ABB Planet Computer.it|Si|||329 mm|469.9 mm|||||N||||0 - 360 °|170 °|160 °|||||||AC||||CE, CB, KC, KCC, NOM, PSB, ICE, TUV-S, CCC, CEL 1, CECP, SEPA, TCO Edge, EPA, ISC, VCCI ,FCC, BSMI|Si|Non specificato|N|||Nero|16.77 M||Si|N|||||Oro||N||33 W||||0.5 W|36 W||||||"Condizioni ambientali
Intervallo temperatura di funzionamento 5 - 35 °C
Intervallo di temperatura -20 - 60 °C"||||||||58.42 cm||Matt||||16:9|N|50/60 Hz|||||Si|Si||Si||-5 - 30 °|Si|Si|Si||||||||||||||||||50 - 76 Hz|-20 - 60 °C|5 - 35 °C|544 mm|544 mm||Si|||250 cd/m²||Si||||||||||1080p|Si||||||||Si||3.9 kg||8.34 kg|6.1 kg|||0 - 90 °|Si|Si|||||51 mm|242.4 mm|||1|1|||3||1||24 - 94 kHz||1000:1|5000000:1|['Si', '150 mm']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si||||N||Si|Si|||.|||||||TN+Film||5 ms||N|"Altre caratteristiche
Source data-sheet ."||||||LED|Full HD||||||95 - 265 V||
