3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|depth|depth with stand|digital zoom|display orientation|displayport|dvi|features|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|image sensor|input voltage|interfacesports|limited warranty|manufacturer|manufacturer part number|manufacturer website address|maximum adjustable height|maximum resolution|mount type|multitouch screen|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|resolution|response time|screen mode|screen size|screen surface|serial port|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|tilt angle|touchscreen|touchscreen type|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|"Panasonic Th-65pb2u 64.7"" Plasma Touchscreen Monitor - 16:9 - Plasma Light Detection System - 1920 X 1080 - 5,000,000:1 - Speakers - Dvi - Hdmi - Usb - Vga - Black - (TH65PB2U) - SoftwareCity.ca - Canada"|||||16:9||Panasonic||Speaker|UL60065 CAN/CSA-22.2 No 60065:03 FCC Part 15 Class B ICES-003|Black|||Yes||5,000,000:1||"3.9"" (99 mm)"|||||Yes|Picture in Picture, Auto Setup, Digital Zoom, Eco Mode, Brightness Sensor|||||Yes||"36.4"" (925 mm)"||67.50 kHz|||110 V AC|||Panasonic|TH65PB2U|http://www.panasonic.com||1920 x 1080|||Yes|||200 mW|550 W|Interactive Plasma Display Operating Instruction Book 1 x Software CD-ROM Remote Control Transmitter Batteries 1 x Clamper AC Power Cord 2 x Ferrite Core 1 x Electronic Pen 1 x Electronic Pen Adaptor 1 x Pen Tip 1 x Eraser Tip 1 x Optical Attachment 1 x Charger 1 x Stand 1 x Mounting Bracket 1 x Recharger Cable 2 x Cable 2 x Screw||||PC|||TH-65PB2U|Interactive Plasma Display|PB2|Plasma Touchscreen Monitor|||||Full HD|"64.7"""|Anti-glare|Yes|Yes|60 Hz|400 mW||||Yes|Plasma Light Detection System|Yes|||||Yes||58 kg||"61.2"" (1554 mm)"|
|"Planar La1950r 19"" Open-frame Lcd Monitor - 5 Ms - 1280 X 1024 - 250 Nit - 800:1 - Sxga - Vga - Usb - 25 W - Black - Rohs - (997-6179-00LF) - SoftwareCity.ca - Canada"|||||||Planar|250 cd/mÂ²||UL/c-ULFCC-Class BTUV-T markCE|Black|||||800:1||"2.5"" (64.4 mm)"||||||||RoHS|Yes||||"14.2"" (360.3 mm)"|||160Â°||110 V AC, 220 V AC||3 Year|Planar Systems, Inc|997-6179-00LF|http://www.planar.com||1280 x 1024|Wall Mountable|||1|||25 W|||||PC, Mac|||LA1950R|LA1950R Open-frame LCD Monitor||Open-frame LCD Monitor||||5 ms|SXGA|"19"""||||75 Hz|||||||Yes||160Â°|Yes|100 x 100|Yes||5.80 kg||"17"" (432.9 mm)"|
|"Hp Business P19a 19"" Led Lcd Monitor - 5:4 - 5 Ms - Adjustable Display Angle - 1280 X 1024 - 16.7 Million Colors - 250 Nit - 1,000,000:1 - Sxga - Vga - 25 W - Black - Energy Star, Epeat Gold, Tco Certified Displays, China Energy Label (cel), Cecp - (D2W67A8#ABA) - SoftwareCity.ca - Canada"||Yes|No|No|5:4|LED|HP|250 cd/mÂ²||CB CE CCC BSMI S-Mark VCCI FCC CSA GS mark ICES C-Tick e-Standby|Black|16.7 Million Colors||||1,000,000:1|China|"2.3"" (58.4 mm)"|"8.1"" (206.5 mm)"|||||Security Lock||ENERGY STAR, EPEAT Gold, TCO Certified Displays, China Energy Label (CEL), CECP|Yes||||"13.7"" (348 mm)"|"16.5"" (418.1 mm)"|83 kHz|170Â°||110 V AC, 220 V AC||3 Year|Hewlett-Packard|D2W67A8#ABA|http://www.hp.com/ca||1280 x 1024|Wall Mountable, Arm-mountable|||1|||25 W|ProDisplay P19A 19-Inch LED Backlit Monitor (Energy Star) VGA Cable AC Power Cable Printed Documentation And CD DisplayAssistant and Adobe Acrobat Reader Software||||PC||Business|P19A|ProDisplay P19A 19-Inch LED Backlit Monitor (Energy Star)|Essential|LCD Monitor||||5 ms|SXGA|"19"""|Anti-glare|||60 Hz|500 mW||||||No||160Â°|Yes|100 x 100|Yes||2.99 kg|3.50 kg|"16.3"" (414 mm)"|"16.3"" (414 mm)"
|"Nec Display Multisync Pa272w-bk-sv 27"" Gb-r Led Lcd Monitor - 16:10 - 6 Ms - Adjustable Display Angle - 2560 X 1440 - 1.07 Billion Colors - 340 Nit - 1,000:1 - Wqhd - Dvi - Hdmi - Displayport - Usb - 73 W - Black - Tco Displays 5.0, Rohs - (PA272W-BK-SV) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:10|GB-R LED|NEC Display|340 cd/mÂ²|USB Hub||Black|1.07 Billion Colors||||1,000:1||"3.3"" (83.8 mm)"|"9.3"" (236.2 mm)"|||Yes|Yes|Cable Management, Digital Uniformity Correction, AmbiBright, CableComp, TileMatrix Support, TileComp, DisplaySync Pro, Dual Link-up, Eco Mode, Carbon Footprint Meter||TCO Displays 5.0, RoHS|Yes|Yes|Yes||"14.9"" (378.5 mm)"|"21.5"" (546.1 mm)"|96.50 kHz|178Â°||||4 Year|NEC Display Solutions|PA272W-BK-SV|http://www.necdisplay.com||2560 x 1440|Desk Mountable|||1|||73 W|"27"" Color Critical Desktop Monitor with SpectraViewII (Black) Power Cable DisplayPort Cable Mini DisplayPort to DisplayPort Cable DVI Cable USB Cable Mounting Screws"|||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC||MultiSync|PA272W-BK-SV|"27"" Color Critical Desktop Monitor with SpectraViewII (Black)"||LCD Monitor||||6 ms|WQHD|"27"""||||85 Hz|1.40 W||||||Yes||178Â°|Yes|200 x 100|||8.89 kg|12.88 kg|"25.2"" (640.1 mm)"|"25.2"" (640.1 mm)"
|"Nec Display Multisync Ea304wmi-bk 30"" Gb-r Led Lcd Monitor - 16:10 - 6 Ms - Adjustable Display Angle - 2560 X 1600 - 1.07 Billion Colors - 350 Cd/mÂ² - 1,000:1 - Wqxga - Speakers - Dvi - Hdmi - Vga - Displayport - Usb - 83 W - Black - Energy Star 6.0, Tco Certified Displays 6.0, Tco Certified Edge Displays 1.2, Epeat Gold, Rohs - (EA304WMI-BK) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:10|GB-R LED|NEC Display|350 cd/mÂ²|USB Hub, Speaker|ISO 9241-307 Class I|Black|1.07 Billion Colors||||1,000:1||"3"" (76.2 mm)"|"9.1"" (231.1 mm)"|||Yes|Yes|Picture by Picture, ControlSync, Cable Management, Ambient Light Sensor, Eco Mode, Carbon Footprint Meter, Display Power Management Signaling (DPMS), AccuColor, Touch Controls, Mobile High-Definition Link (MHL)||ENERGY STAR 6.0, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.2, EPEAT Gold, RoHS|Yes|Yes|Yes||"17.6"" (447 mm)"|"23.7"" (602 mm)"||178Â°||||3 Year|NEC Display Solutions|EA304WMI-BK|http://www.necdisplay.com|"5.1"" (130 mm)"|2560 x 1600||||1|||83 W|"30"" Eco-Friendly Widescreen WQXGA Desktop Monitor with IPS Panel Power Cable DisplayPort Cable ControlSync Cable DVI-D Cable USB 3.0 Cable"|||Advanced High Performance In-plane Switching (AH-IPS) Technology|||MultiSync|EA304WMi-BK|"30"" Eco-Friendly Widescreen WQXGA Desktop Monitor with IPS Panel"||LCD Monitor||||6 ms|WQXGA|"30"""|||Yes|75 Hz|700 mW||||||Yes|USB 3.0|178Â°|Yes|100 x 100|Yes||7.98 kg|11.02 kg|"27"" (685.8 mm)"|"27"" (685.8 mm)"
|"3m Microtouch 17"" Lcd Touchscreen Monitor - 25 Ms - Capacitive - 1280 X 1024 - 16.7 Million Colors (24-bit) - 215 Cd/mÂ² - Vga - 3 Year - (11-4945-227-00) - SoftwareCity.ca - Canada"|||||||3M|215 cd/mÂ²||||16.7 Million Colors (24-bit)||||350:1||"1.9"" (49 mm)"|||||||||||||"13.2"" (334.8 mm)"|||||12 V DC||3 Year|3M|11-4945-227-00|http://www.3m.com||1280 x 1024||||||||||||||MicroTouch||MicroTouch CT Touch Screen Monitor||LCD Touchscreen Monitor||||25 ms|SXGA|"17"""|||||||||Yes|Capacitive||||||Yes||4.60 kg||"16"" (405.9 mm)"|
|"Planar Pxl2770mw 27"" Edge Led Lcd Monitor - 16:9 - 14 Ms - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 1,000:1 - Full Hd - Speakers - Hdmi - Vga - Displayport - 36 W - Rohs - (997-7412-00) - SoftwareCity.ca - Canada"|||||16:9|Edge LED|Planar|250 cd/mÂ²|Speaker|||16.7 Million Colors||||1,000:1||"1.6"" (41.1 mm)"|"9.4"" (239.5 mm)"|||Yes|||Click to view|RoHS|Yes||Yes||"15"" (381.8 mm)"|"17.6"" (447.8 mm)"||||||3 Year|Planar Systems, Inc|997-7412-00|http://www.planar.com||1920 x 1080||||1|||36 W|"PXL2770MW 27"" LCD Monitor 12V DC AC Adaptor Power Cord VGA Cable DisplayPort Cable Audio Cable User's Guide"|||||||PXL2770MW|"PXL2770MW 27"" LCD Monitor"||LCD Monitor||||14 ms|Full HD|"27"""|||Yes|||||||||||Yes||Yes||4.31 kg|4.72 kg|"25.3"" (643.4 mm)"|"25.3"" (643.4 mm)"
|"Hp Envy 23.8"" Led Lcd Monitor - 16:9 - 7 Ms - Adjustable Display Angle - 1920 X 1080 - 300 Cd/mÂ² - 10,000,000:1 - Full Hd - Speakers - Hdmi - Vga - 54 W - Silver - Tco Certified Displays, Energy Star, TÃ¼v, China Energy Label (cel), Reach - (E5H53AA#ABA) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|HP|300 cd/mÂ²|Speaker|FCC CSA CE KC / KCC e-Standby NOM CCC VCCI EAC C-Tick PSB ISC BSMI WHQL S-mark|Silver|||||10,000,000:1||"6.3"" (160.7 mm)"||||||Mobile High-Definition Link (MHL), Ultra Slim, Security Lock||TCO Certified Displays, ENERGY STAR, TÃV, China Energy Label (CEL), REACH|Yes|Yes|Yes|Yes|"16.9"" (428.5 mm)"|||178Â°||||1 Year|Hewlett-Packard|E5H53AA#ABA|http://www.hp.com/ca||1920 x 1080||||1|2||54 W|"ENVY 24 60.5 cm (23.8"") Diagonal IPS Monitor with Beats Audio(E5H53AA) VGA Cable Stereo Audio Cable HDMI Cable MHL Cable"|||In-plane Switching (IPS) Technology|PC||Envy||"ENVY 24 60.5 cm (23.8"") Diagonal IPS Monitor with Beats Audio(E5H53AA)"||LCD Monitor||||7 ms|Full HD|"23.8"""|||Yes|60 Hz||||-5Â°Up to25Â°|||||178Â°|||Yes||5.15 kg||"21.2"" (539.4 mm)"|
|"Nec Display Md211c2 21.3"" Led Lcd Monitor - 20 Ms - Adjustable Display Angle - 1600 X 1200 - 1.07 Billion Colors - 900 Cd/mÂ² - 1,400:1 - Dvi - Displayport - Usb - 80 W - Weee, Rohs - (MD211C2) - SoftwareCity.ca - Canada"||Yes|Yes|Yes||LED|NEC Display|900 cd/mÂ²|USB Hub|UL60950-1UL60601-1PSBSASO CCCGost/PCTCE-MDDNOMTUV GMvFCC CLASS B/CANADIAN DOCC-tickVCCI (class2)ISO9241-307AAPM-TG18SB50DIN V 6868-57JESRA-X0093||1.07 Billion Colors||||1,400:1||"4.1"" (104.1 mm)"|"9.3"" (236.2 mm)"||Landscape/Portrait|Yes|Yes|Digital Uniformity Compensation, Ambient Light Sensor||WEEE, RoHS|Yes||||"14.7"" (373.4 mm)"|"23.4"" (594.4 mm)"||176Â°||||5 Year|NEC Display Solutions|MD211C2|http://www.necdisplay.com||1600 x 1200||||1|||80 W|"21.3"" Color 2-Megapixel LED-Backlit Medical Diagnostic MonitorPower CordDVI Cable (Dual Link)DisplayPort CableUSB CableWarranty SheetCD-ROM (GammaCompMD QA Software)User Manual"|||||||MD211C2|"21.3"" Color 2-Megapixel LED-Backlit Medical Diagnostic Monitor"||LCD Monitor||||20 ms||"21.3"""||||85 Hz|2 W||||||Yes||176Â°|Yes|100 x 100|||7.71 kg|11.79 kg|"18.6"" (472.4 mm)"|"14.7"" (373.4 mm)"
|Panasonic Standard Panaboard Slim Design Ub-5835 - (UB5835) - SoftwareCity.ca - Canada|||||||Panasonic|||||||||||"8.3"" (212 mm)"||||||One Board with the Writing Space of TwoEasily Compile InformationContinuous Output of Up to Nine CopiesE-mail Distribution of DataData Storage in a USB Flash MemoryEasy Data Display and EditingHeight Adjustment, Wall Mounting, CastersEnergy-Saving DesignSleek, Low Profile Body|||||||"52.5"" (1334 mm)"||||||1 x Type B - USB 2.0||Panasonic|UB5835|http://www.panasonic.com||||||||||Standard Panaboard Slim Design UB-58352 x Black MarkerEraserThermal Transfer Film (Starter roll)Wall-mounting BracketsPower CordLithium BatteryOperating InstructionsInstallation Manual||||||Panaboard||Standard Panaboard Slim Design UB-5835||Interactive Whiteboard||||||||||||||||||||||||27 kg||"68.3"" (1735 mm)"|
