3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|60002794, 3967199, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes||4:3||NEC Display|250 cd/m²|Speaker|CE TÜV Ergonomics TÜV GS FCC Class B PCT / Gost UL / C-UL CSA ISO 9241-307 ISO 13406-2|['Silver', 'White']|16.7 Million Colours|||1,000:1||230 mm||||Yes|||['Security Lock', 'Cable Management']||['TCO Displays 5.0', 'EPEAT Gold', 'MPR III', 'MPR II', 'ENERGY STAR 5.0', 'ErP']|Yes|||Yes|358.5 mm|||160°|['220 V AC', '110 V AC']|3 Year|NEC Display Solutions|60002794||1280 x 1024|||1|2||19 W|MultiSync LCD175M LCD Monitor Power cable Audio cable CD-ROM List of commercial agencies User Manual VGA-VGA Cable||||PC||MultiSync|LCD175M|MultiSync LCD175M LCD Monitor||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"||||Yes|60 Hz|||||||||160°|Yes|100 x 100|Yes||5.20 kg||368 mm|
|UM.VH6EE.005, 8654D39, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|Acer|250 cd/m²|Speaker||Black|16.7 Million Colours|||100,000,000:1||172.7 mm||||Yes|34 kWh|A|||['MPR II', 'ENERGY STAR']|Yes||Yes||403.9 mm|||178°||2 Year|Acer, Inc|UM.VH6EE.005|No|1920 x 1080|||1|2|400 mW|26 W|H236HL Widescreen LCD Monitor1 x VGA CablePower Cord|||In-plane Switching (IPS) Technology||||H236HL|H236HL Widescreen LCD Monitor|H|LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||Yes|60 Hz|450 mW||No|||-5°to15°|||178°|No||Yes||2.90 kg|3.60 kg|530.9 mm|
|T47HDUK, S602QX1, Lenovo, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes||5:4|CCFL|Lenovo|250 cd/m²||TUV-ErgoCSCISO 9241-307ANSI S12.10ISO/DIS 7779China National Monitor Energy Efficiency Standard Tier 1Safety:NEMKOULIEC950 CB ReportTUV-GSCCCBSMINOMICCPGostSISIRTUV-S/UL-Ar/IRAM-SISCAAA-SDAMANJEITASABS-LoAE-StandbyKCCEMI:ICFCC BCEVCCIBSMICCCSABS-CoCAAA-RSO|Business Black|16.7 Million Colours|||1,000:1||155.2 mm||||Yes|||Security Lock||['TCO Certified Edge Displays 1.1', 'ULE Gold', 'China Energy Label (CEL)', 'TCO Certified Displays 6.0', 'EPEAT Gold', 'EuP', 'REACH', 'China RoHS', 'MPR II', 'TCO Displays 5.0', 'WEEE', 'ENERGY STAR 6.0', 'RoHS']|Yes||||406.4 mm|||170°|['110 V AC', '220 V AC']|3 Year|Lenovo Group Limited|T47HDUK||1280 x 1024|||1||500 mW|18 W|ThinkVision LT1712p MonitorVGA CableDVI CablePower CordTooless Detachable StandCD Containing Multilingual User's Guide, Setup Test Pattern, and Windows Installation FileQuick Start and Safety Poster||||PC||ThinkVision|LT1712p|ThinkVision LT1712p Monitor||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"|||||75 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||4.24 kg||370.8 mm|
|M2870VQ, 3058976, AOC, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|AOC|300 cd/m²||CE GOST ISO 9241-307 TÜV-GS||16.7 Million Colours|||50,000,000:1||451.8 mm|||Yes|Yes|||['Screen+', 'Security Lock', 'i-Menu', 'e-Saver', 'Eco Mode']||['EPEAT Silver', 'ENERGY STAR 6.0', 'EuP', 'RoHS', 'TCO Certified Displays 6.0']|Yes|Yes|Yes||241.9 mm|||178°|['110 V AC', '220 V AC']|3 Year|AOC|M2870VQ||1920 x 1080|Wall Mountable||1||500 mW|27.70 W|"m2870Vq 71.1cm (28"") LED Monitor Power cable D-Sub cable HDMI cable Audio cable Product CD-ROM Warranty Card on CD-ROM"|||MVA technology|||Value|m2870Vq|"m2870Vq 71.1cm (28"") LED Monitor"||LCD Monitor|||5 ms|Full HD|"71.1 cm (28"")"||||Yes|60 Hz|500 mW|||||-5°to25°|||178°|Yes|100 x 100|Yes||5.30 kg||665.1 mm|
|9H.LATLA.3PE, 3174388, BenQ, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:10||BenQ|200 cd/m²|||Black|16.7 Billion Colors|||12,000,000:1|||213.93 mm|||Yes|||['Security Lock', 'Senseye 3', 'Eye-Care', 'Ultra Flexible', 'Flicker-free']||TCO Certified Displays 6.0|Yes|Yes||Yes||502.50 mm||170°|['120 V AC', '230 V AC']||BenQ Corporation|9H.LATLA.3PE|110 mm|1680 x 1050|Wall Mountable||1|||26 W||||Twisted Nematic Film (TN Film)|PC|||BL2211TM|BL2211TM Widescreen LCD Monitor|BL|LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes||||45°|||-5°to20°|||160°|Yes|100 x 100|Yes||5.50 kg|||522.15 mm
|UM.VS5EE.B01, 8653Q46, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100000000:1|||142.24 mm||||31 kWh|A|||['ENERGY STAR', 'MPR II']|Yes||Yes|||403.86 mm||170°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.VS5EE.B01|No|1920 x 1080|||1||530 mW|26 W|S235HL Widescreen LCD MonitorPower CordVGA CableFoot Stand|||In-plane Switching (IPS) Technology||||S235HL|S235HL Widescreen LCD Monitor|S|LCD Monitor|||6 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|600 mW||No|||-5°to15°|||160°|No||Yes|||4.60 kg||548.64 mm
|B2480HS-B1, 2538389, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|iiyama|300 cd/m²|Speaker|ECCUTUV-GS|Black|16.7 Million Colours|||1,000:1||244.5 mm||Landscape/Portrait||Yes|||Security Lock||['ENERGY STAR', 'TCO', 'TCO Displays 5.0']|Yes|Yes|Yes||557 mm|||170°|['110 V AC', '220 V AC']|3 Year|iiyama North America, Inc|B2480HS-B1||1920 x 1080|['Desk Mountable', 'Wall Mountable']|No|1|2||22 W|ProLite B2480HS-1Power CableVGA Cable (D-Sub)DVI CableAudio CableBase Of The FootCable SupportQuick Start GuideSafety Guide||||['PC', 'Mac']||ProLite|B2480HS|ProLite B2480HS-1||LCD Monitor|||2 ms|Full HD|"59.9 cm (23.6"")"||||Yes|75 Hz|1 W||||||||160°|Yes|100 x 100|Yes||6.10 kg||571.5 mm|
|PNA601, SHALCDPNA601, Sharp, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|Sharp|2000 cd/m²|||||Yes||1,000,000:1||147 mm||Landscape/Portrait|||||||||Yes|Yes||793 mm|||176°|||Sharp Electronics|PNA601||1920 x 1080|||1|||600 W||||||||PN-A601|PN-A601 Widescreen LCD Monitor||LCD Monitor|||6 ms|Full HD|"152.4 cm (60"")"||||||500 mW||||||||176°|Yes|200 x 200|Yes||45 kg||1374 mm|
|9H.L7ALA.DPE, 2834600, BenQ, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No||16:9|LED|BenQ|250 cd/m²|||Glossy Black|16.7 Million Colours|||1,000:1||179.1 mm||||Yes|||['Senseye Technology', 'Security Lock', 'Eco Mode', 'Senseye 3']||['ENERGY STAR', 'TCO Displays 5.0']|Yes|Yes|||436.5 mm|||170°|['220 V AC', '110 V AC']||BenQ Corporation|9H.L7ALA.DPE||1920 x 1080|||1||300 mW|34 W||||Twisted Nematic Film (TN Film)|PC|||GL2450|GL2450 Widescreen LCD Monitor|GL|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"|||||76 Hz|300 mW||||||No||160°|Yes|100 x 100|Yes||4.10 kg||579.4 mm|
|XB2783HSU-B1, IIYMON406, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|iiyama|300 cd/m²|['USB Hub', 'Speaker']|CE TÜV-GS VCCI-B PSE CU|Black|16.7 Million Colours|||3,000:1||56.5 mm|230 mm|Landscape/Portrait||Yes|||Security Lock||['ENERGY STAR', 'TCO Displays 5.0']|Yes|Yes|Yes|Yes||530.50 mm||178°|['220 V AC', '110 V AC']|3 Year|iiyama North America, Inc|XB2783HSU-B1||1920 x 1080|||1|2||34 W|ProLite XB2783HSU Widescreen LCD Monitor Power Cable VGA Cable DVI-D Cable Audio Cable USB Cable Stand Quick Start Guide Safety Guide|||AMVA+|['Mac', 'PC']||ProLite|XB2783HSU|ProLite XB2783HSU Widescreen LCD Monitor||LCD Monitor|||4 ms|Full HD|"68.6 cm (27"")"||||Yes|75 Hz|500 mW||||||Yes|USB 2.0|178°|Yes|100 x 100|Yes||6 kg||622.5 mm|622.50 mm
|170B6CS/05, PHITFT170B6CS05, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes||||Philips|250 cd/m²|Speaker|CE Mark E2000 EMC FCC-B UL CSA SEMKO TÜV/GS TÜV Ergo|Silver|16.2 Million Colours|||500:1|||210 mm|||Yes|||['Security Lock', 'Sync on Green']||"['RoHS', 'ENERGY STAR', ""TCO '03""]"|Yes|||||377 mm||160°|['220 V AC', '110 V AC']|1 Year|Philips Electronics|170B6CS/05||1280 x 1024|||1|2|1 W|33 W|"LCD Monitor 17"" SXGA AC power cord Audio cable USB cable VGA cable"||||PC|||170B6CS|"LCD Monitor 17"" SXGA"||LCD Monitor|||8 ms|SXGA|"43.2 cm (17"")"|Anti-glare|||Yes|60 Hz|||||||Yes|USB 2.0|155°|Yes|100 x 100|Yes||4.80 kg|||375 mm
|LDT422V, MITLDT422V, Mitsubishi, LCD Monitor, Kingsfield Computer Products Ltd|||||||Mitsubishi|500 cd/m²|||||Yes|Yes|1,300:1||132.1 mm||||Yes||||||||Yes||614.7 mm|||178°|||Mitsubishi|LDT422V||1920 x 1080|Wall Mountable||1|||182 W|||||['Mac', 'PC']|||LDT422V|LDT422V Widescreen LCD Monitor||LCD Monitor|||9 ms||"106.7 cm (42"")"|||||||Yes|||||||178°|Yes|100 x 100|Yes||20.41 kg||1022.1 mm|
