3d compatibility|<page title>|ac adapter included|ac power in|annual energy consumption|anschlüsse|aspect ratio|audio input|audio output|auflösung empfohlen|backlight type|bezel width bottom|bezel width side|bezel width top|bildformat|blickwinkel horizontal|blickwinkel vertikal|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable lock slot|cables included|camera included|card reader integrated|certification|colour|colour of product|common interface ci|common interface plus ci|compatible memory cards|compatible with vesawall mounting system|compliance industry standards|composite sync|composite video in|connection to pc|contrast ratio dynamic|contrast ratio typical|dcin jack|depth|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h|dimensions w x d x h with stand|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display type|display viewable area hxv|displaygröße|displayports quantity|dvi port|dvid ports quantity|dvii ports quantity|effective viewing area|eigenschaften|electromagnetic compatibility|energy efficiency class|energy star certified|epeat compliance|ethernet lan|ethernet lan connection|farbe allgemein|farbe herstellerspezifisch|feet colour|full hd|gewicht netto|glossy display|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|hdready|headphone connectivity|headphone out|headphone outputs|height|height adjustment|height with stand|helligkeitleuchtstärke|horizontal scan range|input frequency|input voltage|io ports|kontrastverhältnis|lcd paneltechnologie bzw tm |led backlight|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum resolution|mean time between failures mtbf|megapixel|microphone in|mobile highdefinition link mhl|netzteil|nonoperating altitude|number of colours|number of loudspeakers|number of osd languages|number of products included|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating relative humidity range|operating temperature range tt|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption|power consumption active|power consumption average|power consumption economy mode|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|product type|prüfzeichenzertifikatezulassungen|quantity|quick start guide|reaktionszeit|relative humidity|response time|rms rated power|rotating|safety|screen saving functions|separate hv sync|signalart|standby led|storage relative humidity hh|storage relative humidity range|storage temperature range tt|storage temperature tt|strahlungsnorm|supported graphics resolutions|supported video modes|svideo in|svideo inputs quantity|swivel|swivel angle|swivel angle range|swivel webcam|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|usb powered|user guide on cdrom|vertical scan range|vesa bohrung|vesa mounting interfaces compatibility|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle horizontal|viewing angle vertical|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported|wireless lan connection
|"UM.EB6EE.005 - Acer B226WLymdr LED monitor 22"" - Xpcpro.com"||||DVI-D mit HDCP, D-Sub 15 pol.||||1.680 x1.050|||||Wide 15:9/16:9/16:10|170 °|160 °|||||||||||||||||||||||||||||||||||||||||"55.9 cm 22 """||||||höhenverstellbar, Pivot drehbar 90°, Speaker||||||||darkgrey|||5,75 kg||||||||||||||250 cd/qm|||||1000 :1|TN Film|||||||||||intern||||||||||||||||||||||||||||||||||||||||CE, TÜV-GS, ISO 9241-307|||5 ms||||||||digital/analog||||||||||||||||||||||||||100 x 100 mm|||||||||||||||||
N|PL C1911S-B3 - Iiyama ProLite C1911S-3 - LCD - Xpcpro.com|||||16:9||||||||||||||Y||Kensington||N||||Black||||||||Y|-|1000:1||200.5 mm||||||LCD|250 cd/m²|"19 """||16.77 M|1280 x 1024 pixels|||||||||-|-||||Unspecified||||||||N|||||N||-|||||431.5 mm||||30 - 82 kHz|50/60 Hz|100 - 240 V||||||||Y|||||||||2 pcs||||||||||||||||||||||||19 W||||||||||Y|||||Y|||5 ms|1 W||CE, TÜV/Bauart, CU||||Y||||||1280 x 1024 SXGA||||||||||-|||N|-||||56 - 72 Hz||100 x 100 mm|1|||||178 °|160 °||Y|3900 g||407 mm|||Y|
N|"60003334 - NEC E223W BLACK 55,9CM 22"" (60003334) - Xpcpro.com"||Y|||16:10||||W-LED|||||||N|N||N||Kensington|AC, DVI, VGA|||TCO 5.2||Black|||||||||25000:1|1000:1||218 mm||||||LED|250 cd/m²|"['55.87 cm', '22 ""']"||16.77 M|1680 x 1050 pixels|Y||TNFilm||||1||1|||||Unspecified|Y|Silver||N||||||||N|Y|||||||384 mm|Y|||31.5 - 82.3 kHz|50/60 Hz|100 - 240 V|||||Y|Y||Y||||||||||||Y||Y|||20 - 80 %|5 - 35 °C||||||||||Y|0 - 90 °|0.282 x 0.282 mm||Y|||||25 W||12 W|0.4 W|||Y|||||Y|||5 ms|||||||Y||||||1280 x 960, 1366 x 768, 1024 x 768 XGA, 1280 x 1024 SXGA, 1280 x 720 HD 720, 1280 x 768 WXGA, 1360 x 768 WXGA, 1400 x 1050 SXGA, 1440 x 900 WXGA, 1600 x 1200 UXGA, 1680 x 1050 WSXGA, 640 x 480 VGA, 800 x 600 SVGA|||||-170 - 170 °|||Y||N|Y|-5 - 30 °|N|||||56 - 75 Hz||100 x 100 mm|1|||||170 °|160 °||Y|5600 g||503.5 mm|||Y|N
N|E960SRDA - AOC Professional e960Srda LED monitor - Xpcpro.com||Y|||5:4|||||||||||N|N|N|Y||Kensington|||N|CE, cTUVus, EuP, FCC, ISO 9241-307, GOST, RoHS, TCO 5.0, TÜV-GS||Black|||N||||||20000000:1|1000:1||210 mm||30 - 80 kHz|50 - 76 Hz|||LED|250 cd/m²|"19 """|48.3 cm|16.77 M|1280 x 1024 pixels|||||||||1|||||Unspecified|Y|Silver|N||||||||||N|||||||405.1 mm|N|||||90 - 240 V||||||||||||N|||||1|||Y||Y||||||||||||||N||0.294 x 0.294 mm||Y||||||0.5 W||0.5 W|22 W||||||||||5 ms|||||||||||||1280 x 1024 SXGA||||||||N||N|Y|-5 - 15 °|N|||||||100 x 100 mm|1|140 MHz||376 mm|301 mm|170 °|160 °||Y|2850 g|4200 g|409.2 mm||N||
|XB2483HSU-B1 - Iiyama XB2483HSU-B1 60CM 24IN LED - Xpcpro.com||||||||1.920 x 1.080|||||Wide 15:9/16:9/16:10|170 °|160 °|||||||||||||||||||||||||||||||||||||||||"61 cm 24"""|||||||||||||schwarz||||3,4 kg||||||||||||||250 cd/qm|||||1000 :1|TN||||||||||||||||||||||||||||||||||||||||||||||||||||||2 ms||||||||digital/analog||||||||||||||||||||||||||100 x 100 mm|||||||||||||||||
N|MC914ZM/B - Apple Thunderbolt Display LED monitor - Xpcpro.com|||||16:9||||||||||||Y|Y|Y||Kensington|AC|||||||||||||||1000:1||207 mm||||||LED|375 cd/m²|"27 """||16.77 M|2560 x 1440 pixels|||IPS|||||||||||Unspecified||||Y||||||||Full HD||||||||491 mm|||||50/60 Hz|100 - 240 V|||||||Y|Y|||||||||||||||||20 - 80 %|10 - 35 °C|||||||||||||||||||250 W||||||||||||||12 ms|49 W|||||||||-20 - 47 °C|||2560 x 1440||||||||||N|||N|3||||||||||||178 °|178 °||Y|10800 g||650 mm||||
N|S26361-K1497-V140 - Fujitsu B24W-7 LED LED monitor - Xpcpro.com|Y|Y|||16:10||||||||||||N||Y||Kensington|AC, Audio 3.5mm, DVI, USB, VGA|||CE, GS, EAC, C-Tick, EAC, FCC, VCCI, KC, TÜV-S, BSMI, CCC, SASO, cUL, TCO||Grey|||||||||20000000:1|1000:1|Y|64 mm|204 mm|30 - 82 kHz|48 - 76 Hz|||LED|300 cd/m²|"24 """|61 cm|16.77 M|1920 x 1200 pixels|||WVA|||||Y|1||||||Y|Gold|||||Silver||||||Y||||3.5 mm||1|366 mm|Y|384 mm|||50/60 Hz|100 - 240 V||||||||Y||70000 h|||||||2|19||Y|ARA, CHI SIMPL, CHI TR, CZE, DAN, DEU, DUT, ENG, ESP, FIN, FRE, ITA, JPN, NOR, POL, POR, RUS, SWE, TUR|Y|||||5 - 35 °C||8400 g|||||||||0.270 x 0.270 mm|||||||25 W|0.1 W|0.18 W||16.7 W|||||||Y|||5 ms|3 W||||||||||||1280 x 768, 1280 x 800, 1400 x 900, 1024 x 768 XGA, 1600 x 1200 UXGA, 1680 x 1050 WSXGA, 1920 x 1080 HD 1080, 1920 x 1200 WUXGA, 640 x 480 VGA, 800 x 600 SVGA||||||0 - 90 °||Y||N|Y|-5 - 35 °|N|2||||||100 x 100 mm|1|||518 mm|324 mm|178 °|178 °||Y|4200 g|6900 g|559 mm|559 mm|||
|LS19C45KBR/EN - Samsung  SM S19C450BR LED 19IN - Xpcpro.com|||30 kWh||5:4||||||||||||N||N||||||||Black|||||||||1000:1|||210 mm|210 mm|||||LED|250 cd/m²|"19 """||16.77 M|1280 x 1024 pixels|||TNFilm||||||1|||||Unspecified|Y|Gold||||||||||N||||||||369 mm||469 mm||||||||||||Y|||||||||||||||||10 - 80 %|10 - 40 °C||||||||||Y|-1 - 95 °|||||||||||0.1 W|19 W|||||||Y|||5 ms|||||||||||||1280 x 1024 SXGA|||||-45 - 45 °|||Y||N|Y|-3 - 25 °|N|||||||100 x 100 mm|1|||||170 °|160 °||Y|2.95 g|4.45 g|407 mm|407 mm|||
N|LS22C45KMWV/EN - Samsung SyncMaster S22C450MW,  - Xpcpro.com|||||16:10|Y|Y||||||||||N||Y||||||TCO, UL, CSA, TUV, GB, IEC||Black|||||||||1000:1|||55.5 mm|210 mm|||||LED|250 cd/m²|"22 """||16.77 M|1680 x 1050 pixels|||TNFilm||||||1||||FCC, ACE, KCC, CCC, GB||Y|Gold||||||||||N|N|||||||329.8 mm|Y|453.5 mm|||50/60 Hz|100 - 240 V|||||Power, Y||||||||||||2 pcs||||||||10 - 80 %|10 - 40 °C|||6400 g|416 mm|188 mm|578 mm||||Y|-1 - 95 °|0.282 x 0.282 mm||||||||||0.1 W|24 W||||||||||5 ms|2 W||||||||||||1680 x 1050 WSXGA|||||-45 - 45 °|||Y||N|Y|-3 - 25 °|N|||||||100 x 100 mm|1|||||170 °|160 °||Y|3500 g|5000 g|502.4 mm|502.4 mm|||
N|244E5QHAD/00 - Philips E-line 244E5QHAD  LED - Xpcpro.com|||||16:9|Y|||W-LED||||||||N||Y||Kensington||||RoHS, BSMI, CE, cETLus, FCC Class B, GOST, SASO, SEMKO, TCO 6.0, TUV/ISO9241-307, WEEE||Black, Cherry|||||||||20000000:1|1000:1||45 mm|213 mm|||||LED|250 cd/m²|"23.8 """|60.5 cm|16.77 M|1920 x 1080 pixels|Y||IPS|||||N|||||||Y|Silver||||||||||Full HD|Y||2||||1|338 mm|N|428 mm||30 - 83 kHz|50/60 Hz|100 - 240 V|||||||Y|||30000 h|||Y||0 - 12192 m||2|||Y|CHI SIMPL, CHI TR, CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR||0 - 3658 m|20 - 80 %|||0 - 40 °C||5340 g|99 mm|478 mm|599 mm||||N||0.2745 x 0.2745 mm||Y||||||0.3 W||0.5 W|18.6 W||||||||||5 ms|10 W||||||||||-20 - 60 °C||1920 x 1080 HD 1080||||||||||N|Y|-5 - 20 °|N|||||56 - 75 Hz||100 x 100 mm|1|||||178 °|178 °||Y|3440 g|3800 g|557 mm|557 mm||Y|
|"G2460PQU - AOC g2460Pqu LED monitor 24"", 1920 x - Xpcpro.com"||||DVI-D, DisplayPort, HDMI mit HDCP, D-Sub 15 pol.||||1.920 x 1.080|||||Wide 15:9/16:9/16:10|170 °|160 °|||||||||||||||||||||||||||||||||||||||||"61 cm 24"""||||||schwenkbar, neigbar, Speaker, höhenverstellbar|||||||||||6,54 kg||||||||||||||350 cd/qm|||||1000 :1||||||||||||||||||||||||||||||||||||||||||||||||||||Energy Star, FCC, GOST, EPEAT Gold, ISO 9241-307, TÜV-GS, CE|||1 ms||||||||digital/analog||||||TCO 5.0||||||||||||||||||||100 x 100 mm|||||||||||||||||
N|224E5QDAB/00 - Philips 224E5QDAB LED monitor  - Xpcpro.com|||||16:9|Y|Y||W-LED||||||||N||Y||Kensington|AC|||||Black|||||||||20000000:1|1000:1||47 mm|213 mm|||||LCD|250 cd/m²|"21.5 """|54.6 cm|16.77 M|1920 x 1080 pixels||Gloss|LCD|||||Y|1|||||Unspecified|Y|Silver||||||||||Full HD|Y||1||||1|306 mm||394 mm||30 - 83 kHz|50/60 Hz|100 - 240 V|||||Operation, Stand-by||Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion, Mac OS X 10.8 Mountain Lion, Mac OS X 10.9 Mavericks|||30000 h|||Y||0 - 12192 m||2|22||Y|CHI SIMPL, CHI TR, CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR||0 - 3658 m||||0 - 40 °C||5010 g|106 mm|466 mm|562 mm|Y|||Y||0.248 x 0.248 mm||Y||||||0.5 W||0.5 W|17.46 W|||||||||20 - 80 %|5 ms|10 W||||Y||||||-20 - 60 °C||1920 x 1080 HD 1080|1080p||||||||Y|N|Y|-5 - 20 °|N|||||56 - 75 Hz||100 x 100 mm|1|||||178 °|178 °||Y|2820 g|3140 g|500 mm|500 mm||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8|
N|"274E5QDAB/00 - Philips 274E5QDAB LED monitor 27"" - Xpcpro.com"|||||16:9|Y|Y||W-LED||||||||N||Y||Kensington|AC|||||Black|||||||||20000000:1|1000:1||46 mm|237 mm|||||LCD|250 cd/m²|"27 """|68.6 cm|16.77 M|1920 x 1080 pixels||Gloss||||||Y|1|||||Unspecified|Y|Silver||||||||||Full HD|Y||1||||1|375 mm||470 mm||30 - 83 kHz|50/60 Hz|100 - 240 V|||||Operation, Stand-by|||||30000 h|||Y||0 - 12192 m||2|22||Y|CHI SIMPL, CHI TR, CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR||0 - 3658 m||||0 - 40 °C||7140 g|106 mm|546 mm|667 mm|Y|||Y||0.311 x 0.311 mm||Y||||||0.5 W||0.5 W|22.15 W|||||||||20 - 80 %|5 ms|12 W||||||||||-20 - 60 °C||1920 x 1080 HD 1080|1080p|||||||||N|Y|-5 - 20 °|N|||||56 - 75 Hz||100 x 100 mm|1|||||178 °|178 °||Y|4880 g|5100 g|622 mm|622 mm|||
N|60003336 - NEC MultiSync EA224WMi,  LED monitor - Xpcpro.com||Y|||16:9||||W-LED||||||||N||Y||Kensington|AC, Audio 3.5mm, DVI, USB, VGA|||TCO 5.2; TÜV; TÜV GS; GEEA; FCC B; PCT/Gost; UL/C-UL; CSA; ISO 9241-307; MPR III||Black||||||||Y|25000:1|1000:1|||218 mm|31.5 - 83 kHz|56 - 75 Hz|||LED|250 cd/m²|"['21.5 ""', '54.61 cm']"||16.77 M|1920 x 1080 pixels|Y||IPS||||1||1||||||Y|Gold||||||Y|||||Y|Y|1||3.5 mm|1|||Y|370 mm|||||||||||Y|Y|1920 x 1080 pixels||||||||2 pcs||1 pcs|Y||Y|||20 - 80 %|5 - 35 °C||||||||||||0.247 x 0.247 mm|Horizontal/Vertical|Y|||||26 W||0.43 W||15 W||Y||||||||14 ms|2 W|||Y|||Y||||||1280 x 960, 1440 x 1050, 1024 x 768 XGA, 1280 x 1024 SXGA, 1280 x 720 HD 720, 1280 x 768 WXGA, 1360 x 768 WXGA, 1366 768, 1440 x 900 WXGA, 1600 x 1200 UXGA, 1680 x 1050 WSXGA, 1920 x 1080 HD 1080, 640 x 480 VGA, 800 x 600 SVGA|||||-170 - 170 °|||||||-5 - 30 °||5||||||100 x 100 mm|1|||||178 °|178 °|Digital|Y||5600 g||507 mm||Y|
