<page title>|adjustable display angle|adjustable display height|adjustable display pivot|antiglare|aspect ratio|assembly required|backlight technology|be comfortable|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|customizable color|depth|depth with stand|diagonal screen size|dimensions|display orientation|displayport|dvi|ecolabel|features|full hd resolution|hd compatible|hdcp supported|hdmi|headphone jack|height|height with stand|horizontal viewable angle|input voltage|integrated speakers|item |manufacturer|manufacturer |maximum resolution|model name|monitor brightness|monitor color|mount type|multitouch screen|native resolution|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|panel technology|pixel pitch|platform supported|postconsumer recycled content|product line|product name|product series|product type|quantity|recycled|response time|screen mode|screen size|screen surface|screen type|signal input type|speakers|standard refresh rate|standby power consumption|stay versatile|superb performance|svideo|tilt angle|total recycled content|touchscreen|touchscreen type|tv tuner|typical response time|ultrawide viewing angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|viewable image size|viewing angle|wall mountable|warranty length|webcam|weight|weight with stand approximate|width|width with stand|work with ease stay entertained for hours
Asus VB198T P 19 LED LCD Monitor 43 5 ms by Office Depot|Yes||||4:3||LED||Asus|250 Nit|Speaker|C-tick; BSMI; CB; CCC; CE; FCC; Gost-R; ISO-9241-307; PSB; TUV-ERGO; TUV-GS; UL/cUL; VCCI; WHQL|Black|16.7 Million Colors|||||||"8.3"""||||||Yes|RoHS; TCO Certified Displays 5.2; ENERGY STAR; ErP; J-Moss (Japanese RoHS); WEEE|Splendid Video Intelligence Technology; Security Lock; Cable Management|||Yes|||"15.9"""|||||623368|ASUS Computer International|QV7786|1280 x 1024|VB198T-P|||Wall Mountable||||1|2|200 mW|27 W|||PC|||VB198T-P LCD Monitor|VB|LCD Monitor|||5 ms|SXGA|"19"""||||Yes|76 Hz|300 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||7.05 lb||"16.3"""||
Lenovo ThinkVision LT2323p 23 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9||LED||Lenovo|250 Nit|USB Hub||Raven Black|16.7 Million Colors||||1,000:1|||"2.1"""|||||Yes|Yes|WEEE; RoHS; China RoHS; REACH; EuP; TCO Certified Edge Displays 1.1; EPEAT Gold; IT Eco Declaration; CECP; MPR II; ENERGY STAR 6.0|||||||"14.7"""|||||479153|Lenovo Group Limited|PF7291|1920 x 1080|LT2323p|||||||1||500 mW|38 W|||PC||ThinkVision|LT2323p Wide 23inch WLED Flat Panel Monitor||LCD Monitor|1||5 ms|Full HD|"23"""||||||500 mW|||||||||||Yes|USB 2.0||160°|Yes|100 x 100|Yes||170°||3-year limited||12.65 lb||"21.5"""||
Viewsonic VX2703mh LED 27 LED LCD Monitor 169 3 ms by Office Depot|Yes||||16:9||LED||Viewsonic|300 Nit|Speaker|CE; CB; BSMI; PSB; SASO; C-tick; e-Standby; KC; UL/cUL; FCC-B (including ICES003); UL CoC; Mexico Energy; Gost-R/Hygienic; UkrSEPRO; CCC; China Energy; SVHC|Black|||||1,200:1|||"2.2"""|"6.90"""|||||Yes|ENERGY STAR; ErP; EPEAT Silver; WEEE; RoHS|Auto-off; ClearMotiv II|||Yes|Yes|Yes|"15.4"""|"17.20"""||110 V AC; 220 V AC||695837|Viewsonic Corporation|3332452|1920 x 1080|VX2703mh-LED|||||||1|||39 W|||PC; Mac|||"27"" Widescreen LED with Full 1080p Resolution Versatile Monitor That Performs"|VX|LCD Monitor|||3 ms|Full HD|"27"""|Anti-glare|||Yes||||||||||||||||160°|||Yes||170°||3-year limited||10.80 lb|11.90 lb|"25.4"""|"25.40"""|
HP Business E221c 215 LED LCD Monitor 169 7 ms by Office Depot|Yes|Yes|Yes||16:9||LED||HP|250 Nit|Webcam; Speaker; Microphone; USB Hub||Black|||||1,000:1|||"0.8"""|"3.68"""||||Yes|Yes|TCO Certified Edge; ENERGY STAR; EPEAT Gold; REACH|Security Lock|||Yes|||"4.8"""|"7.13"""||220 V AC; 110 V AC||779537|Hewlett-Packard|RT4327|1920 x 1080|E221c|||||||1|||42 W|In-plane Switching (IPS) Technology||PC||Business|EliteDisplay E221c 21.5-inch Webcam LED Backlit Monitor (ENERGY STAR)|Advantage|LCD Monitor|||7 ms|Full HD|"21.5"""|Anti-glare|||Yes||400 mW|||||||||||Yes|USB 2.0||178°|||Yes||178°||3-year limited|No||11.90 lb|"7.9"""|"7.89"""|
Samsung S22C450D 215 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9|No|LED||Samsung|250 Nit|||Black|||||1,000:1|Mexico|||||||Yes|Yes|ENERGY STAR; TCO Certified Displays|Eco Saving; MagicAngle; MagicBright 3; Off Timer|||||||||||894854|Samsung|QV9020|1920 x 1080|S22C450D|||Wall Mountable||||1|||||||0%||S22C450D Widescreen LCD Monitor||LCD Monitor|1|No|5 ms|Full HD|"21.5"""|||||||||||0%|||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||||||
Planar PLL2210MW 22 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Planar|250 Nit|Speaker|cTUVus; CE; FCC-B|White|16.7 Million Colors||||1,000:1|||"1.9"""|"7"""|||||Yes|RoHS||||Yes||Yes|"12.6"""|"15.35"""||110 V AC; 220 V AC||589999|Planar Systems, Inc|KF3867|1920 x 1080|PLL2210MW|||||||1|||25 W|||PC; Mac|||PLL2210MW Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"22"""|Anti-glare|||Yes|75 Hz|500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||7 lb||"19.9"""|"19.94"""|
HP Pavilion 27xi 27 LED LCD Monitor 169 7 ms by Office Depot|||||16:9||LED||HP|250 Nit||||||||10,000,000:1|||"6.7"""||||||Yes||Security Lock|||Yes|Yes||"15.9"""|||||414964|Hewlett-Packard|3440917|1920 x 1080|27xi|||||||1|||35 W|In-plane Switching (IPS) Technology||||Pavilion|Pavilion 27xi IPS LED Backlit Monitor||LCD Monitor|||7 ms|Full HD|"27"""|||||60 Hz|500 mW||||||||||||||178°|||Yes||178°||||11.60 lb||"20.9"""||
Viewsonic VG2439m TAA 24 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9||LED||Viewsonic|300 Nit|USB Hub; Speaker|TAA; UL/cUL; FCC-B; NOM; CE; CB|Black|||||1,000:1|Mexico||"2.3"""|"9.40"""|||Portrait|Yes|Yes|TCO; ENERGY STAR; EPEAT Gold; WEEE; RoHS|Eco Mode; Auto-off|||Yes||Yes|"13.1"""|"17.10"""||110 V AC; 220 V AC||794063|Viewsonic Corporation|3318245|1920 x 1080|VG2439m-TAA|||Wall Mountable||||1|2||24 W|||PC; Mac|||"24"" (23.6"" Viewable) Ergonomic LED Monitor Wide Screen with DisplayPort Input"|VG39m-TAA|LCD Monitor|||5 ms|Full HD|"24"""|Anti-glare|||Yes|60 Hz||||||||||||Yes|||160°|Yes|100 x 100|Yes||170°||3-year limited||8.16 lb|11.46 lb|"22.1"""|"22.10"""|
Acer V196WL 19 LED LCD Monitor 1610 5 ms by Office Depot|Yes|No|No||16:10||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"7.5"""|||||||TCO '06; EPEAT Gold|||||||"14.9"""|||110 V AC; 220 V AC||383185|Acer, Inc|RA7828|1440 x 900|V196WL|||||||1||350 mW|13 W|Twisted Nematic Film (TN Film)|||||V196WL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|WXGA+|"19"""|Anti-glare|||Yes|60 Hz|450 mW||||||||||||||160°|||Yes||170°||||5.95 lb|6.83 lb|"17.3"""||
Lenovo ThinkVision LT2452p 24 LED LCD Monitor 1610 7 ms by Office Depot|Yes|Yes|Yes||16:10||LED||Lenovo|300 Nit||Safety:; cTUVus; IEC60950 CB Report; NEMKO; KVALITET; CE; NOM; SASO; GOST; PSB BSMI; JEITA; TUV-S; SABS; KC EMI:; FCC B; VCCI; KC; BSMI; CCC; KVALITET Ergonomic:; TUV-GS; ISO 9241-307; e-Standby|Business Black|16.7 Million Colors||||1,000:1|||"15.5"""|||||Yes|Yes|ENERGY STAR 5.1; TCO Certified Edge Displays 1.1; EPEAT Gold; ULE Gold; EuP; REACH; China RoHS; Turkey RoHS; EU RoHS; EU WEEE; TCO Certified Displays 6.0; Eco Mark (Japan); MPR II; CECP; China Energy Label (CEL)|Security Lock; Cable Management||||||"10.1"""|||110 V AC; 220 V AC||692479|Lenovo Group Limited|RG1961|1920 x 1200|LT2452p|||||||1||500 mW|40 W|||PC||ThinkVision|ThinkVision LT2452p 24-inch Wide LCD Monitor||LCD Monitor||Yes|7 ms|WUXGA|"24"""|||||60 Hz|500 mW|||||85% Plastic|||||||||178°|Yes|100 x 100|Yes||178°||3-year limited||14.70 lb||"22"""||
Dell UltraSharp U2913WM 2875 Ultra Wide LED Monitor Black by Office Depot||||yes|21.3:9||||Dell|||||||||1000:1 (static, typical); 2 million:1 (dynamic)|||||28.75 inches|"14.12""-19.17""H x 27.55""W x 7.65""D"||||EPEAT Gold|||yes||||||178 degrees||no|898013|Dell, Inc.|0CX7K|2560 x 1080|UltraSharp U2913WM|300 cd/m2|Black|||2560 x 1080|||||||0.265 mm||25%|||||||||||in-plane switching (IPS)|DVI-D (digital) with HDCP; HDMI; VGA 15-pin D-sub; DisplayPort; mini-DisplayPort; USB upstream; USB downstream||||||||25%|||No|8 ms (gray-to-gray)|||||||||28.75 inches||yes|3-yr limited||||||
Samsung S22C350H 215 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Samsung||||Black|||||1,000:1|||||||||||||||Yes|||||||894827|Samsung|RL7430|1920 x 1080|S22C350H|||||||1|||||||||S22C350H Widescreen LCD Monitor|350|LCD Monitor|||5 ms|Full HD|"21.5"""|||||||||||||||||||||||||||1-year limited||||||
Asus VS198D P 19 LED LCD Monitor 1610 5 ms by Office Depot|Yes|Yes|||16:10||LED||Asus|250 Nit||UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; EK; J-MOSS; WHQL|Black|16.7 Million Colors||||50,000,000:1|||"7.3"""|||||No|No|EPEAT Gold; ENERGY STAR; WEEE; RoHS||||No|No||"14.5"""|||||844762|ASUS Computer International|LA9579|1440 x 900|VS198D-P|||Wall Mountable||||1||500 mW|25 W|||PC|||VS198D-P Widescreen LCD Monitor|VS|LCD Monitor|||5 ms|WXGA+|"19"""||||No|75 Hz|500 mW||||||||||||||160°|Yes|75 x 75|Yes||170°||||5.95 lb||"17.6"""||
NEC Display AccuSync AS192WM 19 LED LCD Monitor 1610 5 ms by Office Depot|Yes||||16:10||LED||NEC Display|250 Nit|Speaker|ISO 9241-307 Class I||16.7 Million Colors||||1,000:1|||"2.5"""|"8.30"""|||||Yes|TCO Certified Displays 6.0; ENERGY STAR 6.0; EPEAT Silver; RoHS|Carbon Footprint Meter; AccuColor; Intelligent Power Manager (IPM) System|||Yes|||"11.8"""|"13.70"""||||516583|NEC Display Solutions|QP7591|1440 x 900|AS192WM|||||||1|||14 W|||||AccuSync|"19"" Value LED-Backlit Desktop Monitor w/ Built-In Speakers"||LCD Monitor|||5 ms|WXGA+|"19"""||||Yes|75 Hz|400 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||7.30 lb|7.90 lb|"17.3"""|"17.30"""|
HP Advantage E231 23 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9||LED||HP|250 Nit|USB Hub|CE; CB; KC; KCC; NOM; PSB; ICE; TUV-S; CCC; CECP; SEPA; ISC; VCCI; FCC; HSMI|Black|16.7 Million Colors||||1,000:1|China||"2"""|"9.54"""|||Portrait|Yes|Yes|ENERGY STAR; TCO Certified Edge; EPA; EPEAT Gold|Security Lock|||Yes|||"13"""|"18.50"""||110 V AC; 220 V AC||479117|Hewlett-Packard|11083052|1920 x 1080|E231|||||||1||500 mW|36 W|||||Advantage|Promo EliteDisplay E231 23-Inch LED Backlit Monitor||LCD Monitor|||5 ms|Full HD|"23"""|Anti-glare|||No|60 Hz|500 mW|||||||||||Yes|USB 2.0||160°|Yes|100 x 100|Yes||170°||3-year limited||8.60 lb||"21.4"""|"21.42"""|
HP Business Z23i 23 LED LCD Monitor 169 8 ms by Office Depot|Yes||||16:9||LED||HP|250 Nit|USB Hub|||||||1,000:1|||"2"""|"9.50"""||||Yes|Yes|ENERGY STAR; EPEAT Gold; TCO Certified Edge; REACH|Security Lock|||Yes|||"12.9"""|"18.50"""||110 V AC; 220 V AC||720614|Hewlett-Packard|RY4454|1920 x 1080|Z23i|||||||1|||36 W|In-plane Switching (IPS) Technology||PC||Business|Z Display Z23i 23-inch IPS LED Backlit Monitor (Energy Star)|Performance|LCD Monitor|||8 ms|Full HD|"23"""|Anti-glare|||||500 mW|||||||||||Yes|USB 2.0||178°|||Yes||178°||3-year limited|||14.10 lb|"21.4"""|"21.40"""|
Samsung SyncMaster S19B420BW 19 LED LCD Monitor 1610 5 ms by Office Depot|||||16:10||LED||Samsung||||Matte Black|16.7 Million Colors||||1,000:1|||"2.4"""|"7.48"""|19 inches||||Yes|TÜV; ENERGY STAR 5.0; TCO Displays 5.0; EPEAT Gold|||||||"11.4"""|"16.43"""||||771046|Samsung|PD5977|1440 x 900|S19B420BW|250 Nit||||||1|||20 W|||||SyncMaster|"19"" Business Monitor Series 4 (S19B420)"|420|LCD Monitor|||5 ms|WXGA+||||||||||||||||||||||Yes||Yes||||3-year limited||6.05 lb|8.58 lb|"17.3"""|"17.28"""|
Acer S231HL 23 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1||||"6.18"""|||||Yes|MPR II|||||Yes|||"15.39"""||110 V AC; 220 V AC||480304|Acer, Inc|RT7457|1920 x 1080|S231HL|||||||1||450 mW|28.20 W|Twisted Nematic Film (TN Film)|||||S231HL Widescreen LCD Monitor|S|LCD Monitor|||5 ms|Full HD|"23"""|Anti-glare|||No|60 Hz|490 mW||||||||||||||160°|||Yes||170°||||6.17 lb|7.50 lb||"21.34"""|
Compaq Advantage LA1956x 19 LED LCD Monitor 54 5 ms by Office Depot|Yes||||5:4||LED||Compaq|250 Nit|USB Hub||Black|||||1,000:1|||"1.9"""|"7.56"""||||Yes|Yes|ENERGY STAR 6.0; EPEAT Gold; TCO Certified Displays; CECP|Security Lock|||Yes|||"13.7"""|"19.13"""||110 V AC; 220 V AC||479108|Hewlett-Packard|PV1437|1280 x 1024|LA1956x|||||||1|||35 W|||PC||Advantage|"LA1956x 48,3 cm (19"") LED Backlit LCD Monitor (A9S75AA)"||LCD Monitor|||5 ms|SXGA|"19"""|Anti-static; Anti-glare|||||500 mW|||||||||||Yes|USB 2.0||160°|Yes||Yes||170°|||||9.92 lb|"16.4"""|"16.42"""|
Viewsonic VA2451m LED 24 LED LCD Monitor 169 5 ms by Office Depot|||||16:9||LED||Viewsonic|||CE; CB; UL/c UL; FCC-B; ULAR; Gost-R/Hygienic; UkrSEPRO + DoC; CCC; CEL Level 1; BSMI; PSB; C-Tick; SASO; e-Standby; KC||||||1,000:1|||"7.8"""||24 inches||||Yes|WEEE; RoHS; ENERGY STAR; EPEAT Silver; ErP; REACH|Security Lock||||||"16.4"""|||110 V AC; 220 V AC||695774|Viewsonic Corporation|PF9817|1920 x 1080|VA2451m-LED|250 Nit||Wall Mountable||||1|2||32 W|||PC; Mac|||"24"" Full HD 1080p LED Monitor"||LCD Monitor|||5 ms|Full HD||Anti-glare|||Yes|75 Hz|||||||||||||||160°|Yes|100 x 100|Yes||170°||||8.82 lb||"22"""||
Viewsonic VG2428wm LED 24 LED LCD Monitor 5 ms by Office Depot||Yes|||||LED||Viewsonic|||||||||1,000:1|||||||||Yes|||||||||||||794054|Viewsonic Corporation|QU4696|1920 x 1080|VG2428wm-LED|||||||1|||||||||VG2428wm-LED Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"24"""|||||||||||||||||||||||Yes||||||||||
Acer FT220HQL 215 LED LCD Touchscreen Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1||||||||||MPR II|Mobile High-Definition Link (MHL)||||Yes|||||220 V AC; 110 V AC||539027|Acer, Inc|TX3739|1920 x 1080|FT220HQL||||Yes|||||||Twisted nematic (TN)|||||FT220HQL Widescreen LCD Touchscreen Monitor|F|LCD Touchscreen Monitor|||5 ms|Full HD|"21.5"""|Anti-glare|||Yes|60 Hz|||||10°to90°||Yes||||||||160°|||Yes||170°||||||||
Mace EasyWatch EWO 17LCD RJ11 17 LCD Monitor by Office Depot|||||||||Mace|300 Nit|Speaker|||||||800:1|||"2"""||||||||||||||"14.4"""|||||150943|Mace Security International, Inc|DQ2432|1280 x 1024|EWO-17LCD-RJ11|||||||1|||35 W|||||EasyWatch|EasyWatch EWO-17LCD-RJ11 CCTV LCD Monitor|RJ11|LCD Monitor||||SXGA|"17"""||||Yes||||||||||||||||150°|Yes||Yes||150°||2-year limited||8.27 lb||"15"""||
Viewsonic VA2246m LED 22 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Viewsonic|250 Nit|Speaker|CE; CB; SVHC list; UL; cUL; FCC-B / ICES-003B; TUV-S; Nemko ERGO; GOSTR+ Hygienic; UkrSepro; CCC; BSMI; PSB; C-Tick; KC; e-Standby||||||1,000:1|||"1.9"""|"1.90"""|||||Yes|ENERGY STAR 5.0; RoHS; REACH; TCO Displays 5.0; ErP; China Energy Label (CEL); WEEE||||Yes||No|"12.5"""|"14.40"""||110 V AC; 220 V AC||210134|Viewsonic Corporation|3570795|1920 x 1080|VA2246m-LED|||Wall Mountable||||1|||34 W|||Mac; PC|||VA2246m-LED Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"22"""|Anti-glare|||Yes|75 Hz||||||||||||No|||160°|Yes|100 x 100|Yes||170°||3-year limited||6.90 lb|7.70 lb|"20.1"""|"20.10"""|
Acer V176L 17 LED LCD Monitor 54 5 ms by Office Depot|Yes|No|No||5:4||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"2.2"""|"7.52"""||||||EPEAT Gold; TCO Certified Displays 6.0|||||||"12.2"""|"15.53"""||110 V AC; 220 V AC||666469|Acer, Inc|RX0028|1280 x 1024|V176L|||||||1||350 mW|13 W|Twisted Nematic Film (TN Film)|||||V176L LCD Monitor|V|LCD Monitor|||5 ms|SXGA|"17"""|Anti-glare|||Yes|75 Hz|450 mW||||||||||||||160°|||Yes||170°||||4.85 lb|5.73 lb|"14.5"""|"14.53"""|
Asus VS238H P 23 LED LCD Monitor 169 2 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit||UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; EK; J-MOSS; WHQL|Black|16.7 Million Colors||||50,000,000:1|||"7.9"""|||||||ENERGY STAR; WEEE; RoHS||||Yes|Yes||"15.8"""|||||866578|ASUS Computer International|KW3627|1920 x 1080|VS238H-P|||Wall Mountable||||1||500 mW|27 W|||PC|||VS238H-P Widescreen LCD Monitor|VS|LCD Monitor|||2 ms|Full HD|"23"""|||||75 Hz|500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||7.50 lb||"21.7"""||
Samsung S27C230B 27 Widescreen LED Monitor Black by Office Depot||||no|16:9||||Samsung|||||||||1000:1|||||27 inches|"25.38""H x 19.10""W x 8.76""D"|||||||no||||||170 degrees||no|361739|Samsung|S27C230B|1920 x 1080|S27C230B|300 cd/m2|black|||1920 x 1080|||||||0.311 mm||0%|||||||||||TFT active matrix LCDED|VGA 15-pin D-sub||||||||0%|||No|5 ms (gray-to-gray)|||||||||27 inches||no|1-yr limited||||||
Viewsonic VSD221 All in One Computer Texas Instruments OMAP 4 OMAP4470 150 GHz Desktop by Office Depot|||||16:9||LED||Viewsonic|||CE; CB; C-Tick; UL/cUL; FCC-B (including ICES003); FCC-C; IC RSS-210; China CCC; SRRC; GOST-R; FAC; SVHC; Argentina CNC; Google GMS|||||||||"2.2"""|||||||WEEE; REACH; RoHS; ErP|||||Yes||"13.9"""|||110 V AC; 220 V AC||318277|Viewsonic Corporation|TK9189||VSD221||||Yes||Yes||||||||||"22"" (21.5"" viewable) 1080p Smart Display"||All-in-One Computer||||Full HD|"22"""||||||||||||Yes|||||||||||||||3-year limited|Yes|10.60 lb||"20.2"""||
Acer H226HQL 215 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"6.8"""||||||Yes|MPR II; ENERGY STAR||||Yes|Yes||"15.2"""|||110 V AC; 220 V AC||484300|Acer, Inc|QW3851|1920 x 1080|H226HQL|||||||1||400 mW|26 W|In-plane Switching (IPS) Technology|||||H226HQL Widescreen LCD Monitor|H|LCD Monitor|||5 ms|Full HD|"21.5"""|||||60 Hz|450 mW||||||||||||||178°|||Yes||178°||||5.64 lb|7.21 lb|"19.6"""||
