<page title>|aspect ratio|brightness|builtin speakers|component|contrast ratio|display colors|displayport|dvi|dvid duallink|hdmi|ips|led|manufacturer|minidisplay port|model|part|recommended resolution|refresh rate|response time|screen size|svideo|vga|viewing angle|widescreen
"ViewSonic VP2365-LED 23.0"" Monitor (VP2365-LED) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 20,000,000:1 (1,000:1)|||1|||Yes|Yes|ViewSonic|||VP2365-LED|1920 x 1080||6 ms|"23"""||1|178° H x 178° V|Yes
"Dell U2413 60Hz 24.0"" Monitor (469-4030) - PCPartPicker Canada"|16:10|350 cd/m²|Yes||2,000,000:1 (1000:1)|1070000000|1|1||1|Yes|Yes|Dell||U2413|"469-4030
(or) U2413"|1920 x 1200|60Hz|6 ms|"24"""|||178° H x 178° V|Yes
"HP LP2480zx 24.0"" Monitor (GV546A4#ABA) - PCPartPicker Canada"|16:10|250 cd/m²|No|1|1000:1||1|2||1|Yes|Yes|HP||LP2480zx|GV546A4#ABA|1920 x 1200||12 ms|"24"""|1||178° H x 178° V|Yes
"HP LV1911 60Hz 18.5"" Monitor (A5V72A8#ABA) - PCPartPicker Canada"|16:9|200 cd/m²|No||600:1 (static) / 3000000:1 (dynamic)|16700000|||||No|Yes|HP||LV1911|A5V72A8#ABA|1366 x 768|60Hz|5 ms|"18.5"""||1|90° H x 50° V|Yes
"ViewSonic VA2451M-LED 24.0"" Monitor (VA2451M-LED) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||DC 10,000,000:1|||1|||No|Yes|ViewSonic|||VA2451M-LED|1920 x 1080||5 ms|"24"""||1|170° H x 160° V|Yes
"Acer V246HLbd 60Hz 24.0"" Monitor (UM.FV6AA.003) - PCPartPicker Canada"|16:9|250 cd/m²|No||ACM 100,000,000:1 (1000:1)|16700000||1|||No|Yes|Acer||V246HLbd|UM.FV6AA.003|1920 x 1080|60Hz|5 ms|"24"""||1||Yes
"HP E4U30A8#ABA 60Hz 18.9"" Monitor (E4U30A8#ABA) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||3,000,000:1|16700000|1|1|||Yes|Yes|HP|||E4U30A8#ABA|1280 x 1024|60Hz||"18.9"""||1||No
"ViewSonic VA2406m-LED 24.0"" Monitor (VA2406m-LED) - PCPartPicker Canada"|16:9|270 cd/m²|Yes||DC 10,000,000:1|||1|||No|Yes|ViewSonic|||VA2406m-LED|1920 x 1080||5 ms|"24"""||1|170° H x 160° V|Yes
"BenQ GL2460HM 60Hz 24.0"" Monitor (GL2460HM) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1||||1|1|No|Yes|BenQ|||GL2460HM|1920 x 1080|60Hz|2 ms|"24"""||1|170° H x 160° V|Yes
"Samsung S24C300HL 23.6"" Monitor (S24C300HL) - PCPartPicker Canada"|16:9|250 cd/m²|No||Mega Infinite DCR (1000:1)|16700000||||1|No|Yes|Samsung|||S24C300HL|1920 x 1080||5 ms|"23.6"""||1|170° H x 160° V|Yes
"Acer S235HLbii 60Hz 23.0"" Monitor (ET.VS5HP.001) - PCPartPicker Canada"|16:9|250 cd/m²|No||ACM 100,000,000:1 (1000:1)|16700000||||2|No|Yes|Acer||S235HLbii|ET.VS5HP.001|1920 x 1080|60Hz|5 ms|"23"""||1|170° H x 160° V|Yes
"BenQ XL2420Z 144Hz 24.0"" Monitor (XL2420Z) - PCPartPicker Canada"|16:9|350 cd/m²|No||||1|1||2|No|Yes|BenQ|||XL2420Z|1920 x 1080|144Hz|1 ms|"24"""||1|170° H x 160° V|Yes
"Samsung U28D590D 60Hz 28.0"" Monitor (U28D590D) - PCPartPicker Canada"|16:9|300 cd/m²|No||1000:1|1070000000|1|||2|No|Yes|Samsung|||U28D590D|3840 x 2160|60Hz|1 ms|"28"""|||170° H x 160° V|Yes
"Philips 271S4LPYEB 60Hz 27.0"" Monitor (271S4LPYEB) - PCPartPicker Canada"|16:9|300 cd/m²|No||20,000,000:1|16700000|1|1|||No|Yes|Philips|||271S4LPYEB|1920 x 1080|60Hz|5 ms|"27"""||1|170° H x 160° V|Yes
"LG 24M45VQ 60Hz 23.6"" Monitor (24M45VQ) - PCPartPicker Canada"|16:9|250 cd/m²|No||1,000:1|||||1|No|Yes|LG|||24M45VQ|1920 x 1080|60Hz|2 ms|"23.6"""||1|170° H x 160° V|Yes
"Samsung S22C650D 21.5"" Monitor (S22C650D) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000|||||Yes|Yes|Samsung|||S22C650D|1920 x 1080||5 ms|"21.5"""||1||Yes
"Asus VK228H-CSM 21.5"" Monitor (VK228H-CSM) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||ASCR 80,000,000:1|16700000||1||1|No|Yes|Asus|||VK228H-CSM|1920 x 1080||5 ms|"21.5"""||1|170° H x 160° V|Yes
"Asus VX229H 60Hz 21.5"" Monitor (VX229H) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||80,000,000:1|16700000||||2|No|Yes|Asus|||VX229H|1920 x 1080|60Hz|5 ms|"21.5"""||1|178° H x 178° V|Yes
"Dell P1914S 60Hz 19.0"" Monitor (461-5855) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|16700000|1|1||1|Yes|Yes|Dell||P1914S|461-5855|1280 x 1024|60Hz|8 ms|"19"""||1|178° H x 178° V|No
"Acer UM.CB6AA.001 75Hz 19.0"" Monitor (UM.CB6AA.001) - PCPartPicker Canada"|5:4|250 cd/m²|No||100,000,000:1|16700000|||||No|Yes|Acer|||UM.CB6AA.001|1280 x 1024|75Hz|5 ms|"19"""||1||No
"Samsung S22C200NY 21.5"" Monitor (S22C200NY) - PCPartPicker Canada"|16:9|200 cd/m²|No||1000:1|16700000|||||No|Yes|Samsung|||S22C200NY|1920 x 1080||5 ms|"21.5"""||1|90° H x 65° V|Yes
"Dell S2340M 60Hz 23.0"" Monitor (S2340M) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1|||Yes|Yes|Dell|||S2340M|1920 x 1080|60Hz|7 ms|"23"""||1|178° H x 178° V|Yes
"LG 24MP55HQ-P 60Hz 23.8"" Monitor (24MP55HQ-P) - PCPartPicker Canada"|16:9|250 cd/m²|No||DCR 5,000,000:1 (1000:1)|16700000||||1|Yes|Yes|LG|||24MP55HQ-P|1920 x 1080|60Hz|5 ms|"23.8"""||1|178° H x 178° V|Yes
"LG E1910P-BN 60Hz 19.0"" Monitor (E1910P-BN) - PCPartPicker Canada"|5:4|250 cd/m²|No||5,000,000:1 (Dynamic)|16700000||1|||No|Yes|LG|||E1910P-BN|1280 x 1024|60Hz|5 ms|"19"""||1|170° H x 160° V|No
"AOC i2369V 60Hz 23.0"" Monitor (i2369V) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1 Typical|16700000||1|||Yes|Yes|AOC|||i2369V|1920 x 1080|60Hz|6 ms|"23"""||1|178° H x 178° V|Yes
"NEC E232WMT-BK 60Hz 23.0"" Monitor (E232WMT-BK) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 15,000:1 (1000:1)|16700000||1||1|Yes|Yes|NEC|||E232WMT-BK|1920 x 1080|60Hz|5 ms|"23"""||1|170° H x 170° V|Yes
"Asus VE198T 19.0"" Monitor (VE198T) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||ASCR 10,000,000:1|16700000||1|||No|Yes|Asus|||VE198T|1440 x 900||5 ms|"19"""||1|170° H x 160° V|Yes
"Samsung S22C150N 21.5"" Monitor (S22C150NS/ZA) - PCPartPicker Canada"|16:9|200 cd/m²|No||Mega Infinite DCR (700:1)|16700000|||||No|Yes|Samsung||S22C150N|S22C150NS/ZA|1920 x 1080||5 ms|"21.5"""||1|90° H x 65° V|Yes
"ViewSonic VX2252MH 60Hz 21.5"" Monitor (VX2252MH) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 50,000,000:1 (1,000:1)|||1||1|No|Yes|ViewSonic|||VX2252MH|1920 x 1080|60Hz|2 ms|"21.5"""||1|178° H x 178° V|Yes
"Planar PCT2485 60Hz 24.0"" Monitor (997-7052-00) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000|1|||1|No|No|Planar||PCT2485|997-7052-00|1920 x 1080|60Hz|14 ms|"24"""||1|178° H x 178° V|Yes
"NEC EA193MI-BK 75Hz 19.0"" Monitor (EA193MI-BK) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||1000:1|16700000|||||Yes|Yes|NEC|||EA193MI-BK|1280 x 1024|75Hz|6 ms|"19"""||1||No
"Acer UM.VV6AA.C01 60Hz 23.0"" Monitor (UM.VV6AA.C01) - PCPartPicker Canada"|16:9|250 cd/m²|No||100,000,000:1|16700000|||||No|Yes|Acer|||UM.VV6AA.C01|1920 x 1080|60Hz|5 ms|"23"""||1||Yes
"HP D7P92A4#ABA 76Hz 27.0"" Monitor (D7P92A4#ABA) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||5,000,000:1|||1||1|Yes|Yes|HP|||D7P92A4#ABA|2560 x 1440|76Hz|8 ms|"27"""||1|178° H x 178° V|Yes
"BenQ RL2455HM 60Hz 24.0"" Monitor (RL2455HM) - PCPartPicker Canada"|16:9|250 cd/m²|No||12,000,000:1 (1,000:1)|16700000||1||2|No|Yes|BenQ|||RL2455HM|1920 x 1080|60Hz|1 ms|"24"""||1|170° H x 160° V|Yes
"NEC PA302W-BK 60Hz 30.0"" Monitor (PA302W-BK) - PCPartPicker Canada"|16:10|340 cd/m²|No||1000:1||2|1||1|Yes|Yes|NEC|||PA302W-BK|2560 x 1600|60Hz|6 ms|"30"""|||178° H x 178° V|Yes
"Samsung S22B420BW 22.0"" Monitor (S22B420BW) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||Static Contrast Ratio: 1000:1<br/>Dynamic Contrast Ratio: Mega (5,000,000:1)|||1|||No|No|Samsung|||S22B420BW|1680 x 1050||5 ms|"22"""||1|170° H x 160° V|Yes
"Acer B286HK ymjdpprz 60Hz 28.0"" Monitor (UM.PB6AA.003) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||ACM 100,000,000:1 (1000:1)|16700000|1|1||1|No|Yes|Acer||B286HK ymjdpprz|UM.PB6AA.003|3840 x 2160|60Hz|2 ms|"28"""|||170° H x 160° V|Yes
"Planar 997-7687-00 60Hz 20.0"" Monitor (997-7687-00) - PCPartPicker Canada"|16:9|250 cd/m²|No||1,000:1|16700000||1|||No|Yes|Planar|||997-7687-00|1920 x 1080|60Hz|5 ms|"20"""||1|170° H x 160° V|Yes
"Dell S2340T 60Hz 23.0"" Monitor (S2340T) - PCPartPicker Canada"|16:9|270 cd/m²|No||8,000,000 : 1 (1,000:1)|16700000|1|||1|Yes|Yes|Dell|||S2340T|1920 x 1080|60Hz|8 ms|"23"""|||178° H x 178° V|Yes
"DoubleSight DS-279W 60Hz 27.0"" Monitor (DS-279W) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||1000:1|1070000000|1|1||1|Yes|Yes|DoubleSight|||DS-279W|2560 x 1440|60Hz|6 ms|"27"""||1|178° H x 178° V|Yes
"ViewSonic VG1932wm-LED 19.0"" Monitor (VG1932wm-LED) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||DC 10,000,000:1(1000:1)|||1|||No|Yes|ViewSonic|||VG1932wm-LED|1440 x 900||5 ms|"19"""||1|170° H x 160° V|Yes
"LG 27MP65HQ 60Hz 27.0"" Monitor (27MP65HQ) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|||||1|Yes|Yes|LG|||27MP65HQ|1920 x 1080|60Hz|5 ms|"27"""||1|178° H x 178° V|Yes
"Lenovo LT1953 60Hz 19.0"" Monitor (1453HB1) - PCPartPicker Canada"|16:10|250 cd/m²|No||DC 10,000,000:1 (1000:1)|16700000||1|||No|Yes|Lenovo||LT1953|1453HB1|1440 x 900|60Hz|5 ms|"19"""||1|170° H x 160° V|Yes
"ViewSonic VX2263SMHL-W 76Hz 21.5"" Monitor (VX2263SMHL-W) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 50,000,000:1 (1000:1)|||||1|No|Yes|ViewSonic|||VX2263SMHL-W|1920 x 1080|76Hz|14 ms|"21.5"""||1|178° H x 178° V|Yes
"AOC i2267Fw 60Hz 22.0"" Monitor (i2267Fw) - PCPartPicker Canada"|16:9|250 cd/m²|No||50,000,000:1|16700000||1|||Yes|Yes|AOC|||i2267Fw|1920 x 1080|60Hz|5 ms|"22"""||1|178° H x 178° V|Yes
"NEC MD211G3 21.3"" Monitor (MD211G3) - PCPartPicker Canada"|4:3|1450 cd/m²|No||900:1||1|1|||No|No|NEC|||MD211G3|2048 x 1536||13 ms|"21.3"""|||176° H x 176° V|No
"LG 22M34D-B 60Hz 22.0"" Monitor (22M34D-B) - PCPartPicker Canada"|16:9|200 cd/m²|No||1000:1|||1|||No|Yes|LG|||22M34D-B|1920 x 1080|60Hz|5 ms|"22"""||1|90° H x 65° V|Yes
"Toshiba P1710A 75Hz 17.0"" Monitor (P1710A) - PCPartPicker Canada"|5:4|380 cd/m²|Yes||1000:1|16700000||1|||No|No|Toshiba|||P1710A|1280 x 1024|75Hz|5 ms|"17"""||1|170° H x 170° V|No
"BenQ GW2250 21.5"" Monitor (GW2250) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 20,000,000:1 (5000:1)|16700000||1|||No|Yes|BenQ|||GW2250|1920 x 1080||4 ms|"21.5"""||1|178° H x 178° V|Yes
"Hannspree HL272HPB 27.0"" Monitor (HL272HPB) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||Active Contrast 30,000,000:1 (1000:1)|16700000||1||1|No|Yes|Hannspree|||HL272HPB|1920 x 1080||2 ms|"27"""||1|170° H x 160° V|Yes
"LG 34UM94-P 60Hz 34.0"" Monitor (34UM94-P) - PCPartPicker Canada"|21:9|320 cd/m²|Yes||DCR Mega (1000:1)||1|||2|Yes|Yes|LG|||34UM94-P|3440 x 1440|60Hz|5 ms|"34"""|||178° H x 178° V|Yes
"Samsung S24A650S 60Hz 24.0"" Monitor (S24A650S) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||3000:1|16700000|1|1|||No|Yes|Samsung|||S24A650S|1920 x 1080|60Hz|8 ms|"24"""|1|1||Yes
"LG IPS237L-BN 23.0"" Monitor (IPS237L-BN) - PCPartPicker Canada"|16:9|250 cd/m²|No||5,000,000:1|||||2|Yes|Yes|LG|||IPS237L-BN|1920 x 1080||5 ms|"23"""||1|178° H x 178° V|Yes
"LG 23MP55HQ-P 60Hz 23.0"" Monitor (23MP55HQ-P) - PCPartPicker Canada"|16:9|250 cd/m²|No||DFC 5,000,000:1 (1000:1)|||||1|Yes|Yes|LG|||23MP55HQ-P|1920 x 1080|60Hz|5 ms|"23"""||1|178° H x 178° V|Yes
"Asus VX228H 60Hz 21.5"" Monitor (VX228H) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||80,000,000:1 (ASCR)|16700000||||2|No|Yes|Asus|||VX228H|1920 x 1080|60Hz|1 ms|"21.5"""||1|170° H x 160° V|Yes
"ViewSonic VX2453mh-LED 24.0"" Monitor (VX2453mh-LED) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 30,000,000:1 (1,000:1)|||||1|No|Yes|ViewSonic|||VX2453mh-LED|1920 x 1080||2 ms|"24"""||1|170° H x 160° V|Yes
"Acer V176Lbd 75Hz 17.0"" Monitor (UM.BV6AA.001) - PCPartPicker Canada"|5:4|250 cd/m²|No||100,000,000:1 (1000:1)|16700000||1|||No|Yes|Acer||V176Lbd|UM.BV6AA.001|1280 x 1024|75Hz|5 ms|"17"""||1|170° H x 160° V|No
"BenQ PG2401PT 60Hz 24.1"" Monitor (PG2401PT) - PCPartPicker Canada"|16:10|350 cd/m²|Yes||DC 12,000,000:1 (1000:1)|1070000000|1|1||1|Yes|Yes|BenQ|||PG2401PT|1920 x 1200|60Hz|5 ms|"24.1"""||1|178° H x 178° V|Yes
"BenQ GW2750HM 27.0"" Monitor (GW2750HM) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||DC 20,000,000:1 (5000:1)|16700000||1||1|No|Yes|BenQ|||GW2750HM|1920 x 1080||4 ms|"27"""||1|178° H x 178° V|Yes
"Planar 997-7318-00 75Hz 15.0"" Monitor (997-7318-00) - PCPartPicker Canada"|4:3|250 cd/m²|Yes||500:1|16700000|||||No|No|Planar|||997-7318-00|1024 x 768|75Hz|8 ms|"15"""||1||No
"Samsung S24C750P 24.0"" Monitor (S24C750P) - PCPartPicker Canada"|16:9|250 cd/m²|No||Mega Infinite DCR (3000:1)|16700000||||2|No|Yes|Samsung|||S24C750P|1920 x 1080||5 ms|"24"""||1|178° H x 178° V|Yes
"Lenovo LT2223p 21.5"" Monitor (60A2MAR2US) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||2000000:1 (1000:1)|16700000|1|3||1|No|Yes|Lenovo||LT2223p|60A2MAR2US|1920 x 1080||5 ms|"21.5"""||1||Yes
"AOC E2260SWDN-TAA 60Hz 22.0"" Monitor (E2260SWDN-TAA) - PCPartPicker Canada"|16:9|200 cd/m²|No||20,000,000:1|16700000||1|||No|Yes|AOC|||E2260SWDN-TAA|1920 x 1080|60Hz|5 ms|"22"""||1||Yes
"NEC AS192WM-BK 19.0"" Monitor (AS192WM-BK) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||1000:1|16700000||1|||No|Yes|NEC|||AS192WM-BK|1440 x 900||5 ms|"19"""||1|170° H x 160° V|Yes
"Dell E2014H 19.5"" Monitor (E2014H) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1|||No|No|Dell|||E2014H|1600 x 900||5 ms|"19.5"""||1||Yes
"ViewSonic VX2703MH-LED 27.0"" Monitor (VX2703MH-LED) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||DC 10,000,000:1 (1200:1)|||1||1|No|Yes|ViewSonic|||VX2703MH-LED|1920 x 1080||3 ms|"27"""||1|170° H x 160° V|Yes
"LaCie 324i 60Hz 24.0"" Monitor (131081) - PCPartPicker Canada"|16:10|400 cd/m²|No|1|1000:1|1073000000|1|1||1|Yes|No|LaCie||324i|131081|1920 x 1200|60Hz|6 ms|"24"""|||178° H x 178° V|Yes
"AOC q2963Pm 60Hz 29.0"" Monitor (q2963Pm) - PCPartPicker Canada"|21:9|300 cd/m²|Yes||50,000,000:1|16700000|1|1||1|Yes|Yes|AOC|||q2963Pm|2560 x 1080|60Hz|5 ms|"29"""||1|178° H x 178° V|Yes
"LaCie 324i 60Hz 24.0"" Monitor (131082) - PCPartPicker Canada"|16:10|400 cd/m²|No||1000:1|1073000000|1|1||1|Yes|No|LaCie||324i|131082|1920 x 1200|60Hz|6 ms|"24"""|||178° H x 178° V|Yes
